date,california unemployment
2004-01-04,91
2004-01-11,70
2004-01-18,58
2004-01-25,60
2004-02-01,69
2004-02-08,57
2004-02-15,60
2004-02-22,56
2004-02-29,50
2004-03-07,46
2004-03-14,48
2004-03-21,41
2004-03-28,49
2004-04-04,57
2004-04-11,48
2004-04-18,46
2004-04-25,54
2004-05-02,49
2004-05-09,47
2004-05-16,41
2004-05-23,51
2004-05-30,44
2004-06-06,50
2004-06-13,65
2004-06-20,63
2004-06-27,65
2004-07-04,56
2004-07-11,58
2004-07-18,55
2004-07-25,53
2004-08-01,50
2004-08-08,43
2004-08-15,37
2004-08-22,43
2004-08-29,58
2004-09-05,49
2004-09-12,45
2004-09-19,48
2004-09-26,36
2004-10-03,49
2004-10-10,43
2004-10-17,43
2004-10-24,29
2004-10-31,41
2004-11-07,32
2004-11-14,47
2004-11-21,27
2004-11-28,46
2004-12-05,45
2004-12-12,40
2004-12-19,37
2004-12-26,34
2005-01-02,53
2005-01-09,46
2005-01-16,55
2005-01-23,47
2005-01-30,42
2005-02-06,39
2005-02-13,44
2005-02-20,34
2005-02-27,39
2005-03-06,36
2005-03-13,34
2005-03-20,46
2005-03-27,43
2005-04-03,37
2005-04-10,41
2005-04-17,39
2005-04-24,36
2005-05-01,41
2005-05-08,44
2005-05-15,38
2005-05-22,42
2005-05-29,44
2005-06-05,43
2005-06-12,42
2005-06-19,48
2005-06-26,52
2005-07-03,46
2005-07-10,45
2005-07-17,38
2005-07-24,44
2005-07-31,53
2005-08-07,42
2005-08-14,39
2005-08-21,42
2005-08-28,38
2005-09-04,33
2005-09-11,34
2005-09-18,39
2005-09-25,43
2005-10-02,35
2005-10-09,34
2005-10-16,43
2005-10-23,38
2005-10-30,34
2005-11-06,22
2005-11-13,36
2005-11-20,25
2005-11-27,37
2005-12-04,43
2005-12-11,34
2005-12-18,39
2005-12-25,32
2006-01-01,44
2006-01-08,50
2006-01-15,42
2006-01-22,41
2006-01-29,41
2006-02-05,27
2006-02-12,34
2006-02-19,30
2006-02-26,27
2006-03-05,32
2006-03-12,34
2006-03-19,30
2006-03-26,33
2006-04-02,27
2006-04-09,39
2006-04-16,36
2006-04-23,34
2006-04-30,37
2006-05-07,29
2006-05-14,35
2006-05-21,27
2006-05-28,33
2006-06-04,32
2006-06-11,29
2006-06-18,30
2006-06-25,38
2006-07-02,31
2006-07-09,42
2006-07-16,38
2006-07-23,29
2006-07-30,41
2006-08-06,31
2006-08-13,29
2006-08-20,27
2006-08-27,31
2006-09-03,29
2006-09-10,32
2006-09-17,25
2006-09-24,34
2006-10-01,33
2006-10-08,30
2006-10-15,29
2006-10-22,29
2006-10-29,24
2006-11-05,35
2006-11-12,33
2006-11-19,26
2006-11-26,29
2006-12-03,34
2006-12-10,40
2006-12-17,33
2006-12-24,25
2006-12-31,36
2007-01-07,41
2007-01-14,34
2007-01-21,38
2007-01-28,38
2007-02-04,28
2007-02-11,32
2007-02-18,24
2007-02-25,32
2007-03-04,34
2007-03-11,32
2007-03-18,32
2007-03-25,27
2007-04-01,27
2007-04-08,26
2007-04-15,27
2007-04-22,27
2007-04-29,30
2007-05-06,31
2007-05-13,34
2007-05-20,30
2007-05-27,30
2007-06-03,37
2007-06-10,40
2007-06-17,34
2007-06-24,37
2007-07-01,42
2007-07-08,34
2007-07-15,33
2007-07-22,38
2007-07-29,32
2007-08-05,31
2007-08-12,36
2007-08-19,38
2007-08-26,34
2007-09-02,36
2007-09-09,34
2007-09-16,31
2007-09-23,33
2007-09-30,34
2007-10-07,36
2007-10-14,36
2007-10-21,38
2007-10-28,31
2007-11-04,38
2007-11-11,35
2007-11-18,25
2007-11-25,29
2007-12-02,34
2007-12-09,34
2007-12-16,37
2007-12-23,26
2007-12-30,41
2008-01-06,42
2008-01-13,38
2008-01-20,36
2008-01-27,42
2008-02-03,37
2008-02-10,34
2008-02-17,39
2008-02-24,38
2008-03-02,37
2008-03-09,35
2008-03-16,28
2008-03-23,31
2008-03-30,36
2008-04-06,36
2008-04-13,35
2008-04-20,37
2008-04-27,34
2008-05-04,32
2008-05-11,37
2008-05-18,35
2008-05-25,30
2008-06-01,36
2008-06-08,47
2008-06-15,55
2008-06-22,53
2008-06-29,54
2008-07-06,58
2008-07-13,51
2008-07-20,57
2008-07-27,48
2008-08-03,50
2008-08-10,41
2008-08-17,44
2008-08-24,49
2008-08-31,53
2008-09-07,52
2008-09-14,53
2008-09-21,58
2008-09-28,60
2008-10-05,67
2008-10-12,59
2008-10-19,67
2008-10-26,62
2008-11-02,77
2008-11-09,73
2008-11-16,100
2008-11-23,68
2008-11-30,93
2008-12-07,85
2008-12-14,85
2008-12-21,61
2008-12-28,78
