date,file unemployment
2004-01-04,19
2004-01-11,38
2004-01-18,31
2004-01-25,30
2004-02-01,24
2004-02-08,35
2004-02-15,18
2004-02-22,29
2004-02-29,28
2004-03-07,19
2004-03-14,12
2004-03-21,13
2004-03-28,18
2004-04-04,19
2004-04-11,17
2004-04-18,14
2004-04-25,14
2004-05-02,24
2004-05-09,14
2004-05-16,26
2004-05-23,27
2004-05-30,11
2004-06-06,23
2004-06-13,32
2004-06-20,17
2004-06-27,19
2004-07-04,34
2004-07-11,27
2004-07-18,16
2004-07-25,29
2004-08-01,26
2004-08-08,24
2004-08-15,24
2004-08-22,22
2004-08-29,13
2004-09-05,20
2004-09-12,21
2004-09-19,23
2004-09-26,27
2004-10-03,21
2004-10-10,17
2004-10-17,21
2004-10-24,16
2004-10-31,15
2004-11-07,11
2004-11-14,19
2004-11-21,22
2004-11-28,17
2004-12-05,27
2004-12-12,17
2004-12-19,14
2004-12-26,25
2005-01-02,19
2005-01-09,41
2005-01-16,29
2005-01-23,19
2005-01-30,29
2005-02-06,22
2005-02-13,20
2005-02-20,17
2005-02-27,19
2005-03-06,18
2005-03-13,36
2005-03-20,18
2005-03-27,15
2005-04-03,11
2005-04-10,30
2005-04-17,19
2005-04-24,16
2005-05-01,17
2005-05-08,14
2005-05-15,24
2005-05-22,21
2005-05-29,21
2005-06-05,21
2005-06-12,19
2005-06-19,34
2005-06-26,20
2005-07-03,32
2005-07-10,29
2005-07-17,15
2005-07-24,24
2005-07-31,32
2005-08-07,13
2005-08-14,17
2005-08-21,16
2005-08-28,28
2005-09-04,28
2005-09-11,19
2005-09-18,27
2005-09-25,30
2005-10-02,22
2005-10-09,18
2005-10-16,22
2005-10-23,31
2005-10-30,42
2005-11-06,29
2005-11-13,23
2005-11-20,18
2005-11-27,25
2005-12-04,12
2005-12-11,18
2005-12-18,34
2005-12-25,34
2006-01-01,22
2006-01-08,34
2006-01-15,38
2006-01-22,20
2006-01-29,34
2006-02-05,13
2006-02-12,14
2006-02-19,20
2006-02-26,14
2006-03-05,20
2006-03-12,23
2006-03-19,26
2006-03-26,19
2006-04-02,28
2006-04-09,16
2006-04-16,20
2006-04-23,28
2006-04-30,22
2006-05-07,18
2006-05-14,21
2006-05-21,18
2006-05-28,17
2006-06-04,32
2006-06-11,29
2006-06-18,25
2006-06-25,36
2006-07-02,33
2006-07-09,28
2006-07-16,24
2006-07-23,25
2006-07-30,27
2006-08-06,16
2006-08-13,22
2006-08-20,25
2006-08-27,23
2006-09-03,25
2006-09-10,17
2006-09-17,22
2006-09-24,20
2006-10-01,34
2006-10-08,23
2006-10-15,21
2006-10-22,24
2006-10-29,27
2006-11-05,24
2006-11-12,20
2006-11-19,22
2006-11-26,20
2006-12-03,28
2006-12-10,30
2006-12-17,24
2006-12-24,25
2006-12-31,35
2007-01-07,34
2007-01-14,25
2007-01-21,26
2007-01-28,35
2007-02-04,26
2007-02-11,20
2007-02-18,21
2007-02-25,19
2007-03-04,27
2007-03-11,24
2007-03-18,21
2007-03-25,29
2007-04-01,26
2007-04-08,22
2007-04-15,32
2007-04-22,27
2007-04-29,25
2007-05-06,22
2007-05-13,20
2007-05-20,19
2007-05-27,26
2007-06-03,24
2007-06-10,33
2007-06-17,22
2007-06-24,28
2007-07-01,40
2007-07-08,28
2007-07-15,27
2007-07-22,30
2007-07-29,31
2007-08-05,24
2007-08-12,25
2007-08-19,31
2007-08-26,32
2007-09-02,35
2007-09-09,28
2007-09-16,25
2007-09-23,31
2007-09-30,30
2007-10-07,34
2007-10-14,22
2007-10-21,23
2007-10-28,29
2007-11-04,32
2007-11-11,30
2007-11-18,25
2007-11-25,34
2007-12-02,30
2007-12-09,24
2007-12-16,36
2007-12-23,40
2007-12-30,44
2008-01-06,40
2008-01-13,37
2008-01-20,34
2008-01-27,39
2008-02-03,41
2008-02-10,30
2008-02-17,38
2008-02-24,29
2008-03-02,33
2008-03-09,39
2008-03-16,28
2008-03-23,39
2008-03-30,32
2008-04-06,41
2008-04-13,42
2008-04-20,33
2008-04-27,40
2008-05-04,32
2008-05-11,30
2008-05-18,38
2008-05-25,36
2008-06-01,41
2008-06-08,43
2008-06-15,50
2008-06-22,44
2008-06-29,60
2008-07-06,39
2008-07-13,45
2008-07-20,46
2008-07-27,51
2008-08-03,56
2008-08-10,49
2008-08-17,49
2008-08-24,50
2008-08-31,54
2008-09-07,53
2008-09-14,54
2008-09-21,50
2008-09-28,50
2008-10-05,61
2008-10-12,60
2008-10-19,67
2008-10-26,51
2008-11-02,70
2008-11-09,81
2008-11-16,81
2008-11-23,66
2008-11-30,100
2008-12-07,90
2008-12-14,83
2008-12-21,81
2008-12-28,91
