date,indiana unemployment
2004-01-04,15
2004-01-11,33
2004-01-18,18
2004-01-25,22
2004-02-01,12
2004-02-08,12
2004-02-15,29
2004-02-22,21
2004-02-29,18
2004-03-07,13
2004-03-14,19
2004-03-21,15
2004-03-28,20
2004-04-04,19
2004-04-11,25
2004-04-18,16
2004-04-25,9
2004-05-02,23
2004-05-09,17
2004-05-16,10
2004-05-23,15
2004-05-30,16
2004-06-06,11
2004-06-13,21
2004-06-20,22
2004-06-27,18
2004-07-04,25
2004-07-11,16
2004-07-18,22
2004-07-25,26
2004-08-01,15
2004-08-08,22
2004-08-15,13
2004-08-22,20
2004-08-29,16
2004-09-05,17
2004-09-12,15
2004-09-19,10
2004-09-26,10
2004-10-03,15
2004-10-10,25
2004-10-17,19
2004-10-24,18
2004-10-31,25
2004-11-07,31
2004-11-14,23
2004-11-21,13
2004-11-28,25
2004-12-05,24
2004-12-12,21
2004-12-19,23
2004-12-26,15
2005-01-02,20
2005-01-09,32
2005-01-16,20
2005-01-23,19
2005-01-30,24
2005-02-06,28
2005-02-13,17
2005-02-20,23
2005-02-27,31
2005-03-06,19
2005-03-13,20
2005-03-20,16
2005-03-27,24
2005-04-03,18
2005-04-10,21
2005-04-17,14
2005-04-24,20
2005-05-01,12
2005-05-08,21
2005-05-15,18
2005-05-22,26
2005-05-29,22
2005-06-05,21
2005-06-12,17
2005-06-19,17
2005-06-26,9
2005-07-03,17
2005-07-10,22
2005-07-17,22
2005-07-24,33
2005-07-31,24
2005-08-07,17
2005-08-14,23
2005-08-21,16
2005-08-28,21
2005-09-04,13
2005-09-11,19
2005-09-18,29
2005-09-25,23
2005-10-02,14
2005-10-09,24
2005-10-16,19
2005-10-23,17
2005-10-30,17
2005-11-06,39
2005-11-13,22
2005-11-20,13
2005-11-27,20
2005-12-04,19
2005-12-11,18
2005-12-18,24
2005-12-25,35
2006-01-01,35
2006-01-08,28
2006-01-15,22
2006-01-22,31
2006-01-29,25
2006-02-05,25
2006-02-12,30
2006-02-19,23
2006-02-26,19
2006-03-05,18
2006-03-12,21
2006-03-19,19
2006-03-26,15
2006-04-02,15
2006-04-09,17
2006-04-16,15
2006-04-23,21
2006-04-30,22
2006-05-07,17
2006-05-14,16
2006-05-21,22
2006-05-28,13
2006-06-04,22
2006-06-11,22
2006-06-18,27
2006-06-25,26
2006-07-02,24
2006-07-09,28
2006-07-16,24
2006-07-23,19
2006-07-30,27
2006-08-06,22
2006-08-13,27
2006-08-20,18
2006-08-27,25
2006-09-03,19
2006-09-10,19
2006-09-17,20
2006-09-24,17
2006-10-01,14
2006-10-08,17
2006-10-15,15
2006-10-22,26
2006-10-29,22
2006-11-05,30
2006-11-12,22
2006-11-19,18
2006-11-26,22
2006-12-03,25
2006-12-10,28
2006-12-17,29
2006-12-24,42
2006-12-31,43
2007-01-07,47
2007-01-14,36
2007-01-21,37
2007-01-28,35
2007-02-04,32
2007-02-11,31
2007-02-18,37
2007-02-25,24
2007-03-04,25
2007-03-11,29
2007-03-18,28
2007-03-25,24
2007-04-01,26
2007-04-08,34
2007-04-15,26
2007-04-22,23
2007-04-29,24
2007-05-06,19
2007-05-13,24
2007-05-20,24
2007-05-27,24
2007-06-03,31
2007-06-10,26
2007-06-17,22
2007-06-24,24
2007-07-01,38
2007-07-08,28
2007-07-15,27
2007-07-22,27
2007-07-29,33
2007-08-05,18
2007-08-12,28
2007-08-19,28
2007-08-26,29
2007-09-02,26
2007-09-09,35
2007-09-16,24
2007-09-23,28
2007-09-30,33
2007-10-07,33
2007-10-14,27
2007-10-21,29
2007-10-28,28
2007-11-04,28
2007-11-11,23
2007-11-18,20
2007-11-25,31
2007-12-02,33
2007-12-09,22
2007-12-16,34
2007-12-23,40
2007-12-30,51
2008-01-06,44
2008-01-13,29
2008-01-20,37
2008-01-27,39
2008-02-03,37
2008-02-10,35
2008-02-17,35
2008-02-24,34
2008-03-02,36
2008-03-09,27
2008-03-16,29
2008-03-23,31
2008-03-30,26
2008-04-06,32
2008-04-13,26
2008-04-20,29
2008-04-27,29
2008-05-04,28
2008-05-11,24
2008-05-18,33
2008-05-25,26
2008-06-01,27
2008-06-08,27
2008-06-15,32
2008-06-22,37
2008-06-29,44
2008-07-06,49
2008-07-13,43
2008-07-20,46
2008-07-27,40
2008-08-03,41
2008-08-10,36
2008-08-17,44
2008-08-24,41
2008-08-31,46
2008-09-07,37
2008-09-14,36
2008-09-21,38
2008-09-28,43
2008-10-05,50
2008-10-12,42
2008-10-19,42
2008-10-26,51
2008-11-02,47
2008-11-09,52
2008-11-16,57
2008-11-23,62
2008-11-30,73
2008-12-07,67
2008-12-14,70
2008-12-21,82
2008-12-28,100
