date,new york unemployment
2004-01-04,89
2004-01-11,86
2004-01-18,81
2004-01-25,84
2004-02-01,64
2004-02-08,69
2004-02-15,69
2004-02-22,45
2004-02-29,58
2004-03-07,62
2004-03-14,62
2004-03-21,66
2004-03-28,57
2004-04-04,70
2004-04-11,31
2004-04-18,53
2004-04-25,62
2004-05-02,54
2004-05-09,60
2004-05-16,48
2004-05-23,46
2004-05-30,60
2004-06-06,61
2004-06-13,56
2004-06-20,70
2004-06-27,64
2004-07-04,58
2004-07-11,74
2004-07-18,73
2004-07-25,54
2004-08-01,49
2004-08-08,55
2004-08-15,51
2004-08-22,52
2004-08-29,59
2004-09-05,49
2004-09-12,53
2004-09-19,65
2004-09-26,44
2004-10-03,47
2004-10-10,39
2004-10-17,60
2004-10-24,40
2004-10-31,57
2004-11-07,56
2004-11-14,44
2004-11-21,58
2004-11-28,62
2004-12-05,45
2004-12-12,59
2004-12-19,45
2004-12-26,61
2005-01-02,58
2005-01-09,50
2005-01-16,60
2005-01-23,53
2005-01-30,61
2005-02-06,51
2005-02-13,49
2005-02-20,60
2005-02-27,61
2005-03-06,66
2005-03-13,53
2005-03-20,43
2005-03-27,50
2005-04-03,50
2005-04-10,46
2005-04-17,49
2005-04-24,42
2005-05-01,49
2005-05-08,39
2005-05-15,46
2005-05-22,54
2005-05-29,44
2005-06-05,60
2005-06-12,53
2005-06-19,60
2005-06-26,60
2005-07-03,52
2005-07-10,52
2005-07-17,52
2005-07-24,53
2005-07-31,65
2005-08-07,51
2005-08-14,34
2005-08-21,46
2005-08-28,51
2005-09-04,48
2005-09-11,48
2005-09-18,41
2005-09-25,40
2005-10-02,63
2005-10-09,40
2005-10-16,54
2005-10-23,44
2005-10-30,39
2005-11-06,63
2005-11-13,57
2005-11-20,38
2005-11-27,38
2005-12-04,40
2005-12-11,54
2005-12-18,47
2005-12-25,70
2006-01-01,63
2006-01-08,69
2006-01-15,66
2006-01-22,53
2006-01-29,45
2006-02-05,51
2006-02-12,45
2006-02-19,42
2006-02-26,44
2006-03-05,40
2006-03-12,43
2006-03-19,42
2006-03-26,46
2006-04-02,50
2006-04-09,46
2006-04-16,47
2006-04-23,45
2006-04-30,45
2006-05-07,48
2006-05-14,44
2006-05-21,42
2006-05-28,47
2006-06-04,42
2006-06-11,57
2006-06-18,59
2006-06-25,52
2006-07-02,53
2006-07-09,56
2006-07-16,42
2006-07-23,51
2006-07-30,45
2006-08-06,54
2006-08-13,50
2006-08-20,52
2006-08-27,54
2006-09-03,54
2006-09-10,49
2006-09-17,45
2006-09-24,48
2006-10-01,52
2006-10-08,51
2006-10-15,50
2006-10-22,46
2006-10-29,57
2006-11-05,50
2006-11-12,49
2006-11-19,50
2006-11-26,49
2006-12-03,49
2006-12-10,36
2006-12-17,47
2006-12-24,57
2006-12-31,64
2007-01-07,56
2007-01-14,58
2007-01-21,57
2007-01-28,54
2007-02-04,51
2007-02-11,45
2007-02-18,41
2007-02-25,49
2007-03-04,46
2007-03-11,51
2007-03-18,49
2007-03-25,51
2007-04-01,60
2007-04-08,57
2007-04-15,47
2007-04-22,59
2007-04-29,37
2007-05-06,52
2007-05-13,42
2007-05-20,42
2007-05-27,48
2007-06-03,53
2007-06-10,50
2007-06-17,35
2007-06-24,44
2007-07-01,55
2007-07-08,55
2007-07-15,53
2007-07-22,50
2007-07-29,52
2007-08-05,53
2007-08-12,47
2007-08-19,47
2007-08-26,44
2007-09-02,51
2007-09-09,42
2007-09-16,46
2007-09-23,46
2007-09-30,39
2007-10-07,43
2007-10-14,48
2007-10-21,40
2007-10-28,34
2007-11-04,50
2007-11-11,43
2007-11-18,41
2007-11-25,52
2007-12-02,46
2007-12-09,44
2007-12-16,46
2007-12-23,51
2007-12-30,67
2008-01-06,58
2008-01-13,49
2008-01-20,57
2008-01-27,53
2008-02-03,48
2008-02-10,45
2008-02-17,48
2008-02-24,47
2008-03-02,53
2008-03-09,52
2008-03-16,48
2008-03-23,46
2008-03-30,51
2008-04-06,60
2008-04-13,43
2008-04-20,40
2008-04-27,39
2008-05-04,45
2008-05-11,45
2008-05-18,46
2008-05-25,50
2008-06-01,51
2008-06-08,46
2008-06-15,52
2008-06-22,45
2008-06-29,59
2008-07-06,53
2008-07-13,62
2008-07-20,58
2008-07-27,63
2008-08-03,61
2008-08-10,59
2008-08-17,58
2008-08-24,60
2008-08-31,74
2008-09-07,62
2008-09-14,62
2008-09-21,56
2008-09-28,63
2008-10-05,66
2008-10-12,59
2008-10-19,69
2008-10-26,66
2008-11-02,74
2008-11-09,77
2008-11-16,96
2008-11-23,81
2008-11-30,97
2008-12-07,94
2008-12-14,94
2008-12-21,88
2008-12-28,100
