date,ny unemployment
2004-01-04,35
2004-01-11,32
2004-01-18,24
2004-01-25,44
2004-02-01,26
2004-02-08,36
2004-02-15,19
2004-02-22,33
2004-02-29,32
2004-03-07,35
2004-03-14,14
2004-03-21,42
2004-03-28,28
2004-04-04,27
2004-04-11,20
2004-04-18,14
2004-04-25,22
2004-05-02,24
2004-05-09,31
2004-05-16,24
2004-05-23,12
2004-05-30,32
2004-06-06,26
2004-06-13,29
2004-06-20,29
2004-06-27,27
2004-07-04,23
2004-07-11,33
2004-07-18,27
2004-07-25,28
2004-08-01,31
2004-08-08,26
2004-08-15,25
2004-08-22,25
2004-08-29,26
2004-09-05,33
2004-09-12,24
2004-09-19,18
2004-09-26,19
2004-10-03,29
2004-10-10,18
2004-10-17,18
2004-10-24,14
2004-10-31,20
2004-11-07,15
2004-11-14,25
2004-11-21,18
2004-11-28,22
2004-12-05,20
2004-12-12,25
2004-12-19,39
2004-12-26,33
2005-01-02,26
2005-01-09,26
2005-01-16,31
2005-01-23,28
2005-01-30,25
2005-02-06,31
2005-02-13,17
2005-02-20,23
2005-02-27,31
2005-03-06,25
2005-03-13,22
2005-03-20,19
2005-03-27,24
2005-04-03,19
2005-04-10,33
2005-04-17,23
2005-04-24,20
2005-05-01,26
2005-05-08,26
2005-05-15,17
2005-05-22,20
2005-05-29,24
2005-06-05,28
2005-06-12,30
2005-06-19,33
2005-06-26,25
2005-07-03,35
2005-07-10,31
2005-07-17,32
2005-07-24,34
2005-07-31,21
2005-08-07,25
2005-08-14,24
2005-08-21,25
2005-08-28,31
2005-09-04,24
2005-09-11,19
2005-09-18,20
2005-09-25,26
2005-10-02,30
2005-10-09,22
2005-10-16,21
2005-10-23,23
2005-10-30,33
2005-11-06,24
2005-11-13,29
2005-11-20,15
2005-11-27,24
2005-12-04,15
2005-12-11,29
2005-12-18,25
2005-12-25,35
2006-01-01,35
2006-01-08,34
2006-01-15,29
2006-01-22,34
2006-01-29,25
2006-02-05,36
2006-02-12,19
2006-02-19,26
2006-02-26,24
2006-03-05,23
2006-03-12,26
2006-03-19,19
2006-03-26,18
2006-04-02,28
2006-04-09,21
2006-04-16,25
2006-04-23,27
2006-04-30,33
2006-05-07,32
2006-05-14,21
2006-05-21,21
2006-05-28,26
2006-06-04,23
2006-06-11,27
2006-06-18,31
2006-06-25,39
2006-07-02,35
2006-07-09,35
2006-07-16,32
2006-07-23,35
2006-07-30,33
2006-08-06,35
2006-08-13,32
2006-08-20,29
2006-08-27,28
2006-09-03,26
2006-09-10,32
2006-09-17,28
2006-09-24,23
2006-10-01,38
2006-10-08,31
2006-10-15,35
2006-10-22,25
2006-10-29,30
2006-11-05,31
2006-11-12,39
2006-11-19,35
2006-11-26,35
2006-12-03,39
2006-12-10,27
2006-12-17,31
2006-12-24,43
2006-12-31,41
2007-01-07,40
2007-01-14,44
2007-01-21,41
2007-01-28,41
2007-02-04,41
2007-02-11,35
2007-02-18,40
2007-02-25,41
2007-03-04,32
2007-03-11,33
2007-03-18,30
2007-03-25,40
2007-04-01,33
2007-04-08,43
2007-04-15,36
2007-04-22,30
2007-04-29,34
2007-05-06,32
2007-05-13,29
2007-05-20,32
2007-05-27,30
2007-06-03,37
2007-06-10,38
2007-06-17,29
2007-06-24,32
2007-07-01,43
2007-07-08,37
2007-07-15,39
2007-07-22,35
2007-07-29,34
2007-08-05,42
2007-08-12,35
2007-08-19,38
2007-08-26,38
2007-09-02,40
2007-09-09,36
2007-09-16,35
2007-09-23,37
2007-09-30,34
2007-10-07,36
2007-10-14,35
2007-10-21,36
2007-10-28,30
2007-11-04,36
2007-11-11,39
2007-11-18,39
2007-11-25,36
2007-12-02,35
2007-12-09,36
2007-12-16,31
2007-12-23,45
2007-12-30,45
2008-01-06,45
2008-01-13,43
2008-01-20,47
2008-01-27,47
2008-02-03,44
2008-02-10,39
2008-02-17,38
2008-02-24,34
2008-03-02,42
2008-03-09,40
2008-03-16,44
2008-03-23,49
2008-03-30,46
2008-04-06,35
2008-04-13,39
2008-04-20,33
2008-04-27,43
2008-05-04,39
2008-05-11,35
2008-05-18,42
2008-05-25,36
2008-06-01,41
2008-06-08,36
2008-06-15,42
2008-06-22,45
2008-06-29,44
2008-07-06,53
2008-07-13,56
2008-07-20,56
2008-07-27,58
2008-08-03,62
2008-08-10,61
2008-08-17,57
2008-08-24,61
2008-08-31,63
2008-09-07,62
2008-09-14,51
2008-09-21,54
2008-09-28,63
2008-10-05,63
2008-10-12,68
2008-10-19,68
2008-10-26,73
2008-11-02,72
2008-11-09,71
2008-11-16,88
2008-11-23,73
2008-11-30,86
2008-12-07,89
2008-12-14,92
2008-12-21,91
2008-12-28,100
