date,ohio unemployment
2004-01-04,12
2004-01-11,19
2004-01-18,18
2004-01-25,15
2004-02-01,11
2004-02-08,15
2004-02-15,19
2004-02-22,12
2004-02-29,14
2004-03-07,15
2004-03-14,11
2004-03-21,13
2004-03-28,11
2004-04-04,11
2004-04-11,10
2004-04-18,16
2004-04-25,12
2004-05-02,11
2004-05-09,13
2004-05-16,8
2004-05-23,10
2004-05-30,12
2004-06-06,19
2004-06-13,8
2004-06-20,7
2004-06-27,12
2004-07-04,10
2004-07-11,15
2004-07-18,17
2004-07-25,15
2004-08-01,7
2004-08-08,11
2004-08-15,9
2004-08-22,16
2004-08-29,10
2004-09-05,19
2004-09-12,14
2004-09-19,16
2004-09-26,8
2004-10-03,18
2004-10-10,11
2004-10-17,13
2004-10-24,19
2004-10-31,17
2004-11-07,12
2004-11-14,15
2004-11-21,13
2004-11-28,17
2004-12-05,16
2004-12-12,11
2004-12-19,14
2004-12-26,17
2005-01-02,14
2005-01-09,12
2005-01-16,17
2005-01-23,20
2005-01-30,19
2005-02-06,23
2005-02-13,11
2005-02-20,18
2005-02-27,20
2005-03-06,14
2005-03-13,19
2005-03-20,20
2005-03-27,17
2005-04-03,19
2005-04-10,18
2005-04-17,15
2005-04-24,14
2005-05-01,13
2005-05-08,15
2005-05-15,19
2005-05-22,18
2005-05-29,11
2005-06-05,19
2005-06-12,16
2005-06-19,17
2005-06-26,8
2005-07-03,22
2005-07-10,18
2005-07-17,21
2005-07-24,24
2005-07-31,18
2005-08-07,18
2005-08-14,18
2005-08-21,16
2005-08-28,19
2005-09-04,15
2005-09-11,13
2005-09-18,20
2005-09-25,15
2005-10-02,12
2005-10-09,14
2005-10-16,20
2005-10-23,20
2005-10-30,15
2005-11-06,12
2005-11-13,20
2005-11-20,17
2005-11-27,19
2005-12-04,16
2005-12-11,23
2005-12-18,17
2005-12-25,25
2006-01-01,23
2006-01-08,16
2006-01-15,26
2006-01-22,22
2006-01-29,28
2006-02-05,19
2006-02-12,24
2006-02-19,20
2006-02-26,27
2006-03-05,22
2006-03-12,14
2006-03-19,16
2006-03-26,20
2006-04-02,20
2006-04-09,16
2006-04-16,23
2006-04-23,16
2006-04-30,18
2006-05-07,19
2006-05-14,18
2006-05-21,17
2006-05-28,18
2006-06-04,24
2006-06-11,18
2006-06-18,24
2006-06-25,22
2006-07-02,28
2006-07-09,26
2006-07-16,26
2006-07-23,23
2006-07-30,26
2006-08-06,28
2006-08-13,25
2006-08-20,24
2006-08-27,19
2006-09-03,23
2006-09-10,21
2006-09-17,21
2006-09-24,20
2006-10-01,18
2006-10-08,22
2006-10-15,22
2006-10-22,20
2006-10-29,21
2006-11-05,22
2006-11-12,21
2006-11-19,23
2006-11-26,18
2006-12-03,23
2006-12-10,21
2006-12-17,26
2006-12-24,33
2006-12-31,37
2007-01-07,33
2007-01-14,33
2007-01-21,38
2007-01-28,37
2007-02-04,27
2007-02-11,29
2007-02-18,31
2007-02-25,27
2007-03-04,27
2007-03-11,29
2007-03-18,28
2007-03-25,26
2007-04-01,27
2007-04-08,26
2007-04-15,28
2007-04-22,29
2007-04-29,21
2007-05-06,19
2007-05-13,26
2007-05-20,20
2007-05-27,22
2007-06-03,20
2007-06-10,24
2007-06-17,21
2007-06-24,27
2007-07-01,26
2007-07-08,24
2007-07-15,25
2007-07-22,28
2007-07-29,30
2007-08-05,25
2007-08-12,21
2007-08-19,32
2007-08-26,23
2007-09-02,22
2007-09-09,21
2007-09-16,25
2007-09-23,18
2007-09-30,21
2007-10-07,38
2007-10-14,26
2007-10-21,30
2007-10-28,27
2007-11-04,27
2007-11-11,25
2007-11-18,25
2007-11-25,25
2007-12-02,27
2007-12-09,29
2007-12-16,32
2007-12-23,38
2007-12-30,42
2008-01-06,39
2008-01-13,34
2008-01-20,47
2008-01-27,44
2008-02-03,36
2008-02-10,34
2008-02-17,36
2008-02-24,32
2008-03-02,31
2008-03-09,34
2008-03-16,33
2008-03-23,33
2008-03-30,35
2008-04-06,34
2008-04-13,33
2008-04-20,29
2008-04-27,26
2008-05-04,30
2008-05-11,33
2008-05-18,29
2008-05-25,30
2008-06-01,29
2008-06-08,34
2008-06-15,30
2008-06-22,33
2008-06-29,31
2008-07-06,38
2008-07-13,35
2008-07-20,40
2008-07-27,33
2008-08-03,46
2008-08-10,41
2008-08-17,36
2008-08-24,44
2008-08-31,42
2008-09-07,35
2008-09-14,40
2008-09-21,39
2008-09-28,38
2008-10-05,38
2008-10-12,41
2008-10-19,44
2008-10-26,45
2008-11-02,46
2008-11-09,59
2008-11-16,73
2008-11-23,67
2008-11-30,72
2008-12-07,74
2008-12-14,83
2008-12-21,89
2008-12-28,100
