date,texas unemployment
2004-01-04,38
2004-01-11,56
2004-01-18,49
2004-01-25,41
2004-02-01,40
2004-02-08,52
2004-02-15,33
2004-02-22,47
2004-02-29,52
2004-03-07,46
2004-03-14,40
2004-03-21,49
2004-03-28,41
2004-04-04,33
2004-04-11,40
2004-04-18,50
2004-04-25,33
2004-05-02,40
2004-05-09,31
2004-05-16,44
2004-05-23,45
2004-05-30,37
2004-06-06,42
2004-06-13,31
2004-06-20,37
2004-06-27,39
2004-07-04,39
2004-07-11,41
2004-07-18,33
2004-07-25,38
2004-08-01,52
2004-08-08,43
2004-08-15,44
2004-08-22,41
2004-08-29,49
2004-09-05,39
2004-09-12,38
2004-09-19,34
2004-09-26,31
2004-10-03,45
2004-10-10,33
2004-10-17,36
2004-10-24,44
2004-10-31,19
2004-11-07,45
2004-11-14,40
2004-11-21,13
2004-11-28,35
2004-12-05,36
2004-12-12,22
2004-12-19,30
2004-12-26,44
2005-01-02,55
2005-01-09,46
2005-01-16,40
2005-01-23,39
2005-01-30,32
2005-02-06,40
2005-02-13,35
2005-02-20,34
2005-02-27,31
2005-03-06,33
2005-03-13,35
2005-03-20,37
2005-03-27,46
2005-04-03,32
2005-04-10,30
2005-04-17,40
2005-04-24,41
2005-05-01,63
2005-05-08,39
2005-05-15,33
2005-05-22,26
2005-05-29,37
2005-06-05,31
2005-06-12,32
2005-06-19,38
2005-06-26,40
2005-07-03,41
2005-07-10,51
2005-07-17,38
2005-07-24,48
2005-07-31,36
2005-08-07,42
2005-08-14,37
2005-08-21,37
2005-08-28,51
2005-09-04,58
2005-09-11,41
2005-09-18,21
2005-09-25,56
2005-10-02,38
2005-10-09,27
2005-10-16,26
2005-10-23,43
2005-10-30,47
2005-11-06,35
2005-11-13,34
2005-11-20,24
2005-11-27,40
2005-12-04,36
2005-12-11,28
2005-12-18,28
2005-12-25,27
2006-01-01,51
2006-01-08,46
2006-01-15,39
2006-01-22,39
2006-01-29,34
2006-02-05,29
2006-02-12,31
2006-02-19,26
2006-02-26,28
2006-03-05,26
2006-03-12,21
2006-03-19,27
2006-03-26,34
2006-04-02,33
2006-04-09,36
2006-04-16,30
2006-04-23,31
2006-04-30,29
2006-05-07,25
2006-05-14,32
2006-05-21,27
2006-05-28,27
2006-06-04,30
2006-06-11,21
2006-06-18,37
2006-06-25,34
2006-07-02,42
2006-07-09,40
2006-07-16,39
2006-07-23,36
2006-07-30,34
2006-08-06,37
2006-08-13,36
2006-08-20,32
2006-08-27,42
2006-09-03,28
2006-09-10,34
2006-09-17,34
2006-09-24,25
2006-10-01,31
2006-10-08,29
2006-10-15,41
2006-10-22,25
2006-10-29,39
2006-11-05,27
2006-11-12,38
2006-11-19,27
2006-11-26,38
2006-12-03,32
2006-12-10,25
2006-12-17,30
2006-12-24,29
2006-12-31,47
2007-01-07,39
2007-01-14,38
2007-01-21,39
2007-01-28,47
2007-02-04,26
2007-02-11,25
2007-02-18,31
2007-02-25,38
2007-03-04,30
2007-03-11,30
2007-03-18,34
2007-03-25,29
2007-04-01,26
2007-04-08,35
2007-04-15,41
2007-04-22,34
2007-04-29,31
2007-05-06,36
2007-05-13,29
2007-05-20,27
2007-05-27,43
2007-06-03,30
2007-06-10,42
2007-06-17,37
2007-06-24,40
2007-07-01,34
2007-07-08,43
2007-07-15,30
2007-07-22,41
2007-07-29,41
2007-08-05,31
2007-08-12,35
2007-08-19,38
2007-08-26,32
2007-09-02,41
2007-09-09,34
2007-09-16,28
2007-09-23,41
2007-09-30,32
2007-10-07,29
2007-10-14,43
2007-10-21,28
2007-10-28,31
2007-11-04,41
2007-11-11,32
2007-11-18,27
2007-11-25,36
2007-12-02,24
2007-12-09,35
2007-12-16,36
2007-12-23,26
2007-12-30,32
2008-01-06,41
2008-01-13,50
2008-01-20,40
2008-01-27,47
2008-02-03,42
2008-02-10,37
2008-02-17,39
2008-02-24,33
2008-03-02,35
2008-03-09,37
2008-03-16,30
2008-03-23,34
2008-03-30,39
2008-04-06,43
2008-04-13,43
2008-04-20,41
2008-04-27,40
2008-05-04,37
2008-05-11,38
2008-05-18,33
2008-05-25,38
2008-06-01,43
2008-06-08,51
2008-06-15,47
2008-06-22,44
2008-06-29,46
2008-07-06,52
2008-07-13,46
2008-07-20,55
2008-07-27,57
2008-08-03,58
2008-08-10,53
2008-08-17,49
2008-08-24,46
2008-08-31,51
2008-09-07,43
2008-09-14,71
2008-09-21,79
2008-09-28,61
2008-10-05,60
2008-10-12,68
2008-10-19,62
2008-10-26,59
2008-11-02,70
2008-11-09,57
2008-11-16,100
2008-11-23,62
2008-11-30,84
2008-12-07,68
2008-12-14,83
2008-12-21,59
2008-12-28,79
