date,unemployment insurance
2004-01-04,75
2004-01-11,68
2004-01-18,82
2004-01-25,60
2004-02-01,61
2004-02-08,59
2004-02-15,69
2004-02-22,57
2004-02-29,57
2004-03-07,51
2004-03-14,52
2004-03-21,45
2004-03-28,55
2004-04-04,54
2004-04-11,59
2004-04-18,59
2004-04-25,59
2004-05-02,67
2004-05-09,62
2004-05-16,47
2004-05-23,51
2004-05-30,52
2004-06-06,52
2004-06-13,53
2004-06-20,54
2004-06-27,67
2004-07-04,61
2004-07-11,52
2004-07-18,56
2004-07-25,48
2004-08-01,50
2004-08-08,42
2004-08-15,46
2004-08-22,44
2004-08-29,49
2004-09-05,55
2004-09-12,41
2004-09-19,35
2004-09-26,49
2004-10-03,45
2004-10-10,40
2004-10-17,54
2004-10-24,37
2004-10-31,44
2004-11-07,35
2004-11-14,44
2004-11-21,35
2004-11-28,38
2004-12-05,51
2004-12-12,52
2004-12-19,53
2004-12-26,50
2005-01-02,53
2005-01-09,50
2005-01-16,50
2005-01-23,57
2005-01-30,47
2005-02-06,49
2005-02-13,55
2005-02-20,51
2005-02-27,52
2005-03-06,44
2005-03-13,33
2005-03-20,39
2005-03-27,42
2005-04-03,48
2005-04-10,51
2005-04-17,40
2005-04-24,61
2005-05-01,48
2005-05-08,39
2005-05-15,46
2005-05-22,49
2005-05-29,54
2005-06-05,51
2005-06-12,47
2005-06-19,53
2005-06-26,37
2005-07-03,49
2005-07-10,55
2005-07-17,48
2005-07-24,47
2005-07-31,49
2005-08-07,49
2005-08-14,40
2005-08-21,39
2005-08-28,51
2005-09-04,45
2005-09-11,38
2005-09-18,45
2005-09-25,51
2005-10-02,43
2005-10-09,48
2005-10-16,45
2005-10-23,43
2005-10-30,40
2005-11-06,45
2005-11-13,45
2005-11-20,39
2005-11-27,53
2005-12-04,36
2005-12-11,40
2005-12-18,44
2005-12-25,45
2006-01-01,62
2006-01-08,56
2006-01-15,52
2006-01-22,54
2006-01-29,48
2006-02-05,38
2006-02-12,42
2006-02-19,37
2006-02-26,38
2006-03-05,46
2006-03-12,40
2006-03-19,41
2006-03-26,36
2006-04-02,38
2006-04-09,44
2006-04-16,50
2006-04-23,45
2006-04-30,41
2006-05-07,41
2006-05-14,43
2006-05-21,35
2006-05-28,44
2006-06-04,49
2006-06-11,44
2006-06-18,43
2006-06-25,48
2006-07-02,51
2006-07-09,47
2006-07-16,45
2006-07-23,47
2006-07-30,41
2006-08-06,39
2006-08-13,33
2006-08-20,46
2006-08-27,43
2006-09-03,42
2006-09-10,40
2006-09-17,39
2006-09-24,40
2006-10-01,49
2006-10-08,40
2006-10-15,46
2006-10-22,41
2006-10-29,53
2006-11-05,43
2006-11-12,43
2006-11-19,39
2006-11-26,44
2006-12-03,50
2006-12-10,50
2006-12-17,49
2006-12-24,52
2006-12-31,58
2007-01-07,56
2007-01-14,51
2007-01-21,52
2007-01-28,57
2007-02-04,46
2007-02-11,39
2007-02-18,43
2007-02-25,45
2007-03-04,45
2007-03-11,40
2007-03-18,45
2007-03-25,36
2007-04-01,41
2007-04-08,51
2007-04-15,46
2007-04-22,47
2007-04-29,42
2007-05-06,40
2007-05-13,46
2007-05-20,41
2007-05-27,40
2007-06-03,45
2007-06-10,45
2007-06-17,45
2007-06-24,47
2007-07-01,46
2007-07-08,50
2007-07-15,46
2007-07-22,40
2007-07-29,52
2007-08-05,41
2007-08-12,43
2007-08-19,42
2007-08-26,38
2007-09-02,42
2007-09-09,42
2007-09-16,42
2007-09-23,39
2007-09-30,41
2007-10-07,54
2007-10-14,42
2007-10-21,41
2007-10-28,50
2007-11-04,41
2007-11-11,44
2007-11-18,37
2007-11-25,38
2007-12-02,43
2007-12-09,45
2007-12-16,47
2007-12-23,44
2007-12-30,53
2008-01-06,66
2008-01-13,48
2008-01-20,57
2008-01-27,53
2008-02-03,50
2008-02-10,45
2008-02-17,47
2008-02-24,51
2008-03-02,45
2008-03-09,44
2008-03-16,44
2008-03-23,45
2008-03-30,49
2008-04-06,48
2008-04-13,53
2008-04-20,47
2008-04-27,49
2008-05-04,43
2008-05-11,42
2008-05-18,43
2008-05-25,45
2008-06-01,51
2008-06-08,56
2008-06-15,60
2008-06-22,53
2008-06-29,58
2008-07-06,64
2008-07-13,63
2008-07-20,67
2008-07-27,67
2008-08-03,59
2008-08-10,60
2008-08-17,58
2008-08-24,60
2008-08-31,55
2008-09-07,56
2008-09-14,56
2008-09-21,57
2008-09-28,64
2008-10-05,65
2008-10-12,67
2008-10-19,71
2008-10-26,68
2008-11-02,72
2008-11-09,80
2008-11-16,100
2008-11-23,79
2008-11-30,97
2008-12-07,97
2008-12-14,87
2008-12-21,75
2008-12-28,81
