date,unemployment login
2004-01-04,0
2004-01-11,0
2004-01-18,0
2004-01-25,0
2004-02-01,0
2004-02-08,0
2004-02-15,0
2004-02-22,0
2004-02-29,0
2004-03-07,0
2004-03-14,0
2004-03-21,0
2004-03-28,0
2004-04-04,0
2004-04-11,0
2004-04-18,0
2004-04-25,0
2004-05-02,35
2004-05-09,0
2004-05-16,0
2004-05-23,0
2004-05-30,0
2004-06-06,0
2004-06-13,0
2004-06-20,0
2004-06-27,0
2004-07-04,39
2004-07-11,0
2004-07-18,0
2004-07-25,0
2004-08-01,0
2004-08-08,0
2004-08-15,0
2004-08-22,0
2004-08-29,0
2004-09-05,0
2004-09-12,0
2004-09-19,0
2004-09-26,0
2004-10-03,0
2004-10-10,0
2004-10-17,0
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,0
2004-11-21,0
2004-11-28,0
2004-12-05,0
2004-12-12,0
2004-12-19,37
2004-12-26,0
2005-01-02,0
2005-01-09,34
2005-01-16,0
2005-01-23,0
2005-01-30,0
2005-02-06,0
2005-02-13,25
2005-02-20,0
2005-02-27,26
2005-03-06,0
2005-03-13,0
2005-03-20,0
2005-03-27,0
2005-04-03,0
2005-04-10,0
2005-04-17,0
2005-04-24,31
2005-05-01,0
2005-05-08,31
2005-05-15,0
2005-05-22,0
2005-05-29,0
2005-06-05,24
2005-06-12,26
2005-06-19,0
2005-06-26,0
2005-07-03,27
2005-07-10,0
2005-07-17,31
2005-07-24,0
2005-07-31,24
2005-08-07,0
2005-08-14,0
2005-08-21,0
2005-08-28,0
2005-09-04,0
2005-09-11,0
2005-09-18,0
2005-09-25,0
2005-10-02,0
2005-10-09,0
2005-10-16,0
2005-10-23,0
2005-10-30,0
2005-11-06,0
2005-11-13,0
2005-11-20,0
2005-11-27,0
2005-12-04,18
2005-12-11,0
2005-12-18,0
2005-12-25,0
2006-01-01,19
2006-01-08,18
2006-01-15,0
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,17
2006-02-19,17
2006-02-26,0
2006-03-05,17
2006-03-12,0
2006-03-19,0
2006-03-26,21
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,16
2006-04-30,0
2006-05-07,0
2006-05-14,0
2006-05-21,0
2006-05-28,0
2006-06-04,0
2006-06-11,0
2006-06-18,0
2006-06-25,17
2006-07-02,0
2006-07-09,16
2006-07-16,0
2006-07-23,16
2006-07-30,0
2006-08-06,0
2006-08-13,0
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,0
2006-09-17,0
2006-09-24,0
2006-10-01,0
2006-10-08,14
2006-10-15,18
2006-10-22,18
2006-10-29,14
2006-11-05,13
2006-11-12,13
2006-11-19,15
2006-11-26,13
2006-12-03,13
2006-12-10,0
2006-12-17,0
2006-12-24,17
2006-12-31,0
2007-01-07,0
2007-01-14,14
2007-01-21,12
2007-01-28,12
2007-02-04,16
2007-02-11,0
2007-02-18,24
2007-02-25,12
2007-03-04,12
2007-03-11,15
2007-03-18,0
2007-03-25,16
2007-04-01,35
2007-04-08,12
2007-04-15,15
2007-04-22,0
2007-04-29,13
2007-05-06,14
2007-05-13,0
2007-05-20,0
2007-05-27,0
2007-06-03,0
2007-06-10,13
2007-06-17,12
2007-06-24,11
2007-07-01,14
2007-07-08,14
2007-07-15,11
2007-07-22,16
2007-07-29,0
2007-08-05,12
2007-08-12,11
2007-08-19,12
2007-08-26,10
2007-09-02,0
2007-09-09,10
2007-09-16,0
2007-09-23,13
2007-09-30,0
2007-10-07,16
2007-10-14,10
2007-10-21,9
2007-10-28,11
2007-11-04,9
2007-11-11,8
2007-11-18,0
2007-11-25,8
2007-12-02,0
2007-12-09,9
2007-12-16,10
2007-12-23,20
2007-12-30,30
2008-01-06,9
2008-01-13,10
2008-01-20,10
2008-01-27,9
2008-02-03,33
2008-02-10,14
2008-02-17,9
2008-02-24,8
2008-03-02,11
2008-03-09,9
2008-03-16,13
2008-03-23,9
2008-03-30,9
2008-04-06,15
2008-04-13,0
2008-04-20,19
2008-04-27,9
2008-05-04,8
2008-05-11,13
2008-05-18,17
2008-05-25,9
2008-06-01,17
2008-06-08,18
2008-06-15,18
2008-06-22,13
2008-06-29,17
2008-07-06,30
2008-07-13,16
2008-07-20,31
2008-07-27,17
2008-08-03,22
2008-08-10,47
2008-08-17,13
2008-08-24,29
2008-08-31,39
2008-09-07,20
2008-09-14,29
2008-09-21,37
2008-09-28,33
2008-10-05,38
2008-10-12,41
2008-10-19,25
2008-10-26,43
2008-11-02,31
2008-11-09,45
2008-11-16,41
2008-11-23,36
2008-11-30,67
2008-12-07,42
2008-12-14,49
2008-12-21,87
2008-12-28,100
