date,unemployment number
2004-01-04,20
2004-01-11,36
2004-01-18,43
2004-01-25,38
2004-02-01,35
2004-02-08,23
2004-02-15,21
2004-02-22,18
2004-02-29,60
2004-03-07,0
2004-03-14,17
2004-03-21,22
2004-03-28,57
2004-04-04,23
2004-04-11,18
2004-04-18,11
2004-04-25,24
2004-05-02,14
2004-05-09,25
2004-05-16,28
2004-05-23,20
2004-05-30,19
2004-06-06,15
2004-06-13,15
2004-06-20,23
2004-06-27,15
2004-07-04,16
2004-07-11,16
2004-07-18,25
2004-07-25,29
2004-08-01,18
2004-08-08,29
2004-08-15,19
2004-08-22,17
2004-08-29,27
2004-09-05,38
2004-09-12,22
2004-09-19,9
2004-09-26,12
2004-10-03,19
2004-10-10,16
2004-10-17,19
2004-10-24,15
2004-10-31,24
2004-11-07,36
2004-11-14,10
2004-11-21,21
2004-11-28,17
2004-12-05,22
2004-12-12,18
2004-12-19,29
2004-12-26,11
2005-01-02,28
2005-01-09,19
2005-01-16,36
2005-01-23,26
2005-01-30,15
2005-02-06,31
2005-02-13,20
2005-02-20,16
2005-02-27,31
2005-03-06,15
2005-03-13,12
2005-03-20,8
2005-03-27,26
2005-04-03,23
2005-04-10,22
2005-04-17,20
2005-04-24,19
2005-05-01,19
2005-05-08,27
2005-05-15,17
2005-05-22,7
2005-05-29,21
2005-06-05,25
2005-06-12,38
2005-06-19,21
2005-06-26,15
2005-07-03,46
2005-07-10,17
2005-07-17,27
2005-07-24,15
2005-07-31,24
2005-08-07,21
2005-08-14,23
2005-08-21,11
2005-08-28,11
2005-09-04,21
2005-09-11,17
2005-09-18,21
2005-09-25,19
2005-10-02,21
2005-10-09,23
2005-10-16,12
2005-10-23,16
2005-10-30,34
2005-11-06,29
2005-11-13,19
2005-11-20,34
2005-11-27,18
2005-12-04,25
2005-12-11,21
2005-12-18,32
2005-12-25,27
2006-01-01,18
2006-01-08,14
2006-01-15,16
2006-01-22,21
2006-01-29,25
2006-02-05,25
2006-02-12,32
2006-02-19,22
2006-02-26,31
2006-03-05,20
2006-03-12,27
2006-03-19,23
2006-03-26,12
2006-04-02,26
2006-04-09,27
2006-04-16,18
2006-04-23,19
2006-04-30,18
2006-05-07,18
2006-05-14,18
2006-05-21,20
2006-05-28,30
2006-06-04,10
2006-06-11,11
2006-06-18,29
2006-06-25,20
2006-07-02,9
2006-07-09,21
2006-07-16,13
2006-07-23,21
2006-07-30,13
2006-08-06,30
2006-08-13,29
2006-08-20,17
2006-08-27,23
2006-09-03,17
2006-09-10,16
2006-09-17,11
2006-09-24,27
2006-10-01,20
2006-10-08,30
2006-10-15,19
2006-10-22,15
2006-10-29,17
2006-11-05,28
2006-11-12,21
2006-11-19,21
2006-11-26,28
2006-12-03,21
2006-12-10,25
2006-12-17,19
2006-12-24,24
2006-12-31,21
2007-01-07,23
2007-01-14,39
2007-01-21,29
2007-01-28,21
2007-02-04,25
2007-02-11,27
2007-02-18,29
2007-02-25,27
2007-03-04,32
2007-03-11,24
2007-03-18,23
2007-03-25,18
2007-04-01,18
2007-04-08,30
2007-04-15,18
2007-04-22,18
2007-04-29,22
2007-05-06,20
2007-05-13,26
2007-05-20,15
2007-05-27,27
2007-06-03,25
2007-06-10,16
2007-06-17,22
2007-06-24,30
2007-07-01,25
2007-07-08,26
2007-07-15,27
2007-07-22,29
2007-07-29,15
2007-08-05,27
2007-08-12,19
2007-08-19,19
2007-08-26,20
2007-09-02,18
2007-09-09,21
2007-09-16,22
2007-09-23,20
2007-09-30,28
2007-10-07,27
2007-10-14,29
2007-10-21,31
2007-10-28,19
2007-11-04,31
2007-11-11,20
2007-11-18,23
2007-11-25,33
2007-12-02,23
2007-12-09,32
2007-12-16,28
2007-12-23,31
2007-12-30,36
2008-01-06,43
2008-01-13,32
2008-01-20,32
2008-01-27,30
2008-02-03,29
2008-02-10,28
2008-02-17,29
2008-02-24,31
2008-03-02,36
2008-03-09,23
2008-03-16,28
2008-03-23,34
2008-03-30,36
2008-04-06,30
2008-04-13,46
2008-04-20,34
2008-04-27,37
2008-05-04,30
2008-05-11,29
2008-05-18,30
2008-05-25,24
2008-06-01,24
2008-06-08,44
2008-06-15,32
2008-06-22,35
2008-06-29,26
2008-07-06,42
2008-07-13,42
2008-07-20,44
2008-07-27,46
2008-08-03,48
2008-08-10,39
2008-08-17,35
2008-08-24,46
2008-08-31,48
2008-09-07,49
2008-09-14,44
2008-09-21,49
2008-09-28,44
2008-10-05,50
2008-10-12,51
2008-10-19,44
2008-10-26,61
2008-11-02,57
2008-11-09,71
2008-11-16,62
2008-11-23,71
2008-11-30,100
2008-12-07,84
2008-12-14,81
2008-12-21,77
2008-12-28,87
