date,unemployment rate
2004-01-04,25
2004-01-11,28
2004-01-18,27
2004-01-25,29
2004-02-01,37
2004-02-08,29
2004-02-15,35
2004-02-22,39
2004-02-29,38
2004-03-07,46
2004-03-14,38
2004-03-21,34
2004-03-28,47
2004-04-04,40
2004-04-11,30
2004-04-18,47
2004-04-25,36
2004-05-02,35
2004-05-09,29
2004-05-16,24
2004-05-23,22
2004-05-30,27
2004-06-06,29
2004-06-13,22
2004-06-20,18
2004-06-27,22
2004-07-04,24
2004-07-11,23
2004-07-18,20
2004-07-25,29
2004-08-01,26
2004-08-08,21
2004-08-15,18
2004-08-22,26
2004-08-29,41
2004-09-05,40
2004-09-12,34
2004-09-19,40
2004-09-26,37
2004-10-03,47
2004-10-10,37
2004-10-17,39
2004-10-24,38
2004-10-31,54
2004-11-07,28
2004-11-14,37
2004-11-21,23
2004-11-28,36
2004-12-05,36
2004-12-12,27
2004-12-19,10
2004-12-26,16
2005-01-02,18
2005-01-09,25
2005-01-16,27
2005-01-23,25
2005-01-30,35
2005-02-06,29
2005-02-13,27
2005-02-20,29
2005-02-27,34
2005-03-06,25
2005-03-13,29
2005-03-20,28
2005-03-27,26
2005-04-03,28
2005-04-10,29
2005-04-17,29
2005-04-24,28
2005-05-01,33
2005-05-08,22
2005-05-15,22
2005-05-22,23
2005-05-29,22
2005-06-05,26
2005-06-12,20
2005-06-19,17
2005-06-26,14
2005-07-03,20
2005-07-10,23
2005-07-17,17
2005-07-24,16
2005-07-31,16
2005-08-07,17
2005-08-14,12
2005-08-21,16
2005-08-28,22
2005-09-04,20
2005-09-11,33
2005-09-18,24
2005-09-25,20
2005-10-02,24
2005-10-09,26
2005-10-16,27
2005-10-23,26
2005-10-30,27
2005-11-06,34
2005-11-13,28
2005-11-20,24
2005-11-27,36
2005-12-04,30
2005-12-11,26
2005-12-18,12
2005-12-25,13
2006-01-01,23
2006-01-08,24
2006-01-15,18
2006-01-22,18
2006-01-29,26
2006-02-05,26
2006-02-12,26
2006-02-19,21
2006-02-26,24
2006-03-05,24
2006-03-12,18
2006-03-19,27
2006-03-26,32
2006-04-02,30
2006-04-09,32
2006-04-16,28
2006-04-23,32
2006-04-30,26
2006-05-07,21
2006-05-14,23
2006-05-21,14
2006-05-28,19
2006-06-04,18
2006-06-11,15
2006-06-18,17
2006-06-25,14
2006-07-02,13
2006-07-09,12
2006-07-16,11
2006-07-23,13
2006-07-30,15
2006-08-06,13
2006-08-13,11
2006-08-20,14
2006-08-27,15
2006-09-03,21
2006-09-10,18
2006-09-17,25
2006-09-24,22
2006-10-01,24
2006-10-08,22
2006-10-15,23
2006-10-22,25
2006-10-29,27
2006-11-05,28
2006-11-12,24
2006-11-19,16
2006-11-26,21
2006-12-03,28
2006-12-10,26
2006-12-17,13
2006-12-24,8
2006-12-31,18
2007-01-07,19
2007-01-14,19
2007-01-21,24
2007-01-28,23
2007-02-04,19
2007-02-11,20
2007-02-18,19
2007-02-25,23
2007-03-04,20
2007-03-11,19
2007-03-18,20
2007-03-25,21
2007-04-01,20
2007-04-08,23
2007-04-15,19
2007-04-22,21
2007-04-29,22
2007-05-06,24
2007-05-13,20
2007-05-20,20
2007-05-27,15
2007-06-03,16
2007-06-10,17
2007-06-17,13
2007-06-24,13
2007-07-01,10
2007-07-08,15
2007-07-15,15
2007-07-22,16
2007-07-29,15
2007-08-05,12
2007-08-12,11
2007-08-19,12
2007-08-26,19
2007-09-02,16
2007-09-09,20
2007-09-16,23
2007-09-23,22
2007-09-30,21
2007-10-07,22
2007-10-14,23
2007-10-21,18
2007-10-28,21
2007-11-04,22
2007-11-11,23
2007-11-18,13
2007-11-25,24
2007-12-02,26
2007-12-09,24
2007-12-16,14
2007-12-23,9
2007-12-30,20
2008-01-06,24
2008-01-13,25
2008-01-20,27
2008-01-27,29
2008-02-03,23
2008-02-10,20
2008-02-17,26
2008-02-24,30
2008-03-02,27
2008-03-09,26
2008-03-16,21
2008-03-23,23
2008-03-30,30
2008-04-06,29
2008-04-13,26
2008-04-20,28
2008-04-27,30
2008-05-04,27
2008-05-11,20
2008-05-18,19
2008-05-25,18
2008-06-01,26
2008-06-08,23
2008-06-15,19
2008-06-22,19
2008-06-29,19
2008-07-06,18
2008-07-13,20
2008-07-20,16
2008-07-27,21
2008-08-03,17
2008-08-10,16
2008-08-17,14
2008-08-24,21
2008-08-31,43
2008-09-07,33
2008-09-14,43
2008-09-21,45
2008-09-28,48
2008-10-05,49
2008-10-12,42
2008-10-19,48
2008-10-26,49
2008-11-02,67
2008-11-09,63
2008-11-16,100
2008-11-23,52
2008-11-30,83
2008-12-07,72
2008-12-14,52
2008-12-21,32
2008-12-28,33
