date,unemployment washington
2004-01-04,62
2004-01-11,69
2004-01-18,47
2004-01-25,66
2004-02-01,44
2004-02-08,47
2004-02-15,55
2004-02-22,47
2004-02-29,45
2004-03-07,59
2004-03-14,39
2004-03-21,19
2004-03-28,41
2004-04-04,45
2004-04-11,35
2004-04-18,52
2004-04-25,45
2004-05-02,39
2004-05-09,39
2004-05-16,35
2004-05-23,51
2004-05-30,40
2004-06-06,30
2004-06-13,47
2004-06-20,37
2004-06-27,45
2004-07-04,47
2004-07-11,49
2004-07-18,49
2004-07-25,42
2004-08-01,43
2004-08-08,67
2004-08-15,39
2004-08-22,35
2004-08-29,39
2004-09-05,44
2004-09-12,32
2004-09-19,50
2004-09-26,32
2004-10-03,49
2004-10-10,43
2004-10-17,50
2004-10-24,33
2004-10-31,40
2004-11-07,29
2004-11-14,45
2004-11-21,37
2004-11-28,43
2004-12-05,32
2004-12-12,30
2004-12-19,36
2004-12-26,43
2005-01-02,62
2005-01-09,40
2005-01-16,51
2005-01-23,40
2005-01-30,42
2005-02-06,41
2005-02-13,29
2005-02-20,36
2005-02-27,41
2005-03-06,38
2005-03-13,38
2005-03-20,28
2005-03-27,35
2005-04-03,39
2005-04-10,31
2005-04-17,33
2005-04-24,33
2005-05-01,33
2005-05-08,22
2005-05-15,36
2005-05-22,34
2005-05-29,35
2005-06-05,47
2005-06-12,30
2005-06-19,35
2005-06-26,32
2005-07-03,37
2005-07-10,41
2005-07-17,28
2005-07-24,29
2005-07-31,36
2005-08-07,26
2005-08-14,31
2005-08-21,25
2005-08-28,24
2005-09-04,38
2005-09-11,28
2005-09-18,24
2005-09-25,31
2005-10-02,45
2005-10-09,30
2005-10-16,32
2005-10-23,43
2005-10-30,40
2005-11-06,35
2005-11-13,36
2005-11-20,22
2005-11-27,33
2005-12-04,36
2005-12-11,26
2005-12-18,40
2005-12-25,43
2006-01-01,41
2006-01-08,38
2006-01-15,32
2006-01-22,37
2006-01-29,37
2006-02-05,34
2006-02-12,30
2006-02-19,31
2006-02-26,38
2006-03-05,27
2006-03-12,33
2006-03-19,27
2006-03-26,31
2006-04-02,37
2006-04-09,32
2006-04-16,35
2006-04-23,29
2006-04-30,28
2006-05-07,27
2006-05-14,32
2006-05-21,26
2006-05-28,29
2006-06-04,24
2006-06-11,26
2006-06-18,22
2006-06-25,29
2006-07-02,18
2006-07-09,33
2006-07-16,32
2006-07-23,35
2006-07-30,34
2006-08-06,26
2006-08-13,40
2006-08-20,30
2006-08-27,28
2006-09-03,24
2006-09-10,29
2006-09-17,28
2006-09-24,27
2006-10-01,31
2006-10-08,37
2006-10-15,35
2006-10-22,36
2006-10-29,33
2006-11-05,30
2006-11-12,26
2006-11-19,21
2006-11-26,37
2006-12-03,36
2006-12-10,32
2006-12-17,33
2006-12-24,39
2006-12-31,43
2007-01-07,38
2007-01-14,47
2007-01-21,33
2007-01-28,30
2007-02-04,32
2007-02-11,26
2007-02-18,31
2007-02-25,28
2007-03-04,37
2007-03-11,29
2007-03-18,27
2007-03-25,24
2007-04-01,26
2007-04-08,30
2007-04-15,28
2007-04-22,25
2007-04-29,30
2007-05-06,27
2007-05-13,23
2007-05-20,24
2007-05-27,29
2007-06-03,28
2007-06-10,26
2007-06-17,25
2007-06-24,22
2007-07-01,34
2007-07-08,27
2007-07-15,30
2007-07-22,26
2007-07-29,29
2007-08-05,22
2007-08-12,29
2007-08-19,23
2007-08-26,27
2007-09-02,26
2007-09-09,29
2007-09-16,23
2007-09-23,19
2007-09-30,29
2007-10-07,28
2007-10-14,26
2007-10-21,26
2007-10-28,28
2007-11-04,26
2007-11-11,28
2007-11-18,20
2007-11-25,36
2007-12-02,33
2007-12-09,26
2007-12-16,36
2007-12-23,27
2007-12-30,34
2008-01-06,34
2008-01-13,31
2008-01-20,33
2008-01-27,30
2008-02-03,36
2008-02-10,32
2008-02-17,34
2008-02-24,35
2008-03-02,33
2008-03-09,26
2008-03-16,31
2008-03-23,33
2008-03-30,27
2008-04-06,28
2008-04-13,34
2008-04-20,33
2008-04-27,29
2008-05-04,31
2008-05-11,28
2008-05-18,34
2008-05-25,26
2008-06-01,36
2008-06-08,31
2008-06-15,32
2008-06-22,35
2008-06-29,39
2008-07-06,36
2008-07-13,40
2008-07-20,40
2008-07-27,39
2008-08-03,36
2008-08-10,33
2008-08-17,30
2008-08-24,42
2008-08-31,38
2008-09-07,33
2008-09-14,42
2008-09-21,46
2008-09-28,45
2008-10-05,45
2008-10-12,52
2008-10-19,57
2008-10-26,52
2008-11-02,60
2008-11-09,57
2008-11-16,64
2008-11-23,53
2008-11-30,72
2008-12-07,73
2008-12-14,70
2008-12-21,92
2008-12-28,100
