date,claim unemployment
2006-01-01,8
2006-01-08,6
2006-01-15,5
2006-01-22,5
2006-01-29,6
2006-02-05,4
2006-02-12,5
2006-02-19,5
2006-02-26,4
2006-03-05,5
2006-03-12,4
2006-03-19,3
2006-03-26,5
2006-04-02,4
2006-04-09,5
2006-04-16,4
2006-04-23,5
2006-04-30,6
2006-05-07,5
2006-05-14,4
2006-05-21,6
2006-05-28,7
2006-06-04,4
2006-06-11,4
2006-06-18,5
2006-06-25,5
2006-07-02,5
2006-07-09,3
2006-07-16,5
2006-07-23,5
2006-07-30,5
2006-08-06,5
2006-08-13,6
2006-08-20,4
2006-08-27,7
2006-09-03,8
2006-09-10,4
2006-09-17,4
2006-09-24,6
2006-10-01,3
2006-10-08,5
2006-10-15,4
2006-10-22,7
2006-10-29,5
2006-11-05,4
2006-11-12,4
2006-11-19,5
2006-11-26,8
2006-12-03,5
2006-12-10,5
2006-12-17,5
2006-12-24,6
2006-12-31,7
2007-01-07,7
2007-01-14,5
2007-01-21,4
2007-01-28,8
2007-02-04,8
2007-02-11,5
2007-02-18,8
2007-02-25,5
2007-03-04,5
2007-03-11,5
2007-03-18,5
2007-03-25,6
2007-04-01,6
2007-04-08,4
2007-04-15,7
2007-04-22,4
2007-04-29,5
2007-05-06,6
2007-05-13,5
2007-05-20,4
2007-05-27,4
2007-06-03,5
2007-06-10,7
2007-06-17,6
2007-06-24,7
2007-07-01,5
2007-07-08,6
2007-07-15,6
2007-07-22,6
2007-07-29,8
2007-08-05,7
2007-08-12,7
2007-08-19,6
2007-08-26,6
2007-09-02,8
2007-09-09,6
2007-09-16,5
2007-09-23,5
2007-09-30,7
2007-10-07,7
2007-10-14,5
2007-10-21,6
2007-10-28,5
2007-11-04,5
2007-11-11,7
2007-11-18,7
2007-11-25,7
2007-12-02,5
2007-12-09,6
2007-12-16,6
2007-12-23,10
2007-12-30,10
2008-01-06,9
2008-01-13,8
2008-01-20,8
2008-01-27,8
2008-02-03,8
2008-02-10,8
2008-02-17,5
2008-02-24,7
2008-03-02,6
2008-03-09,7
2008-03-16,7
2008-03-23,9
2008-03-30,8
2008-04-06,7
2008-04-13,7
2008-04-20,8
2008-04-27,8
2008-05-04,7
2008-05-11,9
2008-05-18,7
2008-05-25,7
2008-06-01,10
2008-06-08,9
2008-06-15,10
2008-06-22,10
2008-06-29,12
2008-07-06,9
2008-07-13,11
2008-07-20,11
2008-07-27,13
2008-08-03,13
2008-08-10,11
2008-08-17,14
2008-08-24,11
2008-08-31,16
2008-09-07,17
2008-09-14,16
2008-09-21,17
2008-09-28,16
2008-10-05,19
2008-10-12,18
2008-10-19,17
2008-10-26,19
2008-11-02,19
2008-11-09,21
2008-11-16,24
2008-11-23,22
2008-11-30,26
2008-12-07,25
2008-12-14,27
2008-12-21,34
2008-12-28,37
2009-01-04,41
2009-01-11,37
2009-01-18,32
2009-01-25,37
2009-02-01,34
2009-02-08,30
2009-02-15,33
2009-02-22,37
2009-03-01,36
2009-03-08,34
2009-03-15,33
2009-03-22,33
2009-03-29,34
2009-04-05,37
2009-04-12,36
2009-04-19,31
2009-04-26,35
2009-05-03,33
2009-05-10,39
2009-05-17,40
2009-05-24,39
2009-05-31,43
2009-06-07,43
2009-06-14,45
2009-06-21,47
2009-06-28,44
2009-07-05,52
2009-07-12,47
2009-07-19,43
2009-07-26,48
2009-08-02,53
2009-08-09,47
2009-08-16,49
2009-08-23,46
2009-08-30,42
2009-09-06,46
2009-09-13,48
2009-09-20,52
2009-09-27,49
2009-10-04,64
2009-10-11,54
2009-10-18,51
2009-10-25,49
2009-11-01,57
2009-11-08,57
2009-11-15,63
2009-11-22,63
2009-11-29,76
2009-12-06,60
2009-12-13,67
2009-12-20,100
2009-12-27,91
2010-01-03,81
2010-01-10,76
2010-01-17,81
2010-01-24,65
2010-01-31,65
2010-02-07,58
2010-02-14,70
2010-02-21,59
2010-02-28,60
2010-03-07,58
2010-03-14,66
2010-03-21,64
2010-03-28,72
2010-04-04,63
2010-04-11,63
2010-04-18,62
2010-04-25,56
2010-05-02,57
2010-05-09,66
2010-05-16,57
2010-05-23,62
2010-05-30,68
2010-06-06,67
2010-06-13,70
2010-06-20,72
2010-06-27,76
2010-07-04,73
2010-07-11,66
2010-07-18,58
2010-07-25,53
2010-08-01,56
2010-08-08,61
2010-08-15,51
2010-08-22,52
2010-08-29,47
2010-09-05,46
2010-09-12,48
2010-09-19,45
2010-09-26,43
2010-10-03,47
2010-10-10,45
2010-10-17,41
2010-10-24,45
2010-10-31,45
2010-11-07,43
2010-11-14,44
2010-11-21,44
2010-11-28,51
2010-12-05,46
2010-12-12,48
2010-12-19,53
2010-12-26,60
