date,file unemployment
2006-01-01,18
2006-01-08,19
2006-01-15,18
2006-01-22,17
2006-01-29,20
2006-02-05,15
2006-02-12,13
2006-02-19,12
2006-02-26,17
2006-03-05,16
2006-03-12,12
2006-03-19,12
2006-03-26,15
2006-04-02,14
2006-04-09,16
2006-04-16,10
2006-04-23,17
2006-04-30,11
2006-05-07,17
2006-05-14,13
2006-05-21,12
2006-05-28,15
2006-06-04,21
2006-06-11,13
2006-06-18,17
2006-06-25,21
2006-07-02,23
2006-07-09,18
2006-07-16,14
2006-07-23,18
2006-07-30,17
2006-08-06,15
2006-08-13,12
2006-08-20,19
2006-08-27,17
2006-09-03,15
2006-09-10,12
2006-09-17,13
2006-09-24,13
2006-10-01,17
2006-10-08,14
2006-10-15,17
2006-10-22,14
2006-10-29,19
2006-11-05,17
2006-11-12,14
2006-11-19,20
2006-11-26,12
2006-12-03,16
2006-12-10,18
2006-12-17,17
2006-12-24,16
2006-12-31,27
2007-01-07,20
2007-01-14,22
2007-01-21,22
2007-01-28,22
2007-02-04,16
2007-02-11,15
2007-02-18,17
2007-02-25,13
2007-03-04,18
2007-03-11,16
2007-03-18,16
2007-03-25,18
2007-04-01,18
2007-04-08,15
2007-04-15,18
2007-04-22,21
2007-04-29,24
2007-05-06,19
2007-05-13,20
2007-05-20,19
2007-05-27,16
2007-06-03,19
2007-06-10,15
2007-06-17,21
2007-06-24,20
2007-07-01,24
2007-07-08,19
2007-07-15,17
2007-07-22,18
2007-07-29,18
2007-08-05,16
2007-08-12,19
2007-08-19,20
2007-08-26,20
2007-09-02,25
2007-09-09,17
2007-09-16,19
2007-09-23,19
2007-09-30,18
2007-10-07,23
2007-10-14,17
2007-10-21,17
2007-10-28,23
2007-11-04,23
2007-11-11,21
2007-11-18,16
2007-11-25,20
2007-12-02,20
2007-12-09,20
2007-12-16,21
2007-12-23,25
2007-12-30,32
2008-01-06,26
2008-01-13,30
2008-01-20,30
2008-01-27,24
2008-02-03,27
2008-02-10,21
2008-02-17,20
2008-02-24,23
2008-03-02,19
2008-03-09,28
2008-03-16,20
2008-03-23,23
2008-03-30,26
2008-04-06,27
2008-04-13,27
2008-04-20,22
2008-04-27,29
2008-05-04,20
2008-05-11,23
2008-05-18,23
2008-05-25,20
2008-06-01,27
2008-06-08,37
2008-06-15,35
2008-06-22,30
2008-06-29,36
2008-07-06,36
2008-07-13,38
2008-07-20,29
2008-07-27,35
2008-08-03,39
2008-08-10,35
2008-08-17,36
2008-08-24,30
2008-08-31,33
2008-09-07,33
2008-09-14,33
2008-09-21,33
2008-09-28,35
2008-10-05,38
2008-10-12,38
2008-10-19,39
2008-10-26,39
2008-11-02,44
2008-11-09,54
2008-11-16,62
2008-11-23,45
2008-11-30,67
2008-12-07,62
2008-12-14,64
2008-12-21,62
2008-12-28,69
2009-01-04,96
2009-01-11,79
2009-01-18,69
2009-01-25,83
2009-02-01,78
2009-02-08,83
2009-02-15,84
2009-02-22,81
2009-03-01,78
2009-03-08,73
2009-03-15,65
2009-03-22,70
2009-03-29,60
2009-04-05,66
2009-04-12,75
2009-04-19,65
2009-04-26,70
2009-05-03,59
2009-05-10,64
2009-05-17,57
2009-05-24,70
2009-05-31,69
2009-06-07,66
2009-06-14,75
2009-06-21,67
2009-06-28,68
2009-07-05,76
2009-07-12,65
2009-07-19,62
2009-07-26,74
2009-08-02,69
2009-08-09,67
2009-08-16,62
2009-08-23,71
2009-08-30,62
2009-09-06,59
2009-09-13,61
2009-09-20,60
2009-09-27,57
2009-10-04,64
2009-10-11,62
2009-10-18,59
2009-10-25,61
2009-11-01,66
2009-11-08,69
2009-11-15,67
2009-11-22,54
2009-11-29,74
2009-12-06,57
2009-12-13,65
2009-12-20,69
2009-12-27,81
2010-01-03,87
2010-01-10,100
2010-01-17,85
2010-01-24,84
2010-01-31,73
2010-02-07,64
2010-02-14,68
2010-02-21,59
2010-02-28,62
2010-03-07,58
2010-03-14,56
2010-03-21,57
2010-03-28,65
2010-04-04,65
2010-04-11,77
2010-04-18,56
2010-04-25,62
2010-05-02,55
2010-05-09,60
2010-05-16,57
2010-05-23,56
2010-05-30,62
2010-06-06,60
2010-06-13,76
2010-06-20,65
2010-06-27,69
2010-07-04,59
2010-07-11,59
2010-07-18,77
2010-07-25,66
2010-08-01,62
2010-08-08,59
2010-08-15,59
2010-08-22,63
2010-08-29,63
2010-09-05,50
2010-09-12,60
2010-09-19,63
2010-09-26,62
2010-10-03,56
2010-10-10,55
2010-10-17,56
2010-10-24,60
2010-10-31,63
2010-11-07,57
2010-11-14,57
2010-11-21,44
2010-11-28,62
2010-12-05,69
2010-12-12,61
2010-12-19,68
2010-12-26,70
