date,nj unemployment
2006-01-01,25
2006-01-08,20
2006-01-15,24
2006-01-22,15
2006-01-29,19
2006-02-05,14
2006-02-12,19
2006-02-19,14
2006-02-26,19
2006-03-05,20
2006-03-12,14
2006-03-19,12
2006-03-26,15
2006-04-02,13
2006-04-09,11
2006-04-16,17
2006-04-23,13
2006-04-30,17
2006-05-07,10
2006-05-14,21
2006-05-21,18
2006-05-28,22
2006-06-04,24
2006-06-11,20
2006-06-18,24
2006-06-25,22
2006-07-02,34
2006-07-09,24
2006-07-16,20
2006-07-23,20
2006-07-30,24
2006-08-06,19
2006-08-13,17
2006-08-20,22
2006-08-27,20
2006-09-03,19
2006-09-10,20
2006-09-17,13
2006-09-24,18
2006-10-01,16
2006-10-08,17
2006-10-15,15
2006-10-22,15
2006-10-29,17
2006-11-05,13
2006-11-12,16
2006-11-19,18
2006-11-26,23
2006-12-03,19
2006-12-10,16
2006-12-17,18
2006-12-24,22
2006-12-31,27
2007-01-07,23
2007-01-14,26
2007-01-21,20
2007-01-28,24
2007-02-04,21
2007-02-11,18
2007-02-18,19
2007-02-25,17
2007-03-04,20
2007-03-11,21
2007-03-18,15
2007-03-25,18
2007-04-01,17
2007-04-08,21
2007-04-15,20
2007-04-22,18
2007-04-29,18
2007-05-06,17
2007-05-13,17
2007-05-20,17
2007-05-27,21
2007-06-03,17
2007-06-10,21
2007-06-17,18
2007-06-24,23
2007-07-01,23
2007-07-08,23
2007-07-15,15
2007-07-22,23
2007-07-29,23
2007-08-05,18
2007-08-12,15
2007-08-19,17
2007-08-26,23
2007-09-02,22
2007-09-09,22
2007-09-16,17
2007-09-23,17
2007-09-30,22
2007-10-07,17
2007-10-14,21
2007-10-21,18
2007-10-28,17
2007-11-04,23
2007-11-11,29
2007-11-18,17
2007-11-25,14
2007-12-02,19
2007-12-09,19
2007-12-16,20
2007-12-23,24
2007-12-30,33
2008-01-06,33
2008-01-13,28
2008-01-20,27
2008-01-27,30
2008-02-03,25
2008-02-10,20
2008-02-17,22
2008-02-24,23
2008-03-02,25
2008-03-09,20
2008-03-16,22
2008-03-23,22
2008-03-30,28
2008-04-06,27
2008-04-13,21
2008-04-20,20
2008-04-27,20
2008-05-04,23
2008-05-11,20
2008-05-18,21
2008-05-25,20
2008-06-01,27
2008-06-08,24
2008-06-15,30
2008-06-22,31
2008-06-29,40
2008-07-06,36
2008-07-13,32
2008-07-20,33
2008-07-27,35
2008-08-03,33
2008-08-10,39
2008-08-17,32
2008-08-24,35
2008-08-31,41
2008-09-07,39
2008-09-14,38
2008-09-21,37
2008-09-28,36
2008-10-05,37
2008-10-12,43
2008-10-19,39
2008-10-26,40
2008-11-02,45
2008-11-09,53
2008-11-16,66
2008-11-23,59
2008-11-30,60
2008-12-07,61
2008-12-14,63
2008-12-21,58
2008-12-28,75
2009-01-04,79
2009-01-11,71
2009-01-18,71
2009-01-25,68
2009-02-01,66
2009-02-08,63
2009-02-15,70
2009-02-22,63
2009-03-01,64
2009-03-08,63
2009-03-15,64
2009-03-22,61
2009-03-29,63
2009-04-05,49
2009-04-12,59
2009-04-19,54
2009-04-26,55
2009-05-03,48
2009-05-10,54
2009-05-17,55
2009-05-24,54
2009-05-31,62
2009-06-07,53
2009-06-14,55
2009-06-21,62
2009-06-28,71
2009-07-05,69
2009-07-12,67
2009-07-19,55
2009-07-26,60
2009-08-02,61
2009-08-09,58
2009-08-16,72
2009-08-23,61
2009-08-30,73
2009-09-06,62
2009-09-13,61
2009-09-20,76
2009-09-27,67
2009-10-04,68
2009-10-11,65
2009-10-18,65
2009-10-25,59
2009-11-01,74
2009-11-08,70
2009-11-15,61
2009-11-22,60
2009-11-29,62
2009-12-06,59
2009-12-13,54
2009-12-20,60
2009-12-27,85
2010-01-03,88
2010-01-10,76
2010-01-17,75
2010-01-24,63
2010-01-31,68
2010-02-07,58
2010-02-14,72
2010-02-21,65
2010-02-28,74
2010-03-07,62
2010-03-14,68
2010-03-21,64
2010-03-28,64
2010-04-04,61
2010-04-11,80
2010-04-18,63
2010-04-25,62
2010-05-02,61
2010-05-09,62
2010-05-16,57
2010-05-23,60
2010-05-30,56
2010-06-06,65
2010-06-13,69
2010-06-20,80
2010-06-27,100
2010-07-04,75
2010-07-11,72
2010-07-18,89
2010-07-25,70
2010-08-01,59
2010-08-08,58
2010-08-15,66
2010-08-22,57
2010-08-29,58
2010-09-05,52
2010-09-12,56
2010-09-19,55
2010-09-26,54
2010-10-03,53
2010-10-10,55
2010-10-17,51
2010-10-24,50
2010-10-31,50
2010-11-07,53
2010-11-14,53
2010-11-21,44
2010-11-28,86
2010-12-05,71
2010-12-12,68
2010-12-19,62
2010-12-26,65
