date,nys unemployment
2006-01-01,13
2006-01-08,10
2006-01-15,7
2006-01-22,8
2006-01-29,8
2006-02-05,7
2006-02-12,7
2006-02-19,9
2006-02-26,5
2006-03-05,8
2006-03-12,7
2006-03-19,7
2006-03-26,6
2006-04-02,8
2006-04-09,7
2006-04-16,6
2006-04-23,6
2006-04-30,7
2006-05-07,6
2006-05-14,7
2006-05-21,5
2006-05-28,9
2006-06-04,7
2006-06-11,8
2006-06-18,8
2006-06-25,9
2006-07-02,10
2006-07-09,8
2006-07-16,9
2006-07-23,8
2006-07-30,7
2006-08-06,7
2006-08-13,7
2006-08-20,8
2006-08-27,8
2006-09-03,8
2006-09-10,8
2006-09-17,10
2006-09-24,8
2006-10-01,8
2006-10-08,7
2006-10-15,8
2006-10-22,7
2006-10-29,10
2006-11-05,8
2006-11-12,9
2006-11-19,10
2006-11-26,9
2006-12-03,9
2006-12-10,8
2006-12-17,10
2006-12-24,15
2006-12-31,11
2007-01-07,11
2007-01-14,11
2007-01-21,11
2007-01-28,11
2007-02-04,9
2007-02-11,10
2007-02-18,11
2007-02-25,12
2007-03-04,10
2007-03-11,10
2007-03-18,11
2007-03-25,9
2007-04-01,9
2007-04-08,11
2007-04-15,10
2007-04-22,11
2007-04-29,9
2007-05-06,8
2007-05-13,10
2007-05-20,9
2007-05-27,9
2007-06-03,8
2007-06-10,8
2007-06-17,10
2007-06-24,9
2007-07-01,10
2007-07-08,10
2007-07-15,10
2007-07-22,9
2007-07-29,10
2007-08-05,9
2007-08-12,11
2007-08-19,12
2007-08-26,12
2007-09-02,11
2007-09-09,11
2007-09-16,10
2007-09-23,9
2007-09-30,10
2007-10-07,10
2007-10-14,10
2007-10-21,10
2007-10-28,9
2007-11-04,10
2007-11-11,9
2007-11-18,10
2007-11-25,12
2007-12-02,10
2007-12-09,9
2007-12-16,11
2007-12-23,14
2007-12-30,15
2008-01-06,13
2008-01-13,14
2008-01-20,15
2008-01-27,14
2008-02-03,13
2008-02-10,14
2008-02-17,14
2008-02-24,12
2008-03-02,12
2008-03-09,14
2008-03-16,13
2008-03-23,12
2008-03-30,13
2008-04-06,11
2008-04-13,10
2008-04-20,11
2008-04-27,11
2008-05-04,11
2008-05-11,10
2008-05-18,12
2008-05-25,11
2008-06-01,10
2008-06-08,10
2008-06-15,11
2008-06-22,13
2008-06-29,13
2008-07-06,14
2008-07-13,15
2008-07-20,15
2008-07-27,19
2008-08-03,15
2008-08-10,16
2008-08-17,16
2008-08-24,16
2008-08-31,19
2008-09-07,15
2008-09-14,15
2008-09-21,15
2008-09-28,16
2008-10-05,17
2008-10-12,19
2008-10-19,17
2008-10-26,20
2008-11-02,17
2008-11-09,20
2008-11-16,22
2008-11-23,25
2008-11-30,27
2008-12-07,25
2008-12-14,26
2008-12-21,28
2008-12-28,29
2009-01-04,35
2009-01-11,34
2009-01-18,34
2009-01-25,32
2009-02-01,30
2009-02-08,30
2009-02-15,35
2009-02-22,41
2009-03-01,32
2009-03-08,34
2009-03-15,35
2009-03-22,36
2009-03-29,35
2009-04-05,37
2009-04-12,33
2009-04-19,32
2009-04-26,31
2009-05-03,33
2009-05-10,33
2009-05-17,35
2009-05-24,34
2009-05-31,32
2009-06-07,33
2009-06-14,32
2009-06-21,39
2009-06-28,39
2009-07-05,44
2009-07-12,44
2009-07-19,38
2009-07-26,40
2009-08-02,42
2009-08-09,44
2009-08-16,43
2009-08-23,41
2009-08-30,38
2009-09-06,43
2009-09-13,39
2009-09-20,40
2009-09-27,43
2009-10-04,61
2009-10-11,51
2009-10-18,42
2009-10-25,42
2009-11-01,49
2009-11-08,67
2009-11-15,48
2009-11-22,46
2009-11-29,46
2009-12-06,41
2009-12-13,48
2009-12-20,67
2009-12-27,61
2010-01-03,55
2010-01-10,58
2010-01-17,58
2010-01-24,52
2010-01-31,48
2010-02-07,49
2010-02-14,52
2010-02-21,51
2010-02-28,55
2010-03-07,50
2010-03-14,49
2010-03-21,51
2010-03-28,100
2010-04-04,50
2010-04-11,54
2010-04-18,48
2010-04-25,48
2010-05-02,44
2010-05-09,44
2010-05-16,42
2010-05-23,40
2010-05-30,47
2010-06-06,45
2010-06-13,42
2010-06-20,47
2010-06-27,49
2010-07-04,48
2010-07-11,52
2010-07-18,60
2010-07-25,41
2010-08-01,37
2010-08-08,35
2010-08-15,34
2010-08-22,35
2010-08-29,32
2010-09-05,34
2010-09-12,38
2010-09-19,36
2010-09-26,35
2010-10-03,35
2010-10-10,35
2010-10-17,32
2010-10-24,31
2010-10-31,32
2010-11-07,37
2010-11-14,36
2010-11-21,37
2010-11-28,38
2010-12-05,42
2010-12-12,48
2010-12-19,47
2010-12-26,44
