date,texas unemployment
2006-01-01,22
2006-01-08,25
2006-01-15,20
2006-01-22,21
2006-01-29,14
2006-02-05,16
2006-02-12,15
2006-02-19,18
2006-02-26,16
2006-03-05,16
2006-03-12,12
2006-03-19,15
2006-03-26,12
2006-04-02,17
2006-04-09,17
2006-04-16,14
2006-04-23,16
2006-04-30,18
2006-05-07,15
2006-05-14,13
2006-05-21,14
2006-05-28,15
2006-06-04,19
2006-06-11,13
2006-06-18,18
2006-06-25,19
2006-07-02,20
2006-07-09,14
2006-07-16,12
2006-07-23,20
2006-07-30,21
2006-08-06,18
2006-08-13,22
2006-08-20,15
2006-08-27,15
2006-09-03,14
2006-09-10,16
2006-09-17,17
2006-09-24,12
2006-10-01,15
2006-10-08,14
2006-10-15,17
2006-10-22,12
2006-10-29,14
2006-11-05,13
2006-11-12,16
2006-11-19,12
2006-11-26,16
2006-12-03,14
2006-12-10,12
2006-12-17,13
2006-12-24,16
2006-12-31,17
2007-01-07,17
2007-01-14,19
2007-01-21,21
2007-01-28,19
2007-02-04,16
2007-02-11,12
2007-02-18,17
2007-02-25,17
2007-03-04,16
2007-03-11,14
2007-03-18,16
2007-03-25,15
2007-04-01,14
2007-04-08,14
2007-04-15,18
2007-04-22,16
2007-04-29,21
2007-05-06,18
2007-05-13,17
2007-05-20,15
2007-05-27,18
2007-06-03,13
2007-06-10,17
2007-06-17,20
2007-06-24,17
2007-07-01,17
2007-07-08,20
2007-07-15,14
2007-07-22,14
2007-07-29,19
2007-08-05,20
2007-08-12,15
2007-08-19,12
2007-08-26,17
2007-09-02,20
2007-09-09,16
2007-09-16,14
2007-09-23,17
2007-09-30,16
2007-10-07,13
2007-10-14,15
2007-10-21,19
2007-10-28,17
2007-11-04,18
2007-11-11,16
2007-11-18,12
2007-11-25,19
2007-12-02,12
2007-12-09,14
2007-12-16,17
2007-12-23,14
2007-12-30,16
2008-01-06,21
2008-01-13,22
2008-01-20,22
2008-01-27,22
2008-02-03,18
2008-02-10,16
2008-02-17,18
2008-02-24,13
2008-03-02,15
2008-03-09,18
2008-03-16,15
2008-03-23,17
2008-03-30,21
2008-04-06,20
2008-04-13,19
2008-04-20,20
2008-04-27,20
2008-05-04,16
2008-05-11,16
2008-05-18,15
2008-05-25,20
2008-06-01,26
2008-06-08,25
2008-06-15,19
2008-06-22,17
2008-06-29,21
2008-07-06,25
2008-07-13,23
2008-07-20,27
2008-07-27,26
2008-08-03,25
2008-08-10,22
2008-08-17,26
2008-08-24,28
2008-08-31,28
2008-09-07,22
2008-09-14,38
2008-09-21,36
2008-09-28,33
2008-10-05,29
2008-10-12,32
2008-10-19,31
2008-10-26,26
2008-11-02,33
2008-11-09,29
2008-11-16,41
2008-11-23,25
2008-11-30,38
2008-12-07,42
2008-12-14,37
2008-12-21,36
2008-12-28,37
2009-01-04,59
2009-01-11,53
2009-01-18,49
2009-01-25,51
2009-02-01,55
2009-02-08,45
2009-02-15,53
2009-02-22,58
2009-03-01,56
2009-03-08,56
2009-03-15,50
2009-03-22,51
2009-03-29,52
2009-04-05,58
2009-04-12,54
2009-04-19,47
2009-04-26,54
2009-05-03,49
2009-05-10,53
2009-05-17,52
2009-05-24,47
2009-05-31,57
2009-06-07,54
2009-06-14,58
2009-06-21,58
2009-06-28,56
2009-07-05,60
2009-07-12,68
2009-07-19,64
2009-07-26,60
2009-08-02,65
2009-08-09,62
2009-08-16,59
2009-08-23,55
2009-08-30,57
2009-09-06,52
2009-09-13,53
2009-09-20,60
2009-09-27,59
2009-10-04,57
2009-10-11,57
2009-10-18,51
2009-10-25,51
2009-11-01,62
2009-11-08,64
2009-11-15,57
2009-11-22,46
2009-11-29,55
2009-12-06,47
2009-12-13,59
2009-12-20,43
2009-12-27,49
2010-01-03,66
2010-01-10,56
2010-01-17,57
2010-01-24,53
2010-01-31,50
2010-02-07,43
2010-02-14,50
2010-02-21,46
2010-02-28,55
2010-03-07,51
2010-03-14,42
2010-03-21,45
2010-03-28,55
2010-04-04,53
2010-04-11,64
2010-04-18,54
2010-04-25,48
2010-05-02,48
2010-05-09,47
2010-05-16,52
2010-05-23,54
2010-05-30,54
2010-06-06,58
2010-06-13,59
2010-06-20,70
2010-06-27,67
2010-07-04,65
2010-07-11,64
2010-07-18,100
2010-07-25,83
2010-08-01,60
2010-08-08,60
2010-08-15,59
2010-08-22,55
2010-08-29,56
2010-09-05,50
2010-09-12,49
2010-09-19,48
2010-09-26,50
2010-10-03,54
2010-10-10,53
2010-10-17,51
2010-10-24,48
2010-10-31,49
2010-11-07,49
2010-11-14,51
2010-11-21,43
2010-11-28,58
2010-12-05,64
2010-12-12,64
2010-12-19,53
2010-12-26,59
