date,unemployed
2006-01-01,19
2006-01-08,36
2006-01-15,28
2006-01-22,22
2006-01-29,29
2006-02-05,27
2006-02-12,21
2006-02-19,20
2006-02-26,24
2006-03-05,30
2006-03-12,24
2006-03-19,17
2006-03-26,23
2006-04-02,23
2006-04-09,30
2006-04-16,23
2006-04-23,24
2006-04-30,23
2006-05-07,26
2006-05-14,22
2006-05-21,17
2006-05-28,19
2006-06-04,15
2006-06-11,20
2006-06-18,26
2006-06-25,20
2006-07-02,17
2006-07-09,18
2006-07-16,23
2006-07-23,21
2006-07-30,19
2006-08-06,20
2006-08-13,21
2006-08-20,15
2006-08-27,19
2006-09-03,24
2006-09-10,18
2006-09-17,23
2006-09-24,18
2006-10-01,22
2006-10-08,23
2006-10-15,21
2006-10-22,25
2006-10-29,18
2006-11-05,18
2006-11-12,18
2006-11-19,19
2006-11-26,23
2006-12-03,22
2006-12-10,23
2006-12-17,19
2006-12-24,13
2006-12-31,19
2007-01-07,24
2007-01-14,20
2007-01-21,20
2007-01-28,24
2007-02-04,28
2007-02-11,26
2007-02-18,29
2007-02-25,26
2007-03-04,24
2007-03-11,19
2007-03-18,21
2007-03-25,19
2007-04-01,21
2007-04-08,22
2007-04-15,22
2007-04-22,24
2007-04-29,22
2007-05-06,22
2007-05-13,20
2007-05-20,18
2007-05-27,20
2007-06-03,20
2007-06-10,20
2007-06-17,15
2007-06-24,13
2007-07-01,18
2007-07-08,23
2007-07-15,18
2007-07-22,23
2007-07-29,23
2007-08-05,24
2007-08-12,20
2007-08-19,21
2007-08-26,20
2007-09-02,18
2007-09-09,19
2007-09-16,21
2007-09-23,22
2007-09-30,19
2007-10-07,18
2007-10-14,22
2007-10-21,27
2007-10-28,23
2007-11-04,21
2007-11-11,18
2007-11-18,18
2007-11-25,19
2007-12-02,24
2007-12-09,23
2007-12-16,17
2007-12-23,15
2007-12-30,20
2008-01-06,25
2008-01-13,19
2008-01-20,27
2008-01-27,28
2008-02-03,23
2008-02-10,25
2008-02-17,25
2008-02-24,24
2008-03-02,24
2008-03-09,25
2008-03-16,22
2008-03-23,29
2008-03-30,23
2008-04-06,23
2008-04-13,33
2008-04-20,31
2008-04-27,27
2008-05-04,27
2008-05-11,27
2008-05-18,21
2008-05-25,26
2008-06-01,25
2008-06-08,20
2008-06-15,28
2008-06-22,22
2008-06-29,25
2008-07-06,21
2008-07-13,22
2008-07-20,26
2008-07-27,21
2008-08-03,21
2008-08-10,25
2008-08-17,25
2008-08-24,22
2008-08-31,25
2008-09-07,26
2008-09-14,22
2008-09-21,35
2008-09-28,35
2008-10-05,30
2008-10-12,35
2008-10-19,33
2008-10-26,37
2008-11-02,40
2008-11-09,41
2008-11-16,41
2008-11-23,38
2008-11-30,43
2008-12-07,48
2008-12-14,48
2008-12-21,30
2008-12-28,37
2009-01-04,53
2009-01-11,51
2009-01-18,54
2009-01-25,68
2009-02-01,63
2009-02-08,71
2009-02-15,75
2009-02-22,76
2009-03-01,78
2009-03-08,77
2009-03-15,69
2009-03-22,65
2009-03-29,67
2009-04-05,63
2009-04-12,75
2009-04-19,59
2009-04-26,64
2009-05-03,62
2009-05-10,64
2009-05-17,57
2009-05-24,57
2009-05-31,57
2009-06-07,61
2009-06-14,54
2009-06-21,54
2009-06-28,61
2009-07-05,57
2009-07-12,67
2009-07-19,64
2009-07-26,69
2009-08-02,59
2009-08-09,58
2009-08-16,61
2009-08-23,57
2009-08-30,67
2009-09-06,61
2009-09-13,62
2009-09-20,71
2009-09-27,67
2009-10-04,64
2009-10-11,64
2009-10-18,65
2009-10-25,71
2009-11-01,75
2009-11-08,76
2009-11-15,75
2009-11-22,61
2009-11-29,74
2009-12-06,73
2009-12-13,68
2009-12-20,50
2009-12-27,52
2010-01-03,74
2010-01-10,77
2010-01-17,76
2010-01-24,72
2010-01-31,71
2010-02-07,60
2010-02-14,64
2010-02-21,80
2010-02-28,84
2010-03-07,80
2010-03-14,73
2010-03-21,97
2010-03-28,90
2010-04-04,82
2010-04-11,79
2010-04-18,78
2010-04-25,69
2010-05-02,63
2010-05-09,65
2010-05-16,62
2010-05-23,65
2010-05-30,71
2010-06-06,74
2010-06-13,88
2010-06-20,99
2010-06-27,92
2010-07-04,78
2010-07-11,78
2010-07-18,100
2010-07-25,79
2010-08-01,63
2010-08-08,69
2010-08-15,65
2010-08-22,60
2010-08-29,62
2010-09-05,60
2010-09-12,63
2010-09-19,64
2010-09-26,58
2010-10-03,62
2010-10-10,55
2010-10-17,58
2010-10-24,61
2010-10-31,56
2010-11-07,60
2010-11-14,65
2010-11-21,51
2010-11-28,71
2010-12-05,71
2010-12-12,70
2010-12-19,55
2010-12-26,45
