date,unemployment extension
2006-01-01,0
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,0
2006-03-12,0
2006-03-19,0
2006-03-26,0
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,0
2006-04-30,0
2006-05-07,0
2006-05-14,0
2006-05-21,0
2006-05-28,0
2006-06-04,0
2006-06-11,0
2006-06-18,0
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,0
2006-08-06,0
2006-08-13,0
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,0
2006-09-17,0
2006-09-24,0
2006-10-01,0
2006-10-08,0
2006-10-15,0
2006-10-22,0
2006-10-29,0
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,0
2006-12-10,0
2006-12-17,0
2006-12-24,0
2006-12-31,0
2007-01-07,0
2007-01-14,0
2007-01-21,0
2007-01-28,0
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,0
2007-04-08,0
2007-04-15,0
2007-04-22,0
2007-04-29,0
2007-05-06,0
2007-05-13,0
2007-05-20,0
2007-05-27,0
2007-06-03,0
2007-06-10,0
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,0
2007-08-26,0
2007-09-02,0
2007-09-09,0
2007-09-16,0
2007-09-23,0
2007-09-30,0
2007-10-07,0
2007-10-14,0
2007-10-21,0
2007-10-28,0
2007-11-04,0
2007-11-11,0
2007-11-18,0
2007-11-25,0
2007-12-02,0
2007-12-09,0
2007-12-16,0
2007-12-23,0
2007-12-30,0
2008-01-06,0
2008-01-13,0
2008-01-20,0
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,1
2008-03-16,0
2008-03-23,0
2008-03-30,1
2008-04-06,0
2008-04-13,1
2008-04-20,0
2008-04-27,0
2008-05-04,0
2008-05-11,1
2008-05-18,1
2008-05-25,1
2008-06-01,1
2008-06-08,2
2008-06-15,3
2008-06-22,4
2008-06-29,5
2008-07-06,2
2008-07-13,2
2008-07-20,1
2008-07-27,1
2008-08-03,1
2008-08-10,0
2008-08-17,0
2008-08-24,0
2008-08-31,0
2008-09-07,0
2008-09-14,0
2008-09-21,1
2008-09-28,2
2008-10-05,2
2008-10-12,1
2008-10-19,1
2008-10-26,1
2008-11-02,1
2008-11-09,2
2008-11-16,7
2008-11-23,4
2008-11-30,3
2008-12-07,2
2008-12-14,1
2008-12-21,1
2008-12-28,1
2009-01-04,2
2009-01-11,2
2009-01-18,2
2009-01-25,2
2009-02-01,2
2009-02-08,2
2009-02-15,3
2009-02-22,3
2009-03-01,2
2009-03-08,2
2009-03-15,2
2009-03-22,2
2009-03-29,2
2009-04-05,2
2009-04-12,2
2009-04-19,2
2009-04-26,2
2009-05-03,2
2009-05-10,2
2009-05-17,2
2009-05-24,1
2009-05-31,2
2009-06-07,2
2009-06-14,1
2009-06-21,1
2009-06-28,1
2009-07-05,2
2009-07-12,2
2009-07-19,2
2009-07-26,2
2009-08-02,3
2009-08-09,3
2009-08-16,2
2009-08-23,3
2009-08-30,3
2009-09-06,3
2009-09-13,4
2009-09-20,8
2009-09-27,8
2009-10-04,10
2009-10-11,13
2009-10-18,14
2009-10-25,18
2009-11-01,24
2009-11-08,10
2009-11-15,6
2009-11-22,5
2009-11-29,5
2009-12-06,4
2009-12-13,6
2009-12-20,4
2009-12-27,3
2010-01-03,4
2010-01-10,3
2010-01-17,4
2010-01-24,4
2010-01-31,6
2010-02-07,6
2010-02-14,8
2010-02-21,16
2010-02-28,24
2010-03-07,14
2010-03-14,12
2010-03-21,11
2010-03-28,10
2010-04-04,11
2010-04-11,31
2010-04-18,14
2010-04-25,10
2010-05-02,10
2010-05-09,9
2010-05-16,12
2010-05-23,17
2010-05-30,13
2010-06-06,26
2010-06-13,36
2010-06-20,54
2010-06-27,58
2010-07-04,33
2010-07-11,68
2010-07-18,100
2010-07-25,25
2010-08-01,12
2010-08-08,9
2010-08-15,7
2010-08-22,7
2010-08-29,6
2010-09-05,7
2010-09-12,8
2010-09-19,7
2010-09-26,6
2010-10-03,7
2010-10-10,6
2010-10-17,6
2010-10-24,5
2010-10-31,7
2010-11-07,8
2010-11-14,13
2010-11-21,10
2010-11-28,29
2010-12-05,38
2010-12-12,35
2010-12-19,12
2010-12-26,7
