date,unemployment number
2006-01-01,18
2006-01-08,8
2006-01-15,11
2006-01-22,15
2006-01-29,14
2006-02-05,7
2006-02-12,16
2006-02-19,7
2006-02-26,10
2006-03-05,12
2006-03-12,15
2006-03-19,13
2006-03-26,7
2006-04-02,16
2006-04-09,12
2006-04-16,12
2006-04-23,12
2006-04-30,14
2006-05-07,10
2006-05-14,9
2006-05-21,10
2006-05-28,17
2006-06-04,17
2006-06-11,10
2006-06-18,10
2006-06-25,12
2006-07-02,10
2006-07-09,15
2006-07-16,5
2006-07-23,12
2006-07-30,7
2006-08-06,7
2006-08-13,14
2006-08-20,9
2006-08-27,15
2006-09-03,6
2006-09-10,15
2006-09-17,5
2006-09-24,12
2006-10-01,8
2006-10-08,11
2006-10-15,12
2006-10-22,8
2006-10-29,13
2006-11-05,13
2006-11-12,13
2006-11-19,14
2006-11-26,10
2006-12-03,10
2006-12-10,12
2006-12-17,12
2006-12-24,11
2006-12-31,10
2007-01-07,13
2007-01-14,12
2007-01-21,14
2007-01-28,13
2007-02-04,14
2007-02-11,17
2007-02-18,9
2007-02-25,11
2007-03-04,15
2007-03-11,18
2007-03-18,11
2007-03-25,13
2007-04-01,15
2007-04-08,16
2007-04-15,17
2007-04-22,17
2007-04-29,11
2007-05-06,9
2007-05-13,15
2007-05-20,8
2007-05-27,11
2007-06-03,13
2007-06-10,16
2007-06-17,14
2007-06-24,9
2007-07-01,18
2007-07-08,13
2007-07-15,9
2007-07-22,17
2007-07-29,13
2007-08-05,10
2007-08-12,13
2007-08-19,9
2007-08-26,15
2007-09-02,10
2007-09-09,16
2007-09-16,14
2007-09-23,13
2007-09-30,15
2007-10-07,20
2007-10-14,13
2007-10-21,14
2007-10-28,9
2007-11-04,9
2007-11-11,17
2007-11-18,12
2007-11-25,17
2007-12-02,18
2007-12-09,14
2007-12-16,15
2007-12-23,13
2007-12-30,22
2008-01-06,21
2008-01-13,20
2008-01-20,23
2008-01-27,18
2008-02-03,15
2008-02-10,13
2008-02-17,15
2008-02-24,16
2008-03-02,22
2008-03-09,16
2008-03-16,16
2008-03-23,18
2008-03-30,18
2008-04-06,20
2008-04-13,22
2008-04-20,24
2008-04-27,19
2008-05-04,17
2008-05-11,16
2008-05-18,18
2008-05-25,14
2008-06-01,12
2008-06-08,19
2008-06-15,20
2008-06-22,25
2008-06-29,16
2008-07-06,21
2008-07-13,16
2008-07-20,27
2008-07-27,23
2008-08-03,30
2008-08-10,21
2008-08-17,23
2008-08-24,22
2008-08-31,27
2008-09-07,32
2008-09-14,24
2008-09-21,28
2008-09-28,26
2008-10-05,31
2008-10-12,31
2008-10-19,27
2008-10-26,35
2008-11-02,41
2008-11-09,42
2008-11-16,42
2008-11-23,44
2008-11-30,50
2008-12-07,49
2008-12-14,54
2008-12-21,45
2008-12-28,58
2009-01-04,71
2009-01-11,65
2009-01-18,50
2009-01-25,57
2009-02-01,61
2009-02-08,53
2009-02-15,63
2009-02-22,55
2009-03-01,52
2009-03-08,59
2009-03-15,51
2009-03-22,53
2009-03-29,51
2009-04-05,52
2009-04-12,57
2009-04-19,52
2009-04-26,57
2009-05-03,44
2009-05-10,47
2009-05-17,47
2009-05-24,56
2009-05-31,46
2009-06-07,46
2009-06-14,54
2009-06-21,56
2009-06-28,64
2009-07-05,56
2009-07-12,62
2009-07-19,72
2009-07-26,67
2009-08-02,58
2009-08-09,61
2009-08-16,52
2009-08-23,59
2009-08-30,59
2009-09-06,65
2009-09-13,59
2009-09-20,59
2009-09-27,61
2009-10-04,73
2009-10-11,66
2009-10-18,61
2009-10-25,59
2009-11-01,75
2009-11-08,91
2009-11-15,64
2009-11-22,53
2009-11-29,86
2009-12-06,73
2009-12-13,71
2009-12-20,78
2009-12-27,82
2010-01-03,96
2010-01-10,100
2010-01-17,96
2010-01-24,81
2010-01-31,75
2010-02-07,71
2010-02-14,77
2010-02-21,76
2010-02-28,75
2010-03-07,64
2010-03-14,70
2010-03-21,61
2010-03-28,65
2010-04-04,66
2010-04-11,70
2010-04-18,63
2010-04-25,60
2010-05-02,60
2010-05-09,61
2010-05-16,60
2010-05-23,64
2010-05-30,63
2010-06-06,62
2010-06-13,74
2010-06-20,70
2010-06-27,79
2010-07-04,89
2010-07-11,83
2010-07-18,91
2010-07-25,88
2010-08-01,97
2010-08-08,82
2010-08-15,71
2010-08-22,78
2010-08-29,68
2010-09-05,63
2010-09-12,73
2010-09-19,80
2010-09-26,74
2010-10-03,68
2010-10-10,64
2010-10-17,68
2010-10-24,74
2010-10-31,69
2010-11-07,82
2010-11-14,73
2010-11-21,56
2010-11-28,97
2010-12-05,85
2010-12-12,88
2010-12-19,91
2010-12-26,89
