date,unemployment office
2006-01-01,32
2006-01-08,36
2006-01-15,28
2006-01-22,35
2006-01-29,23
2006-02-05,23
2006-02-12,28
2006-02-19,22
2006-02-26,30
2006-03-05,27
2006-03-12,21
2006-03-19,29
2006-03-26,23
2006-04-02,28
2006-04-09,25
2006-04-16,26
2006-04-23,26
2006-04-30,23
2006-05-07,24
2006-05-14,24
2006-05-21,29
2006-05-28,21
2006-06-04,33
2006-06-11,32
2006-06-18,33
2006-06-25,37
2006-07-02,29
2006-07-09,33
2006-07-16,32
2006-07-23,33
2006-07-30,37
2006-08-06,34
2006-08-13,33
2006-08-20,27
2006-08-27,29
2006-09-03,32
2006-09-10,30
2006-09-17,27
2006-09-24,25
2006-10-01,27
2006-10-08,28
2006-10-15,32
2006-10-22,30
2006-10-29,30
2006-11-05,31
2006-11-12,28
2006-11-19,25
2006-11-26,32
2006-12-03,31
2006-12-10,30
2006-12-17,27
2006-12-24,28
2006-12-31,37
2007-01-07,40
2007-01-14,38
2007-01-21,39
2007-01-28,33
2007-02-04,34
2007-02-11,27
2007-02-18,31
2007-02-25,29
2007-03-04,32
2007-03-11,29
2007-03-18,28
2007-03-25,31
2007-04-01,33
2007-04-08,30
2007-04-15,31
2007-04-22,28
2007-04-29,31
2007-05-06,29
2007-05-13,29
2007-05-20,28
2007-05-27,31
2007-06-03,31
2007-06-10,37
2007-06-17,33
2007-06-24,35
2007-07-01,35
2007-07-08,38
2007-07-15,36
2007-07-22,36
2007-07-29,37
2007-08-05,39
2007-08-12,33
2007-08-19,34
2007-08-26,36
2007-09-02,34
2007-09-09,32
2007-09-16,34
2007-09-23,30
2007-09-30,33
2007-10-07,34
2007-10-14,33
2007-10-21,33
2007-10-28,31
2007-11-04,33
2007-11-11,35
2007-11-18,30
2007-11-25,36
2007-12-02,35
2007-12-09,33
2007-12-16,32
2007-12-23,33
2007-12-30,45
2008-01-06,47
2008-01-13,40
2008-01-20,40
2008-01-27,43
2008-02-03,43
2008-02-10,32
2008-02-17,37
2008-02-24,34
2008-03-02,38
2008-03-09,36
2008-03-16,36
2008-03-23,33
2008-03-30,39
2008-04-06,36
2008-04-13,36
2008-04-20,35
2008-04-27,35
2008-05-04,36
2008-05-11,36
2008-05-18,34
2008-05-25,38
2008-06-01,34
2008-06-08,35
2008-06-15,38
2008-06-22,36
2008-06-29,39
2008-07-06,51
2008-07-13,50
2008-07-20,45
2008-07-27,48
2008-08-03,47
2008-08-10,47
2008-08-17,49
2008-08-24,46
2008-08-31,46
2008-09-07,50
2008-09-14,45
2008-09-21,46
2008-09-28,51
2008-10-05,52
2008-10-12,55
2008-10-19,57
2008-10-26,58
2008-11-02,54
2008-11-09,64
2008-11-16,69
2008-11-23,53
2008-11-30,74
2008-12-07,77
2008-12-14,64
2008-12-21,55
2008-12-28,76
2009-01-04,100
2009-01-11,87
2009-01-18,84
2009-01-25,76
2009-02-01,83
2009-02-08,69
2009-02-15,67
2009-02-22,73
2009-03-01,72
2009-03-08,69
2009-03-15,59
2009-03-22,64
2009-03-29,68
2009-04-05,65
2009-04-12,60
2009-04-19,58
2009-04-26,61
2009-05-03,62
2009-05-10,57
2009-05-17,63
2009-05-24,65
2009-05-31,70
2009-06-07,66
2009-06-14,67
2009-06-21,67
2009-06-28,67
2009-07-05,73
2009-07-12,74
2009-07-19,69
2009-07-26,70
2009-08-02,64
2009-08-09,67
2009-08-16,72
2009-08-23,66
2009-08-30,62
2009-09-06,62
2009-09-13,53
2009-09-20,53
2009-09-27,50
2009-10-04,48
2009-10-11,51
2009-10-18,49
2009-10-25,47
2009-11-01,47
2009-11-08,51
2009-11-15,53
2009-11-22,39
2009-11-29,56
2009-12-06,47
2009-12-13,47
2009-12-20,38
2009-12-27,52
2010-01-03,67
2010-01-10,62
2010-01-17,60
2010-01-24,56
2010-01-31,50
2010-02-07,43
2010-02-14,48
2010-02-21,45
2010-02-28,46
2010-03-07,44
2010-03-14,40
2010-03-21,40
2010-03-28,42
2010-04-04,42
2010-04-11,43
2010-04-18,37
2010-04-25,37
2010-05-02,40
2010-05-09,39
2010-05-16,39
2010-05-23,38
2010-05-30,37
2010-06-06,41
2010-06-13,44
2010-06-20,47
2010-06-27,49
2010-07-04,47
2010-07-11,48
2010-07-18,56
2010-07-25,56
2010-08-01,52
2010-08-08,46
2010-08-15,45
2010-08-22,45
2010-08-29,46
2010-09-05,39
2010-09-12,42
2010-09-19,35
2010-09-26,38
2010-10-03,41
2010-10-10,37
2010-10-17,37
2010-10-24,36
2010-10-31,42
2010-11-07,38
2010-11-14,39
2010-11-21,30
2010-11-28,41
2010-12-05,44
2010-12-12,40
2010-12-19,39
2010-12-26,43
