date,unemployment oregon
2006-01-01,22
2006-01-08,23
2006-01-15,24
2006-01-22,18
2006-01-29,16
2006-02-05,17
2006-02-12,16
2006-02-19,19
2006-02-26,14
2006-03-05,16
2006-03-12,12
2006-03-19,16
2006-03-26,15
2006-04-02,17
2006-04-09,17
2006-04-16,15
2006-04-23,13
2006-04-30,13
2006-05-07,11
2006-05-14,12
2006-05-21,15
2006-05-28,16
2006-06-04,11
2006-06-11,18
2006-06-18,17
2006-06-25,21
2006-07-02,23
2006-07-09,19
2006-07-16,16
2006-07-23,17
2006-07-30,22
2006-08-06,14
2006-08-13,15
2006-08-20,17
2006-08-27,17
2006-09-03,16
2006-09-10,18
2006-09-17,18
2006-09-24,15
2006-10-01,17
2006-10-08,16
2006-10-15,17
2006-10-22,13
2006-10-29,17
2006-11-05,16
2006-11-12,16
2006-11-19,17
2006-11-26,15
2006-12-03,16
2006-12-10,17
2006-12-17,22
2006-12-24,22
2006-12-31,26
2007-01-07,21
2007-01-14,22
2007-01-21,24
2007-01-28,20
2007-02-04,21
2007-02-11,17
2007-02-18,18
2007-02-25,19
2007-03-04,14
2007-03-11,15
2007-03-18,16
2007-03-25,15
2007-04-01,16
2007-04-08,21
2007-04-15,15
2007-04-22,13
2007-04-29,15
2007-05-06,16
2007-05-13,15
2007-05-20,18
2007-05-27,18
2007-06-03,16
2007-06-10,16
2007-06-17,18
2007-06-24,21
2007-07-01,22
2007-07-08,22
2007-07-15,14
2007-07-22,19
2007-07-29,13
2007-08-05,18
2007-08-12,16
2007-08-19,17
2007-08-26,18
2007-09-02,17
2007-09-09,15
2007-09-16,16
2007-09-23,19
2007-09-30,19
2007-10-07,21
2007-10-14,18
2007-10-21,15
2007-10-28,17
2007-11-04,19
2007-11-11,23
2007-11-18,17
2007-11-25,20
2007-12-02,20
2007-12-09,22
2007-12-16,18
2007-12-23,24
2007-12-30,30
2008-01-06,27
2008-01-13,27
2008-01-20,24
2008-01-27,28
2008-02-03,25
2008-02-10,26
2008-02-17,26
2008-02-24,24
2008-03-02,19
2008-03-09,21
2008-03-16,25
2008-03-23,21
2008-03-30,21
2008-04-06,23
2008-04-13,23
2008-04-20,22
2008-04-27,19
2008-05-04,26
2008-05-11,21
2008-05-18,18
2008-05-25,23
2008-06-01,28
2008-06-08,25
2008-06-15,24
2008-06-22,25
2008-06-29,32
2008-07-06,29
2008-07-13,29
2008-07-20,27
2008-07-27,29
2008-08-03,27
2008-08-10,27
2008-08-17,27
2008-08-24,24
2008-08-31,32
2008-09-07,27
2008-09-14,26
2008-09-21,31
2008-09-28,31
2008-10-05,28
2008-10-12,29
2008-10-19,34
2008-10-26,37
2008-11-02,35
2008-11-09,47
2008-11-16,49
2008-11-23,45
2008-11-30,56
2008-12-07,52
2008-12-14,54
2008-12-21,63
2008-12-28,65
2009-01-04,78
2009-01-11,66
2009-01-18,69
2009-01-25,64
2009-02-01,61
2009-02-08,64
2009-02-15,72
2009-02-22,64
2009-03-01,62
2009-03-08,65
2009-03-15,64
2009-03-22,60
2009-03-29,66
2009-04-05,59
2009-04-12,69
2009-04-19,60
2009-04-26,59
2009-05-03,57
2009-05-10,66
2009-05-17,57
2009-05-24,69
2009-05-31,57
2009-06-07,58
2009-06-14,68
2009-06-21,68
2009-06-28,71
2009-07-05,68
2009-07-12,63
2009-07-19,66
2009-07-26,69
2009-08-02,65
2009-08-09,61
2009-08-16,67
2009-08-23,58
2009-08-30,59
2009-09-06,59
2009-09-13,58
2009-09-20,55
2009-09-27,56
2009-10-04,100
2009-10-11,67
2009-10-18,65
2009-10-25,63
2009-11-01,71
2009-11-08,71
2009-11-15,64
2009-11-22,64
2009-11-29,64
2009-12-06,61
2009-12-13,66
2009-12-20,66
2009-12-27,85
2010-01-03,86
2010-01-10,76
2010-01-17,79
2010-01-24,71
2010-01-31,65
2010-02-07,63
2010-02-14,67
2010-02-21,60
2010-02-28,65
2010-03-07,58
2010-03-14,63
2010-03-21,60
2010-03-28,66
2010-04-04,63
2010-04-11,61
2010-04-18,62
2010-04-25,63
2010-05-02,59
2010-05-09,61
2010-05-16,59
2010-05-23,62
2010-05-30,63
2010-06-06,61
2010-06-13,57
2010-06-20,63
2010-06-27,64
2010-07-04,66
2010-07-11,67
2010-07-18,68
2010-07-25,60
2010-08-01,58
2010-08-08,57
2010-08-15,52
2010-08-22,50
2010-08-29,46
2010-09-05,55
2010-09-12,44
2010-09-19,45
2010-09-26,46
2010-10-03,42
2010-10-10,51
2010-10-17,48
2010-10-24,52
2010-10-31,49
2010-11-07,47
2010-11-14,48
2010-11-21,49
2010-11-28,57
2010-12-05,53
2010-12-12,56
2010-12-19,68
2010-12-26,64
