date,unemployment wisconsin
2006-01-01,21
2006-01-08,21
2006-01-15,19
2006-01-22,14
2006-01-29,19
2006-02-05,12
2006-02-12,19
2006-02-19,16
2006-02-26,13
2006-03-05,10
2006-03-12,14
2006-03-19,13
2006-03-26,17
2006-04-02,12
2006-04-09,12
2006-04-16,14
2006-04-23,18
2006-04-30,10
2006-05-07,13
2006-05-14,13
2006-05-21,17
2006-05-28,14
2006-06-04,8
2006-06-11,15
2006-06-18,15
2006-06-25,11
2006-07-02,17
2006-07-09,20
2006-07-16,13
2006-07-23,16
2006-07-30,15
2006-08-06,19
2006-08-13,17
2006-08-20,18
2006-08-27,15
2006-09-03,12
2006-09-10,9
2006-09-17,14
2006-09-24,11
2006-10-01,19
2006-10-08,14
2006-10-15,17
2006-10-22,9
2006-10-29,17
2006-11-05,14
2006-11-12,12
2006-11-19,9
2006-11-26,13
2006-12-03,19
2006-12-10,14
2006-12-17,21
2006-12-24,23
2006-12-31,21
2007-01-07,21
2007-01-14,23
2007-01-21,19
2007-01-28,15
2007-02-04,14
2007-02-11,14
2007-02-18,17
2007-02-25,18
2007-03-04,15
2007-03-11,13
2007-03-18,17
2007-03-25,14
2007-04-01,19
2007-04-08,13
2007-04-15,16
2007-04-22,11
2007-04-29,14
2007-05-06,14
2007-05-13,12
2007-05-20,12
2007-05-27,12
2007-06-03,12
2007-06-10,10
2007-06-17,11
2007-06-24,13
2007-07-01,18
2007-07-08,20
2007-07-15,13
2007-07-22,13
2007-07-29,18
2007-08-05,12
2007-08-12,12
2007-08-19,14
2007-08-26,13
2007-09-02,9
2007-09-09,12
2007-09-16,12
2007-09-23,11
2007-09-30,12
2007-10-07,14
2007-10-14,11
2007-10-21,14
2007-10-28,11
2007-11-04,13
2007-11-11,10
2007-11-18,19
2007-11-25,19
2007-12-02,14
2007-12-09,17
2007-12-16,23
2007-12-23,15
2007-12-30,26
2008-01-06,22
2008-01-13,22
2008-01-20,21
2008-01-27,19
2008-02-03,18
2008-02-10,18
2008-02-17,18
2008-02-24,14
2008-03-02,15
2008-03-09,17
2008-03-16,16
2008-03-23,15
2008-03-30,16
2008-04-06,15
2008-04-13,18
2008-04-20,14
2008-04-27,11
2008-05-04,14
2008-05-11,16
2008-05-18,11
2008-05-25,14
2008-06-01,14
2008-06-08,15
2008-06-15,14
2008-06-22,17
2008-06-29,19
2008-07-06,16
2008-07-13,21
2008-07-20,17
2008-07-27,15
2008-08-03,16
2008-08-10,15
2008-08-17,20
2008-08-24,17
2008-08-31,14
2008-09-07,20
2008-09-14,17
2008-09-21,15
2008-09-28,18
2008-10-05,20
2008-10-12,18
2008-10-19,19
2008-10-26,22
2008-11-02,25
2008-11-09,22
2008-11-16,34
2008-11-23,32
2008-11-30,41
2008-12-07,37
2008-12-14,39
2008-12-21,57
2008-12-28,73
2009-01-04,57
2009-01-11,62
2009-01-18,64
2009-01-25,59
2009-02-01,59
2009-02-08,58
2009-02-15,53
2009-02-22,57
2009-03-01,61
2009-03-08,62
2009-03-15,65
2009-03-22,57
2009-03-29,67
2009-04-05,57
2009-04-12,67
2009-04-19,60
2009-04-26,59
2009-05-03,53
2009-05-10,64
2009-05-17,66
2009-05-24,63
2009-05-31,67
2009-06-07,65
2009-06-14,71
2009-06-21,65
2009-06-28,65
2009-07-05,73
2009-07-12,74
2009-07-19,63
2009-07-26,74
2009-08-02,69
2009-08-09,73
2009-08-16,73
2009-08-23,62
2009-08-30,66
2009-09-06,70
2009-09-13,63
2009-09-20,70
2009-09-27,58
2009-10-04,66
2009-10-11,72
2009-10-18,67
2009-10-25,65
2009-11-01,72
2009-11-08,64
2009-11-15,66
2009-11-22,76
2009-11-29,75
2009-12-06,70
2009-12-13,79
2009-12-20,82
2009-12-27,94
2010-01-03,96
2010-01-10,98
2010-01-17,100
2010-01-24,86
2010-01-31,80
2010-02-07,79
2010-02-14,74
2010-02-21,73
2010-02-28,77
2010-03-07,72
2010-03-14,64
2010-03-21,65
2010-03-28,68
2010-04-04,77
2010-04-11,80
2010-04-18,85
2010-04-25,74
2010-05-02,69
2010-05-09,77
2010-05-16,64
2010-05-23,69
2010-05-30,87
2010-06-06,71
2010-06-13,95
2010-06-20,79
2010-06-27,87
2010-07-04,86
2010-07-11,73
2010-07-18,94
2010-07-25,97
2010-08-01,73
2010-08-08,68
2010-08-15,65
2010-08-22,63
2010-08-29,64
2010-09-05,54
2010-09-12,53
2010-09-19,54
2010-09-26,50
2010-10-03,51
2010-10-10,50
2010-10-17,56
2010-10-24,64
2010-10-31,56
2010-11-07,55
2010-11-14,50
2010-11-21,57
2010-11-28,66
2010-12-05,65
2010-12-12,68
2010-12-19,71
2010-12-26,80
