date,california unemployment
2008-01-06,28
2008-01-13,26
2008-01-20,27
2008-01-27,27
2008-02-03,22
2008-02-10,22
2008-02-17,25
2008-02-24,21
2008-03-02,24
2008-03-09,23
2008-03-16,24
2008-03-23,20
2008-03-30,22
2008-04-06,23
2008-04-13,23
2008-04-20,23
2008-04-27,21
2008-05-04,23
2008-05-11,21
2008-05-18,20
2008-05-25,19
2008-06-01,26
2008-06-08,29
2008-06-15,37
2008-06-22,35
2008-06-29,35
2008-07-06,40
2008-07-13,35
2008-07-20,39
2008-07-27,33
2008-08-03,34
2008-08-10,30
2008-08-17,30
2008-08-24,29
2008-08-31,34
2008-09-07,38
2008-09-14,37
2008-09-21,33
2008-09-28,42
2008-10-05,42
2008-10-12,42
2008-10-19,43
2008-10-26,43
2008-11-02,44
2008-11-09,47
2008-11-16,62
2008-11-23,50
2008-11-30,62
2008-12-07,59
2008-12-14,51
2008-12-21,35
2008-12-28,48
2009-01-04,75
2009-01-11,58
2009-01-18,65
2009-01-25,78
2009-02-01,72
2009-02-08,58
2009-02-15,66
2009-02-22,76
2009-03-01,77
2009-03-08,71
2009-03-15,61
2009-03-22,68
2009-03-29,68
2009-04-05,56
2009-04-12,62
2009-04-19,54
2009-04-26,55
2009-05-03,53
2009-05-10,55
2009-05-17,58
2009-05-24,58
2009-05-31,64
2009-06-07,63
2009-06-14,69
2009-06-21,66
2009-06-28,74
2009-07-05,70
2009-07-12,68
2009-07-19,66
2009-07-26,64
2009-08-02,67
2009-08-09,56
2009-08-16,57
2009-08-23,55
2009-08-30,64
2009-09-06,55
2009-09-13,63
2009-09-20,65
2009-09-27,69
2009-10-04,60
2009-10-11,57
2009-10-18,59
2009-10-25,54
2009-11-01,73
2009-11-08,63
2009-11-15,62
2009-11-22,52
2009-11-29,64
2009-12-06,59
2009-12-13,63
2009-12-20,52
2009-12-27,51
2010-01-03,74
2010-01-10,65
2010-01-17,68
2010-01-24,67
2010-01-31,66
2010-02-07,54
2010-02-14,54
2010-02-21,59
2010-02-28,69
2010-03-07,60
2010-03-14,56
2010-03-21,54
2010-03-28,57
2010-04-04,55
2010-04-11,67
2010-04-18,56
2010-04-25,50
2010-05-02,49
2010-05-09,56
2010-05-16,53
2010-05-23,52
2010-05-30,55
2010-06-06,58
2010-06-13,63
2010-06-20,76
2010-06-27,83
2010-07-04,69
2010-07-11,74
2010-07-18,100
2010-07-25,63
2010-08-01,51
2010-08-08,47
2010-08-15,46
2010-08-22,42
2010-08-29,42
2010-09-05,40
2010-09-12,44
2010-09-19,48
2010-09-26,41
2010-10-03,43
2010-10-10,41
2010-10-17,43
2010-10-24,46
2010-10-31,49
2010-11-07,46
2010-11-14,48
2010-11-21,34
2010-11-28,62
2010-12-05,65
2010-12-12,56
2010-12-19,45
2010-12-26,43
2011-01-02,67
2011-01-09,62
2011-01-16,53
2011-01-23,51
2011-01-30,52
2011-02-06,45
2011-02-13,39
2011-02-20,32
2011-02-27,34
2011-03-06,33
2011-03-13,36
2011-03-20,36
2011-03-27,37
2011-04-03,41
2011-04-10,36
2011-04-17,33
2011-04-24,33
2011-05-01,33
2011-05-08,37
2011-05-15,36
2011-05-22,40
2011-05-29,44
2011-06-05,41
2011-06-12,46
2011-06-19,46
2011-06-26,47
2011-07-03,46
2011-07-10,50
2011-07-17,43
2011-07-24,44
2011-07-31,45
2011-08-07,43
2011-08-14,45
2011-08-21,41
2011-08-28,47
2011-09-04,47
2011-09-11,40
2011-09-18,43
2011-09-25,45
2011-10-02,43
2011-10-09,42
2011-10-16,34
2011-10-23,31
2011-10-30,34
2011-11-06,31
2011-11-13,30
2011-11-20,24
2011-11-27,30
2011-12-04,28
2011-12-11,29
2011-12-18,29
2011-12-25,27
2012-01-01,33
2012-01-08,31
2012-01-15,35
2012-01-22,34
2012-01-29,34
2012-02-05,31
2012-02-12,32
2012-02-19,32
2012-02-26,27
2012-03-04,30
2012-03-11,27
2012-03-18,29
2012-03-25,29
2012-04-01,27
2012-04-08,30
2012-04-15,32
2012-04-22,29
2012-04-29,31
2012-05-06,33
2012-05-13,31
2012-05-20,30
2012-05-27,30
2012-06-03,30
2012-06-10,33
2012-06-17,31
2012-06-24,29
2012-07-01,29
2012-07-08,30
2012-07-15,28
2012-07-22,29
2012-07-29,27
2012-08-05,27
2012-08-12,29
2012-08-19,25
2012-08-26,27
2012-09-02,29
2012-09-09,27
2012-09-16,26
2012-09-23,25
2012-09-30,28
2012-10-07,30
2012-10-14,29
2012-10-21,25
2012-10-28,24
2012-11-04,26
2012-11-11,27
2012-11-18,20
2012-11-25,26
2012-12-02,23
2012-12-09,26
2012-12-16,23
2012-12-23,22
2012-12-30,32
