date,claim unemployment
2008-01-06,9
2008-01-13,9
2008-01-20,9
2008-01-27,8
2008-02-03,6
2008-02-10,8
2008-02-17,6
2008-02-24,7
2008-03-02,8
2008-03-09,6
2008-03-16,6
2008-03-23,9
2008-03-30,8
2008-04-06,8
2008-04-13,8
2008-04-20,7
2008-04-27,8
2008-05-04,8
2008-05-11,8
2008-05-18,7
2008-05-25,7
2008-06-01,10
2008-06-08,9
2008-06-15,10
2008-06-22,10
2008-06-29,9
2008-07-06,10
2008-07-13,12
2008-07-20,9
2008-07-27,13
2008-08-03,12
2008-08-10,12
2008-08-17,12
2008-08-24,12
2008-08-31,16
2008-09-07,14
2008-09-14,19
2008-09-21,15
2008-09-28,17
2008-10-05,19
2008-10-12,18
2008-10-19,19
2008-10-26,18
2008-11-02,20
2008-11-09,19
2008-11-16,22
2008-11-23,24
2008-11-30,27
2008-12-07,25
2008-12-14,26
2008-12-21,34
2008-12-28,36
2009-01-04,39
2009-01-11,35
2009-01-18,32
2009-01-25,34
2009-02-01,32
2009-02-08,30
2009-02-15,33
2009-02-22,41
2009-03-01,36
2009-03-08,32
2009-03-15,33
2009-03-22,35
2009-03-29,34
2009-04-05,37
2009-04-12,34
2009-04-19,33
2009-04-26,34
2009-05-03,33
2009-05-10,36
2009-05-17,35
2009-05-24,38
2009-05-31,42
2009-06-07,42
2009-06-14,44
2009-06-21,49
2009-06-28,49
2009-07-05,49
2009-07-12,49
2009-07-19,43
2009-07-26,46
2009-08-02,53
2009-08-09,50
2009-08-16,49
2009-08-23,46
2009-08-30,42
2009-09-06,47
2009-09-13,45
2009-09-20,57
2009-09-27,49
2009-10-04,63
2009-10-11,51
2009-10-18,50
2009-10-25,45
2009-11-01,57
2009-11-08,55
2009-11-15,57
2009-11-22,61
2009-11-29,76
2009-12-06,60
2009-12-13,68
2009-12-20,100
2009-12-27,92
2010-01-03,83
2010-01-10,72
2010-01-17,76
2010-01-24,65
2010-01-31,63
2010-02-07,56
2010-02-14,65
2010-02-21,57
2010-02-28,62
2010-03-07,60
2010-03-14,63
2010-03-21,63
2010-03-28,76
2010-04-04,67
2010-04-11,66
2010-04-18,63
2010-04-25,60
2010-05-02,60
2010-05-09,65
2010-05-16,57
2010-05-23,60
2010-05-30,67
2010-06-06,68
2010-06-13,66
2010-06-20,68
2010-06-27,79
2010-07-04,70
2010-07-11,67
2010-07-18,57
2010-07-25,55
2010-08-01,54
2010-08-08,58
2010-08-15,48
2010-08-22,53
2010-08-29,49
2010-09-05,49
2010-09-12,45
2010-09-19,46
2010-09-26,43
2010-10-03,48
2010-10-10,44
2010-10-17,42
2010-10-24,43
2010-10-31,45
2010-11-07,44
2010-11-14,48
2010-11-21,44
2010-11-28,52
2010-12-05,48
2010-12-12,47
2010-12-19,56
2010-12-26,59
2011-01-02,72
2011-01-09,68
2011-01-16,67
2011-01-23,62
2011-01-30,61
2011-02-06,54
2011-02-13,51
2011-02-20,43
2011-02-27,48
2011-03-06,42
2011-03-13,41
2011-03-20,44
2011-03-27,44
2011-04-03,47
2011-04-10,45
2011-04-17,47
2011-04-24,43
2011-05-01,41
2011-05-08,53
2011-05-15,51
2011-05-22,52
2011-05-29,64
2011-06-05,59
2011-06-12,63
2011-06-19,59
2011-06-26,67
2011-07-03,70
2011-07-10,65
2011-07-17,64
2011-07-24,57
2011-07-31,77
2011-08-07,72
2011-08-14,72
2011-08-21,71
2011-08-28,72
2011-09-04,75
2011-09-11,71
2011-09-18,65
2011-09-25,70
2011-10-02,98
2011-10-09,81
2011-10-16,58
2011-10-23,54
2011-10-30,51
2011-11-06,52
2011-11-13,53
2011-11-20,50
2011-11-27,56
2011-12-04,46
2011-12-11,49
2011-12-18,56
2011-12-25,64
2012-01-01,64
2012-01-08,59
2012-01-15,61
2012-01-22,60
2012-01-29,59
2012-02-05,50
2012-02-12,48
2012-02-19,53
2012-02-26,48
2012-03-04,51
2012-03-11,50
2012-03-18,52
2012-03-25,49
2012-04-01,47
2012-04-08,46
2012-04-15,46
2012-04-22,45
2012-04-29,51
2012-05-06,51
2012-05-13,55
2012-05-20,56
2012-05-27,59
2012-06-03,54
2012-06-10,53
2012-06-17,54
2012-06-24,55
2012-07-01,62
2012-07-08,57
2012-07-15,55
2012-07-22,50
2012-07-29,46
2012-08-05,43
2012-08-12,42
2012-08-19,40
2012-08-26,41
2012-09-02,49
2012-09-09,39
2012-09-16,40
2012-09-23,42
2012-09-30,50
2012-10-07,49
2012-10-14,44
2012-10-21,46
2012-10-28,46
2012-11-04,47
2012-11-11,51
2012-11-18,44
2012-11-25,48
2012-12-02,48
2012-12-09,41
2012-12-16,52
2012-12-23,48
2012-12-30,56
