date,file unemployment
2008-01-06,24
2008-01-13,27
2008-01-20,23
2008-01-27,26
2008-02-03,23
2008-02-10,23
2008-02-17,17
2008-02-24,22
2008-03-02,20
2008-03-09,23
2008-03-16,18
2008-03-23,23
2008-03-30,27
2008-04-06,26
2008-04-13,30
2008-04-20,19
2008-04-27,23
2008-05-04,24
2008-05-11,23
2008-05-18,24
2008-05-25,22
2008-06-01,30
2008-06-08,33
2008-06-15,30
2008-06-22,28
2008-06-29,31
2008-07-06,26
2008-07-13,35
2008-07-20,27
2008-07-27,38
2008-08-03,33
2008-08-10,34
2008-08-17,28
2008-08-24,32
2008-08-31,31
2008-09-07,38
2008-09-14,35
2008-09-21,34
2008-09-28,32
2008-10-05,37
2008-10-12,39
2008-10-19,38
2008-10-26,36
2008-11-02,50
2008-11-09,53
2008-11-16,63
2008-11-23,46
2008-11-30,61
2008-12-07,61
2008-12-14,58
2008-12-21,51
2008-12-28,63
2009-01-04,93
2009-01-11,71
2009-01-18,72
2009-01-25,75
2009-02-01,80
2009-02-08,66
2009-02-15,75
2009-02-22,76
2009-03-01,72
2009-03-08,72
2009-03-15,66
2009-03-22,57
2009-03-29,60
2009-04-05,62
2009-04-12,60
2009-04-19,60
2009-04-26,59
2009-05-03,64
2009-05-10,55
2009-05-17,60
2009-05-24,62
2009-05-31,66
2009-06-07,64
2009-06-14,69
2009-06-21,62
2009-06-28,69
2009-07-05,63
2009-07-12,67
2009-07-19,56
2009-07-26,67
2009-08-02,71
2009-08-09,57
2009-08-16,64
2009-08-23,67
2009-08-30,62
2009-09-06,58
2009-09-13,54
2009-09-20,68
2009-09-27,64
2009-10-04,63
2009-10-11,54
2009-10-18,52
2009-10-25,52
2009-11-01,63
2009-11-08,66
2009-11-15,62
2009-11-22,49
2009-11-29,65
2009-12-06,53
2009-12-13,60
2009-12-20,72
2009-12-27,80
2010-01-03,85
2010-01-10,83
2010-01-17,83
2010-01-24,82
2010-01-31,69
2010-02-07,61
2010-02-14,65
2010-02-21,56
2010-02-28,57
2010-03-07,65
2010-03-14,55
2010-03-21,59
2010-03-28,65
2010-04-04,61
2010-04-11,72
2010-04-18,55
2010-04-25,55
2010-05-02,53
2010-05-09,49
2010-05-16,51
2010-05-23,53
2010-05-30,56
2010-06-06,53
2010-06-13,68
2010-06-20,61
2010-06-27,70
2010-07-04,63
2010-07-11,58
2010-07-18,67
2010-07-25,64
2010-08-01,59
2010-08-08,57
2010-08-15,59
2010-08-22,61
2010-08-29,50
2010-09-05,56
2010-09-12,60
2010-09-19,53
2010-09-26,50
2010-10-03,51
2010-10-10,53
2010-10-17,52
2010-10-24,53
2010-10-31,52
2010-11-07,57
2010-11-14,53
2010-11-21,44
2010-11-28,62
2010-12-05,63
2010-12-12,58
2010-12-19,63
2010-12-26,66
2011-01-02,100
2011-01-09,91
2011-01-16,90
2011-01-23,97
2011-01-30,96
2011-02-06,78
2011-02-13,75
2011-02-20,65
2011-02-27,65
2011-03-06,58
2011-03-13,55
2011-03-20,64
2011-03-27,64
2011-04-03,72
2011-04-10,71
2011-04-17,69
2011-04-24,61
2011-05-01,57
2011-05-08,57
2011-05-15,54
2011-05-22,60
2011-05-29,69
2011-06-05,65
2011-06-12,64
2011-06-19,62
2011-06-26,74
2011-07-03,65
2011-07-10,67
2011-07-17,71
2011-07-24,62
2011-07-31,64
2011-08-07,63
2011-08-14,62
2011-08-21,64
2011-08-28,57
2011-09-04,65
2011-09-11,60
2011-09-18,57
2011-09-25,60
2011-10-02,67
2011-10-09,63
2011-10-16,63
2011-10-23,61
2011-10-30,67
2011-11-06,65
2011-11-13,56
2011-11-20,49
2011-11-27,62
2011-12-04,60
2011-12-11,62
2011-12-18,65
2011-12-25,75
2012-01-01,92
2012-01-08,85
2012-01-15,82
2012-01-22,87
2012-01-29,81
2012-02-05,69
2012-02-12,60
2012-02-19,65
2012-02-26,64
2012-03-04,53
2012-03-11,58
2012-03-18,66
2012-03-25,59
2012-04-01,58
2012-04-08,62
2012-04-15,70
2012-04-22,58
2012-04-29,56
2012-05-06,54
2012-05-13,54
2012-05-20,62
2012-05-27,60
2012-06-03,62
2012-06-10,60
2012-06-17,56
2012-06-24,62
2012-07-01,69
2012-07-08,65
2012-07-15,63
2012-07-22,63
2012-07-29,59
2012-08-05,57
2012-08-12,62
2012-08-19,59
2012-08-26,60
2012-09-02,63
2012-09-09,57
2012-09-16,62
2012-09-23,59
2012-09-30,67
2012-10-07,57
2012-10-14,58
2012-10-21,59
2012-10-28,62
2012-11-04,64
2012-11-11,71
2012-11-18,52
2012-11-25,66
2012-12-02,65
2012-12-09,64
2012-12-16,66
2012-12-23,63
2012-12-30,81
