date,indiana unemployment
2008-01-06,21
2008-01-13,17
2008-01-20,16
2008-01-27,19
2008-02-03,16
2008-02-10,13
2008-02-17,15
2008-02-24,11
2008-03-02,16
2008-03-09,16
2008-03-16,10
2008-03-23,15
2008-03-30,15
2008-04-06,16
2008-04-13,10
2008-04-20,14
2008-04-27,13
2008-05-04,13
2008-05-11,12
2008-05-18,9
2008-05-25,10
2008-06-01,9
2008-06-08,13
2008-06-15,13
2008-06-22,16
2008-06-29,18
2008-07-06,21
2008-07-13,22
2008-07-20,21
2008-07-27,17
2008-08-03,15
2008-08-10,17
2008-08-17,16
2008-08-24,18
2008-08-31,17
2008-09-07,15
2008-09-14,16
2008-09-21,14
2008-09-28,20
2008-10-05,18
2008-10-12,17
2008-10-19,25
2008-10-26,21
2008-11-02,21
2008-11-09,25
2008-11-16,29
2008-11-23,25
2008-11-30,31
2008-12-07,27
2008-12-14,32
2008-12-21,32
2008-12-28,42
2009-01-04,43
2009-01-11,43
2009-01-18,41
2009-01-25,37
2009-02-01,35
2009-02-08,37
2009-02-15,45
2009-02-22,38
2009-03-01,36
2009-03-08,43
2009-03-15,42
2009-03-22,36
2009-03-29,38
2009-04-05,44
2009-04-12,45
2009-04-19,36
2009-04-26,31
2009-05-03,33
2009-05-10,34
2009-05-17,33
2009-05-24,36
2009-05-31,43
2009-06-07,36
2009-06-14,46
2009-06-21,57
2009-06-28,44
2009-07-05,43
2009-07-12,45
2009-07-19,39
2009-07-26,36
2009-08-02,38
2009-08-09,38
2009-08-16,39
2009-08-23,43
2009-08-30,35
2009-09-06,34
2009-09-13,36
2009-09-20,35
2009-09-27,37
2009-10-04,37
2009-10-11,36
2009-10-18,33
2009-10-25,34
2009-11-01,36
2009-11-08,35
2009-11-15,38
2009-11-22,42
2009-11-29,40
2009-12-06,35
2009-12-13,51
2009-12-20,43
2009-12-27,50
2010-01-03,56
2010-01-10,50
2010-01-17,47
2010-01-24,46
2010-01-31,37
2010-02-07,39
2010-02-14,43
2010-02-21,38
2010-02-28,51
2010-03-07,39
2010-03-14,35
2010-03-21,39
2010-03-28,38
2010-04-04,48
2010-04-11,44
2010-04-18,51
2010-04-25,35
2010-05-02,33
2010-05-09,31
2010-05-16,34
2010-05-23,36
2010-05-30,37
2010-06-06,38
2010-06-13,43
2010-06-20,40
2010-06-27,37
2010-07-04,39
2010-07-11,37
2010-07-18,48
2010-07-25,57
2010-08-01,67
2010-08-08,47
2010-08-15,41
2010-08-22,37
2010-08-29,31
2010-09-05,30
2010-09-12,30
2010-09-19,33
2010-09-26,30
2010-10-03,38
2010-10-10,30
2010-10-17,32
2010-10-24,29
2010-10-31,55
2010-11-07,32
2010-11-14,34
2010-11-21,31
2010-11-28,39
2010-12-05,37
2010-12-12,36
2010-12-19,38
2010-12-26,40
2011-01-02,100
2011-01-09,58
2011-01-16,55
2011-01-23,49
2011-01-30,47
2011-02-06,43
2011-02-13,39
2011-02-20,40
2011-02-27,40
2011-03-06,39
2011-03-13,34
2011-03-20,37
2011-03-27,38
2011-04-03,38
2011-04-10,38
2011-04-17,37
2011-04-24,37
2011-05-01,35
2011-05-08,36
2011-05-15,38
2011-05-22,35
2011-05-29,39
2011-06-05,42
2011-06-12,43
2011-06-19,42
2011-06-26,40
2011-07-03,47
2011-07-10,43
2011-07-17,44
2011-07-24,40
2011-07-31,41
2011-08-07,39
2011-08-14,39
2011-08-21,35
2011-08-28,34
2011-09-04,37
2011-09-11,37
2011-09-18,34
2011-09-25,34
2011-10-02,39
2011-10-09,38
2011-10-16,35
2011-10-23,37
2011-10-30,31
2011-11-06,34
2011-11-13,38
2011-11-20,36
2011-11-27,38
2011-12-04,39
2011-12-11,41
2011-12-18,39
2011-12-25,51
2012-01-01,52
2012-01-08,49
2012-01-15,45
2012-01-22,47
2012-01-29,44
2012-02-05,36
2012-02-12,35
2012-02-19,36
2012-02-26,38
2012-03-04,34
2012-03-11,38
2012-03-18,35
2012-03-25,31
2012-04-01,36
2012-04-08,38
2012-04-15,39
2012-04-22,35
2012-04-29,37
2012-05-06,36
2012-05-13,37
2012-05-20,35
2012-05-27,39
2012-06-03,40
2012-06-10,40
2012-06-17,37
2012-06-24,35
2012-07-01,36
2012-07-08,37
2012-07-15,34
2012-07-22,33
2012-07-29,33
2012-08-05,30
2012-08-12,30
2012-08-19,29
2012-08-26,27
2012-09-02,30
2012-09-09,29
2012-09-16,26
2012-09-23,23
2012-09-30,22
2012-10-07,25
2012-10-14,26
2012-10-21,25
2012-10-28,26
2012-11-04,30
2012-11-11,33
2012-11-18,26
2012-11-25,27
2012-12-02,30
2012-12-09,27
2012-12-16,28
2012-12-23,32
2012-12-30,38
