date,unemployment extension
2008-01-06,0
2008-01-13,0
2008-01-20,1
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,0
2008-04-13,0
2008-04-20,1
2008-04-27,1
2008-05-04,1
2008-05-11,1
2008-05-18,1
2008-05-25,1
2008-06-01,1
2008-06-08,2
2008-06-15,3
2008-06-22,4
2008-06-29,5
2008-07-06,2
2008-07-13,1
2008-07-20,1
2008-07-27,1
2008-08-03,1
2008-08-10,0
2008-08-17,1
2008-08-24,0
2008-08-31,0
2008-09-07,0
2008-09-14,1
2008-09-21,1
2008-09-28,1
2008-10-05,1
2008-10-12,1
2008-10-19,1
2008-10-26,1
2008-11-02,1
2008-11-09,2
2008-11-16,7
2008-11-23,4
2008-11-30,3
2008-12-07,2
2008-12-14,1
2008-12-21,1
2008-12-28,1
2009-01-04,2
2009-01-11,2
2009-01-18,2
2009-01-25,2
2009-02-01,2
2009-02-08,2
2009-02-15,3
2009-02-22,3
2009-03-01,2
2009-03-08,2
2009-03-15,2
2009-03-22,2
2009-03-29,2
2009-04-05,2
2009-04-12,2
2009-04-19,2
2009-04-26,2
2009-05-03,2
2009-05-10,2
2009-05-17,2
2009-05-24,1
2009-05-31,2
2009-06-07,2
2009-06-14,2
2009-06-21,1
2009-06-28,2
2009-07-05,2
2009-07-12,2
2009-07-19,2
2009-07-26,2
2009-08-02,3
2009-08-09,2
2009-08-16,2
2009-08-23,2
2009-08-30,3
2009-09-06,3
2009-09-13,4
2009-09-20,8
2009-09-27,8
2009-10-04,10
2009-10-11,12
2009-10-18,13
2009-10-25,17
2009-11-01,22
2009-11-08,10
2009-11-15,6
2009-11-22,4
2009-11-29,5
2009-12-06,4
2009-12-13,6
2009-12-20,5
2009-12-27,4
2010-01-03,4
2010-01-10,3
2010-01-17,3
2010-01-24,4
2010-01-31,6
2010-02-07,6
2010-02-14,7
2010-02-21,16
2010-02-28,24
2010-03-07,14
2010-03-14,12
2010-03-21,12
2010-03-28,10
2010-04-04,11
2010-04-11,30
2010-04-18,14
2010-04-25,10
2010-05-02,9
2010-05-09,10
2010-05-16,12
2010-05-23,18
2010-05-30,12
2010-06-06,26
2010-06-13,36
2010-06-20,53
2010-06-27,57
2010-07-04,33
2010-07-11,68
2010-07-18,100
2010-07-25,25
2010-08-01,12
2010-08-08,10
2010-08-15,7
2010-08-22,7
2010-08-29,6
2010-09-05,7
2010-09-12,7
2010-09-19,7
2010-09-26,7
2010-10-03,6
2010-10-10,7
2010-10-17,6
2010-10-24,5
2010-10-31,7
2010-11-07,8
2010-11-14,13
2010-11-21,10
2010-11-28,28
2010-12-05,39
2010-12-12,35
2010-12-19,12
2010-12-26,7
2011-01-02,7
2011-01-09,6
2011-01-16,5
2011-01-23,5
2011-01-30,4
2011-02-06,5
2011-02-13,5
2011-02-20,5
2011-02-27,4
2011-03-06,4
2011-03-13,3
2011-03-20,4
2011-03-27,3
2011-04-03,3
2011-04-10,3
2011-04-17,2
2011-04-24,2
2011-05-01,2
2011-05-08,2
2011-05-15,2
2011-05-22,2
2011-05-29,2
2011-06-05,2
2011-06-12,2
2011-06-19,2
2011-06-26,2
2011-07-03,2
2011-07-10,1
2011-07-17,1
2011-07-24,1
2011-07-31,2
2011-08-07,2
2011-08-14,1
2011-08-21,1
2011-08-28,1
2011-09-04,2
2011-09-11,2
2011-09-18,1
2011-09-25,1
2011-10-02,2
2011-10-09,2
2011-10-16,2
2011-10-23,2
2011-10-30,2
2011-11-06,2
2011-11-13,2
2011-11-20,2
2011-11-27,3
2011-12-04,4
2011-12-11,6
2011-12-18,7
2011-12-25,3
2012-01-01,2
2012-01-08,2
2012-01-15,2
2012-01-22,2
2012-01-29,2
2012-02-05,3
2012-02-12,5
2012-02-19,4
2012-02-26,2
2012-03-04,2
2012-03-11,1
2012-03-18,1
2012-03-25,1
2012-04-01,1
2012-04-08,1
2012-04-15,1
2012-04-22,1
2012-04-29,1
2012-05-06,1
2012-05-13,1
2012-05-20,1
2012-05-27,1
2012-06-03,1
2012-06-10,1
2012-06-17,1
2012-06-24,1
2012-07-01,1
2012-07-08,1
2012-07-15,1
2012-07-22,1
2012-07-29,1
2012-08-05,1
2012-08-12,1
2012-08-19,1
2012-08-26,0
2012-09-02,1
2012-09-09,1
2012-09-16,1
2012-09-23,1
2012-09-30,1
2012-10-07,1
2012-10-14,1
2012-10-21,1
2012-10-28,1
2012-11-04,1
2012-11-11,1
2012-11-18,1
2012-11-25,2
2012-12-02,3
2012-12-09,3
2012-12-16,4
2012-12-23,5
2012-12-30,11
