date,unemployment office
2008-01-06,45
2008-01-13,43
2008-01-20,40
2008-01-27,37
2008-02-03,37
2008-02-10,34
2008-02-17,36
2008-02-24,34
2008-03-02,35
2008-03-09,38
2008-03-16,32
2008-03-23,32
2008-03-30,38
2008-04-06,38
2008-04-13,35
2008-04-20,35
2008-04-27,35
2008-05-04,36
2008-05-11,36
2008-05-18,36
2008-05-25,29
2008-06-01,34
2008-06-08,39
2008-06-15,38
2008-06-22,38
2008-06-29,36
2008-07-06,48
2008-07-13,46
2008-07-20,45
2008-07-27,45
2008-08-03,47
2008-08-10,45
2008-08-17,46
2008-08-24,46
2008-08-31,44
2008-09-07,46
2008-09-14,42
2008-09-21,44
2008-09-28,51
2008-10-05,51
2008-10-12,52
2008-10-19,56
2008-10-26,53
2008-11-02,51
2008-11-09,59
2008-11-16,63
2008-11-23,54
2008-11-30,73
2008-12-07,73
2008-12-14,62
2008-12-21,53
2008-12-28,69
2009-01-04,100
2009-01-11,79
2009-01-18,81
2009-01-25,74
2009-02-01,74
2009-02-08,66
2009-02-15,64
2009-02-22,67
2009-03-01,66
2009-03-08,66
2009-03-15,64
2009-03-22,60
2009-03-29,65
2009-04-05,62
2009-04-12,59
2009-04-19,58
2009-04-26,57
2009-05-03,58
2009-05-10,63
2009-05-17,63
2009-05-24,62
2009-05-31,66
2009-06-07,63
2009-06-14,67
2009-06-21,60
2009-06-28,66
2009-07-05,69
2009-07-12,71
2009-07-19,64
2009-07-26,65
2009-08-02,65
2009-08-09,64
2009-08-16,64
2009-08-23,61
2009-08-30,61
2009-09-06,58
2009-09-13,50
2009-09-20,49
2009-09-27,50
2009-10-04,45
2009-10-11,45
2009-10-18,47
2009-10-25,47
2009-11-01,50
2009-11-08,48
2009-11-15,50
2009-11-22,37
2009-11-29,51
2009-12-06,45
2009-12-13,47
2009-12-20,37
2009-12-27,50
2010-01-03,62
2010-01-10,56
2010-01-17,53
2010-01-24,52
2010-01-31,47
2010-02-07,39
2010-02-14,47
2010-02-21,45
2010-02-28,43
2010-03-07,45
2010-03-14,39
2010-03-21,37
2010-03-28,38
2010-04-04,40
2010-04-11,41
2010-04-18,36
2010-04-25,36
2010-05-02,38
2010-05-09,39
2010-05-16,36
2010-05-23,38
2010-05-30,38
2010-06-06,38
2010-06-13,41
2010-06-20,46
2010-06-27,49
2010-07-04,44
2010-07-11,46
2010-07-18,57
2010-07-25,53
2010-08-01,49
2010-08-08,45
2010-08-15,43
2010-08-22,45
2010-08-29,43
2010-09-05,38
2010-09-12,40
2010-09-19,37
2010-09-26,38
2010-10-03,38
2010-10-10,35
2010-10-17,34
2010-10-24,34
2010-10-31,39
2010-11-07,37
2010-11-14,38
2010-11-21,31
2010-11-28,40
2010-12-05,40
2010-12-12,39
2010-12-19,36
2010-12-26,41
2011-01-02,63
2011-01-09,54
2011-01-16,51
2011-01-23,50
2011-01-30,46
2011-02-06,44
2011-02-13,41
2011-02-20,40
2011-02-27,41
2011-03-06,41
2011-03-13,38
2011-03-20,40
2011-03-27,44
2011-04-03,48
2011-04-10,41
2011-04-17,40
2011-04-24,41
2011-05-01,42
2011-05-08,40
2011-05-15,38
2011-05-22,42
2011-05-29,42
2011-06-05,44
2011-06-12,47
2011-06-19,46
2011-06-26,47
2011-07-03,46
2011-07-10,51
2011-07-17,46
2011-07-24,45
2011-07-31,43
2011-08-07,45
2011-08-14,46
2011-08-21,43
2011-08-28,41
2011-09-04,41
2011-09-11,40
2011-09-18,40
2011-09-25,39
2011-10-02,41
2011-10-09,41
2011-10-16,41
2011-10-23,41
2011-10-30,43
2011-11-06,39
2011-11-13,44
2011-11-20,34
2011-11-27,48
2011-12-04,43
2011-12-11,46
2011-12-18,41
2011-12-25,46
2012-01-01,61
2012-01-08,56
2012-01-15,50
2012-01-22,51
2012-01-29,47
2012-02-05,42
2012-02-12,39
2012-02-19,37
2012-02-26,38
2012-03-04,35
2012-03-11,34
2012-03-18,36
2012-03-25,36
2012-04-01,36
2012-04-08,39
2012-04-15,39
2012-04-22,37
2012-04-29,38
2012-05-06,38
2012-05-13,40
2012-05-20,40
2012-05-27,41
2012-06-03,44
2012-06-10,43
2012-06-17,46
2012-06-24,46
2012-07-01,45
2012-07-08,51
2012-07-15,51
2012-07-22,50
2012-07-29,48
2012-08-05,47
2012-08-12,51
2012-08-19,46
2012-08-26,43
2012-09-02,48
2012-09-09,46
2012-09-16,42
2012-09-23,43
2012-09-30,50
2012-10-07,48
2012-10-14,49
2012-10-21,42
2012-10-28,48
2012-11-04,52
2012-11-11,50
2012-11-18,35
2012-11-25,49
2012-12-02,46
2012-12-09,40
2012-12-16,45
2012-12-23,42
2012-12-30,60
