date,unemployment insurance
2008-01-06,50
2008-01-13,45
2008-01-20,46
2008-01-27,48
2008-02-03,42
2008-02-10,38
2008-02-17,41
2008-02-24,41
2008-03-02,40
2008-03-09,36
2008-03-16,39
2008-03-23,35
2008-03-30,44
2008-04-06,41
2008-04-13,40
2008-04-20,42
2008-04-27,46
2008-05-04,35
2008-05-11,34
2008-05-18,40
2008-05-25,34
2008-06-01,39
2008-06-08,46
2008-06-15,46
2008-06-22,44
2008-06-29,51
2008-07-06,55
2008-07-13,53
2008-07-20,60
2008-07-27,61
2008-08-03,54
2008-08-10,45
2008-08-17,48
2008-08-24,43
2008-08-31,52
2008-09-07,46
2008-09-14,48
2008-09-21,48
2008-09-28,52
2008-10-05,58
2008-10-12,57
2008-10-19,58
2008-10-26,59
2008-11-02,55
2008-11-09,60
2008-11-16,80
2008-11-23,68
2008-11-30,81
2008-12-07,75
2008-12-14,67
2008-12-21,60
2008-12-28,68
2009-01-04,100
2009-01-11,89
2009-01-18,83
2009-01-25,90
2009-02-01,91
2009-02-08,82
2009-02-15,87
2009-02-22,99
2009-03-01,88
2009-03-08,83
2009-03-15,85
2009-03-22,82
2009-03-29,81
2009-04-05,79
2009-04-12,80
2009-04-19,72
2009-04-26,70
2009-05-03,60
2009-05-10,64
2009-05-17,67
2009-05-24,69
2009-05-31,70
2009-06-07,67
2009-06-14,72
2009-06-21,72
2009-06-28,68
2009-07-05,80
2009-07-12,77
2009-07-19,78
2009-07-26,78
2009-08-02,75
2009-08-09,64
2009-08-16,65
2009-08-23,74
2009-08-30,72
2009-09-06,68
2009-09-13,67
2009-09-20,59
2009-09-27,61
2009-10-04,76
2009-10-11,72
2009-10-18,62
2009-10-25,66
2009-11-01,69
2009-11-08,68
2009-11-15,67
2009-11-22,53
2009-11-29,62
2009-12-06,59
2009-12-13,60
2009-12-20,63
2009-12-27,65
2010-01-03,72
2010-01-10,64
2010-01-17,65
2010-01-24,60
2010-01-31,59
2010-02-07,53
2010-02-14,62
2010-02-21,62
2010-02-28,64
2010-03-07,57
2010-03-14,52
2010-03-21,60
2010-03-28,72
2010-04-04,60
2010-04-11,66
2010-04-18,46
2010-04-25,47
2010-05-02,42
2010-05-09,42
2010-05-16,39
2010-05-23,40
2010-05-30,40
2010-06-06,42
2010-06-13,44
2010-06-20,52
2010-06-27,58
2010-07-04,44
2010-07-11,49
2010-07-18,69
2010-07-25,47
2010-08-01,39
2010-08-08,38
2010-08-15,39
2010-08-22,35
2010-08-29,34
2010-09-05,35
2010-09-12,36
2010-09-19,34
2010-09-26,35
2010-10-03,34
2010-10-10,34
2010-10-17,35
2010-10-24,38
2010-10-31,37
2010-11-07,39
2010-11-14,42
2010-11-21,34
2010-11-28,51
2010-12-05,58
2010-12-12,54
2010-12-19,49
2010-12-26,45
2011-01-02,60
2011-01-09,51
2011-01-16,51
2011-01-23,46
2011-01-30,38
2011-02-06,40
2011-02-13,41
2011-02-20,39
2011-02-27,34
2011-03-06,35
2011-03-13,33
2011-03-20,34
2011-03-27,40
2011-04-03,44
2011-04-10,40
2011-04-17,42
2011-04-24,41
2011-05-01,36
2011-05-08,37
2011-05-15,37
2011-05-22,36
2011-05-29,35
2011-06-05,34
2011-06-12,36
2011-06-19,34
2011-06-26,33
2011-07-03,34
2011-07-10,34
2011-07-17,34
2011-07-24,30
2011-07-31,34
2011-08-07,33
2011-08-14,33
2011-08-21,31
2011-08-28,30
2011-09-04,33
2011-09-11,33
2011-09-18,31
2011-09-25,33
2011-10-02,35
2011-10-09,31
2011-10-16,30
2011-10-23,32
2011-10-30,30
2011-11-06,30
2011-11-13,28
2011-11-20,24
2011-11-27,33
2011-12-04,30
2011-12-11,35
2011-12-18,34
2011-12-25,36
2012-01-01,39
2012-01-08,38
2012-01-15,40
2012-01-22,40
2012-01-29,37
2012-02-05,35
2012-02-12,34
2012-02-19,34
2012-02-26,33
2012-03-04,31
2012-03-11,28
2012-03-18,30
2012-03-25,29
2012-04-01,28
2012-04-08,30
2012-04-15,29
2012-04-22,28
2012-04-29,24
2012-05-06,26
2012-05-13,26
2012-05-20,28
2012-05-27,27
2012-06-03,27
2012-06-10,26
2012-06-17,29
2012-06-24,30
2012-07-01,30
2012-07-08,35
2012-07-15,28
2012-07-22,30
2012-07-29,27
2012-08-05,25
2012-08-12,26
2012-08-19,28
2012-08-26,23
2012-09-02,25
2012-09-09,24
2012-09-16,26
2012-09-23,23
2012-09-30,26
2012-10-07,26
2012-10-14,25
2012-10-21,25
2012-10-28,26
2012-11-04,28
2012-11-11,30
2012-11-18,26
2012-11-25,29
2012-12-02,31
2012-12-09,27
2012-12-16,28
2012-12-23,23
2012-12-30,39
