date,unemployment online
2008-01-06,18
2008-01-13,17
2008-01-20,20
2008-01-27,15
2008-02-03,15
2008-02-10,13
2008-02-17,11
2008-02-24,11
2008-03-02,10
2008-03-09,13
2008-03-16,12
2008-03-23,14
2008-03-30,12
2008-04-06,14
2008-04-13,12
2008-04-20,15
2008-04-27,12
2008-05-04,9
2008-05-11,14
2008-05-18,10
2008-05-25,10
2008-06-01,14
2008-06-08,11
2008-06-15,21
2008-06-22,17
2008-06-29,18
2008-07-06,17
2008-07-13,19
2008-07-20,20
2008-07-27,19
2008-08-03,22
2008-08-10,17
2008-08-17,19
2008-08-24,20
2008-08-31,17
2008-09-07,19
2008-09-14,15
2008-09-21,21
2008-09-28,20
2008-10-05,20
2008-10-12,22
2008-10-19,22
2008-10-26,25
2008-11-02,26
2008-11-09,27
2008-11-16,29
2008-11-23,27
2008-11-30,33
2008-12-07,26
2008-12-14,31
2008-12-21,29
2008-12-28,37
2009-01-04,49
2009-01-11,42
2009-01-18,45
2009-01-25,38
2009-02-01,47
2009-02-08,36
2009-02-15,38
2009-02-22,43
2009-03-01,50
2009-03-08,49
2009-03-15,43
2009-03-22,40
2009-03-29,45
2009-04-05,40
2009-04-12,45
2009-04-19,39
2009-04-26,41
2009-05-03,35
2009-05-10,43
2009-05-17,39
2009-05-24,54
2009-05-31,46
2009-06-07,41
2009-06-14,49
2009-06-21,51
2009-06-28,54
2009-07-05,54
2009-07-12,52
2009-07-19,49
2009-07-26,51
2009-08-02,53
2009-08-09,55
2009-08-16,51
2009-08-23,49
2009-08-30,51
2009-09-06,46
2009-09-13,42
2009-09-20,48
2009-09-27,46
2009-10-04,81
2009-10-11,67
2009-10-18,57
2009-10-25,49
2009-11-01,58
2009-11-08,68
2009-11-15,56
2009-11-22,61
2009-11-29,64
2009-12-06,50
2009-12-13,54
2009-12-20,71
2009-12-27,76
2010-01-03,65
2010-01-10,73
2010-01-17,72
2010-01-24,72
2010-01-31,68
2010-02-07,56
2010-02-14,63
2010-02-21,63
2010-02-28,65
2010-03-07,61
2010-03-14,50
2010-03-21,55
2010-03-28,100
2010-04-04,68
2010-04-11,67
2010-04-18,61
2010-04-25,52
2010-05-02,53
2010-05-09,60
2010-05-16,50
2010-05-23,51
2010-05-30,44
2010-06-06,51
2010-06-13,56
2010-06-20,61
2010-06-27,72
2010-07-04,76
2010-07-11,62
2010-07-18,73
2010-07-25,59
2010-08-01,47
2010-08-08,44
2010-08-15,39
2010-08-22,50
2010-08-29,47
2010-09-05,46
2010-09-12,44
2010-09-19,44
2010-09-26,38
2010-10-03,38
2010-10-10,39
2010-10-17,45
2010-10-24,43
2010-10-31,46
2010-11-07,48
2010-11-14,46
2010-11-21,48
2010-11-28,54
2010-12-05,54
2010-12-12,58
2010-12-19,59
2010-12-26,55
2011-01-02,73
2011-01-09,74
2011-01-16,84
2011-01-23,79
2011-01-30,72
2011-02-06,69
2011-02-13,60
2011-02-20,48
2011-02-27,48
2011-03-06,47
2011-03-13,44
2011-03-20,48
2011-03-27,49
2011-04-03,49
2011-04-10,48
2011-04-17,52
2011-04-24,44
2011-05-01,48
2011-05-08,45
2011-05-15,42
2011-05-22,49
2011-05-29,53
2011-06-05,49
2011-06-12,48
2011-06-19,50
2011-06-26,49
2011-07-03,56
2011-07-10,57
2011-07-17,53
2011-07-24,46
2011-07-31,59
2011-08-07,56
2011-08-14,54
2011-08-21,53
2011-08-28,49
2011-09-04,54
2011-09-11,51
2011-09-18,46
2011-09-25,54
2011-10-02,57
2011-10-09,51
2011-10-16,46
2011-10-23,44
2011-10-30,49
2011-11-06,50
2011-11-13,46
2011-11-20,46
2011-11-27,45
2011-12-04,44
2011-12-11,46
2011-12-18,45
2011-12-25,52
2012-01-01,51
2012-01-08,60
2012-01-15,64
2012-01-22,62
2012-01-29,58
2012-02-05,49
2012-02-12,46
2012-02-19,44
2012-02-26,41
2012-03-04,37
2012-03-11,40
2012-03-18,39
2012-03-25,36
2012-04-01,39
2012-04-08,38
2012-04-15,40
2012-04-22,38
2012-04-29,41
2012-05-06,37
2012-05-13,36
2012-05-20,42
2012-05-27,40
2012-06-03,40
2012-06-10,37
2012-06-17,41
2012-06-24,44
2012-07-01,53
2012-07-08,52
2012-07-15,50
2012-07-22,52
2012-07-29,49
2012-08-05,45
2012-08-12,44
2012-08-19,47
2012-08-26,41
2012-09-02,56
2012-09-09,37
2012-09-16,39
2012-09-23,35
2012-09-30,38
2012-10-07,47
2012-10-14,41
2012-10-21,48
2012-10-28,45
2012-11-04,50
2012-11-11,55
2012-11-18,47
2012-11-25,54
2012-12-02,52
2012-12-09,45
2012-12-16,68
2012-12-23,51
2012-12-30,62
