date,nys unemployment
2010-01-03,58
2010-01-10,56
2010-01-17,60
2010-01-24,55
2010-01-31,47
2010-02-07,48
2010-02-14,52
2010-02-21,52
2010-02-28,53
2010-03-07,51
2010-03-14,50
2010-03-21,49
2010-03-28,100
2010-04-04,51
2010-04-11,55
2010-04-18,51
2010-04-25,48
2010-05-02,43
2010-05-09,44
2010-05-16,46
2010-05-23,42
2010-05-30,45
2010-06-06,47
2010-06-13,44
2010-06-20,48
2010-06-27,49
2010-07-04,49
2010-07-11,50
2010-07-18,64
2010-07-25,43
2010-08-01,38
2010-08-08,34
2010-08-15,35
2010-08-22,34
2010-08-29,33
2010-09-05,34
2010-09-12,37
2010-09-19,34
2010-09-26,34
2010-10-03,36
2010-10-10,36
2010-10-17,35
2010-10-24,32
2010-10-31,32
2010-11-07,35
2010-11-14,35
2010-11-21,38
2010-11-28,39
2010-12-05,40
2010-12-12,49
2010-12-19,51
2010-12-26,43
2011-01-02,45
2011-01-09,41
2011-01-16,44
2011-01-23,44
2011-01-30,41
2011-02-06,45
2011-02-13,41
2011-02-20,38
2011-02-27,37
2011-03-06,36
2011-03-13,31
2011-03-20,35
2011-03-27,38
2011-04-03,35
2011-04-10,33
2011-04-17,33
2011-04-24,33
2011-05-01,32
2011-05-08,31
2011-05-15,28
2011-05-22,29
2011-05-29,34
2011-06-05,30
2011-06-12,33
2011-06-19,33
2011-06-26,34
2011-07-03,40
2011-07-10,37
2011-07-17,37
2011-07-24,37
2011-07-31,38
2011-08-07,35
2011-08-14,33
2011-08-21,33
2011-08-28,33
2011-09-04,36
2011-09-11,33
2011-09-18,32
2011-09-25,30
2011-10-02,33
2011-10-09,33
2011-10-16,35
2011-10-23,33
2011-10-30,33
2011-11-06,34
2011-11-13,32
2011-11-20,32
2011-11-27,34
2011-12-04,34
2011-12-11,34
2011-12-18,38
2011-12-25,43
2012-01-01,44
2012-01-08,42
2012-01-15,38
2012-01-22,37
2012-01-29,35
2012-02-05,35
2012-02-12,33
2012-02-19,35
2012-02-26,35
2012-03-04,30
2012-03-11,30
2012-03-18,31
2012-03-25,32
2012-04-01,31
2012-04-08,32
2012-04-15,32
2012-04-22,32
2012-04-29,31
2012-05-06,32
2012-05-13,33
2012-05-20,35
2012-05-27,35
2012-06-03,33
2012-06-10,36
2012-06-17,34
2012-06-24,34
2012-07-01,39
2012-07-08,38
2012-07-15,37
2012-07-22,38
2012-07-29,35
2012-08-05,31
2012-08-12,31
2012-08-19,32
2012-08-26,29
2012-09-02,44
2012-09-09,27
2012-09-16,28
2012-09-23,30
2012-09-30,31
2012-10-07,35
2012-10-14,32
2012-10-21,31
2012-10-28,31
2012-11-04,35
2012-11-11,34
2012-11-18,36
2012-11-25,32
2012-12-02,38
2012-12-09,35
2012-12-16,45
2012-12-23,36
2012-12-30,42
2013-01-06,34
2013-01-13,33
2013-01-20,34
2013-01-27,31
2013-02-03,28
2013-02-10,27
2013-02-17,27
2013-02-24,25
2013-03-03,25
2013-03-10,24
2013-03-17,24
2013-03-24,25
2013-03-31,25
2013-04-07,26
2013-04-14,23
2013-04-21,23
2013-04-28,22
2013-05-05,22
2013-05-12,21
2013-05-19,22
2013-05-26,24
2013-06-02,21
2013-06-09,23
2013-06-16,22
2013-06-23,22
2013-06-30,25
2013-07-07,23
2013-07-14,23
2013-07-21,23
2013-07-28,22
2013-08-04,22
2013-08-11,23
2013-08-18,21
2013-08-25,22
2013-09-01,23
2013-09-08,26
2013-09-15,20
2013-09-22,20
2013-09-29,21
2013-10-06,23
2013-10-13,23
2013-10-20,22
2013-10-27,27
2013-11-03,22
2013-11-10,23
2013-11-17,20
2013-11-24,21
2013-12-01,22
2013-12-08,22
2013-12-15,24
2013-12-22,26
2013-12-29,37
2014-01-05,53
2014-01-12,32
2014-01-19,32
2014-01-26,28
2014-02-02,26
2014-02-09,22
2014-02-16,21
2014-02-23,21
2014-03-02,20
2014-03-09,22
2014-03-16,19
2014-03-23,19
2014-03-30,18
2014-04-06,20
2014-04-13,18
2014-04-20,22
2014-04-27,17
2014-05-04,15
2014-05-11,15
2014-05-18,15
2014-05-25,14
2014-06-01,14
2014-06-08,13
2014-06-15,12
2014-06-22,13
2014-06-29,13
2014-07-06,15
2014-07-13,14
2014-07-20,21
2014-07-27,14
2014-08-03,14
2014-08-10,12
2014-08-17,12
2014-08-24,13
2014-08-31,11
2014-09-07,11
2014-09-14,9
2014-09-21,10
2014-09-28,10
2014-10-05,11
2014-10-12,12
2014-10-19,11
2014-10-26,12
2014-11-02,11
2014-11-09,13
2014-11-16,13
2014-11-23,14
2014-11-30,14
2014-12-07,13
2014-12-14,15
2014-12-21,16
2014-12-28,18
