date,unemployment benefits
2010-01-03,46
2010-01-10,44
2010-01-17,41
2010-01-24,45
2010-01-31,39
2010-02-07,39
2010-02-14,42
2010-02-21,49
2010-02-28,63
2010-03-07,48
2010-03-14,41
2010-03-21,42
2010-03-28,59
2010-04-04,43
2010-04-11,58
2010-04-18,44
2010-04-25,39
2010-05-02,36
2010-05-09,39
2010-05-16,38
2010-05-23,39
2010-05-30,37
2010-06-06,46
2010-06-13,55
2010-06-20,69
2010-06-27,68
2010-07-04,54
2010-07-11,66
2010-07-18,100
2010-07-25,48
2010-08-01,39
2010-08-08,33
2010-08-15,28
2010-08-22,28
2010-08-29,28
2010-09-05,27
2010-09-12,26
2010-09-19,27
2010-09-26,26
2010-10-03,26
2010-10-10,25
2010-10-17,24
2010-10-24,24
2010-10-31,27
2010-11-07,27
2010-11-14,32
2010-11-21,25
2010-11-28,49
2010-12-05,54
2010-12-12,45
2010-12-19,33
2010-12-26,27
2011-01-02,36
2011-01-09,34
2011-01-16,36
2011-01-23,33
2011-01-30,31
2011-02-06,32
2011-02-13,31
2011-02-20,27
2011-02-27,27
2011-03-06,26
2011-03-13,24
2011-03-20,25
2011-03-27,25
2011-04-03,30
2011-04-10,26
2011-04-17,24
2011-04-24,24
2011-05-01,23
2011-05-08,24
2011-05-15,22
2011-05-22,22
2011-05-29,26
2011-06-05,25
2011-06-12,25
2011-06-19,24
2011-06-26,23
2011-07-03,25
2011-07-10,25
2011-07-17,24
2011-07-24,25
2011-07-31,28
2011-08-07,27
2011-08-14,26
2011-08-21,24
2011-08-28,23
2011-09-04,28
2011-09-11,24
2011-09-18,23
2011-09-25,22
2011-10-02,23
2011-10-09,24
2011-10-16,23
2011-10-23,20
2011-10-30,22
2011-11-06,21
2011-11-13,20
2011-11-20,18
2011-11-27,23
2011-12-04,21
2011-12-11,26
2011-12-18,26
2011-12-25,23
2012-01-01,25
2012-01-08,22
2012-01-15,23
2012-01-22,22
2012-01-29,22
2012-02-05,20
2012-02-12,23
2012-02-19,22
2012-02-26,19
2012-03-04,17
2012-03-11,17
2012-03-18,18
2012-03-25,16
2012-04-01,16
2012-04-08,18
2012-04-15,17
2012-04-22,16
2012-04-29,18
2012-05-06,18
2012-05-13,18
2012-05-20,16
2012-05-27,20
2012-06-03,18
2012-06-10,19
2012-06-17,19
2012-06-24,18
2012-07-01,20
2012-07-08,21
2012-07-15,19
2012-07-22,22
2012-07-29,19
2012-08-05,18
2012-08-12,18
2012-08-19,18
2012-08-26,17
2012-09-02,22
2012-09-09,18
2012-09-16,19
2012-09-23,18
2012-09-30,18
2012-10-07,19
2012-10-14,18
2012-10-21,18
2012-10-28,19
2012-11-04,21
2012-11-11,21
2012-11-18,19
2012-11-25,22
2012-12-02,28
2012-12-09,28
2012-12-16,39
2012-12-23,33
2012-12-30,54
2013-01-06,31
2013-01-13,27
2013-01-20,24
2013-01-27,23
2013-02-03,21
2013-02-10,20
2013-02-17,20
2013-02-24,21
2013-03-03,21
2013-03-10,20
2013-03-17,19
2013-03-24,18
2013-03-31,18
2013-04-07,17
2013-04-14,17
2013-04-21,17
2013-04-28,19
2013-05-05,18
2013-05-12,20
2013-05-19,20
2013-05-26,21
2013-06-02,20
2013-06-09,20
2013-06-16,18
2013-06-23,19
2013-06-30,19
2013-07-07,20
2013-07-14,19
2013-07-21,17
2013-07-28,16
2013-08-04,16
2013-08-11,15
2013-08-18,18
2013-08-25,16
2013-09-01,17
2013-09-08,19
2013-09-15,16
2013-09-22,18
2013-09-29,27
2013-10-06,22
2013-10-13,21
2013-10-20,18
2013-10-27,19
2013-11-03,17
2013-11-10,17
2013-11-17,15
2013-11-24,13
2013-12-01,17
2013-12-08,22
2013-12-15,22
2013-12-22,25
2013-12-29,32
2014-01-05,62
2014-01-12,58
2014-01-19,44
2014-01-26,53
2014-02-02,52
2014-02-09,41
2014-02-16,28
2014-02-23,35
2014-03-02,32
2014-03-09,36
2014-03-16,28
2014-03-23,34
2014-03-30,35
2014-04-06,37
2014-04-13,28
2014-04-20,27
2014-04-27,29
2014-05-04,25
2014-05-11,24
2014-05-18,23
2014-05-25,19
2014-06-01,20
2014-06-08,21
2014-06-15,20
2014-06-22,18
2014-06-29,17
2014-07-06,17
2014-07-13,14
2014-07-20,15
2014-07-27,14
2014-08-03,13
2014-08-10,12
2014-08-17,14
2014-08-24,13
2014-08-31,14
2014-09-07,14
2014-09-14,14
2014-09-21,13
2014-09-28,14
2014-10-05,12
2014-10-12,13
2014-10-19,13
2014-10-26,12
2014-11-02,13
2014-11-09,12
2014-11-16,12
2014-11-23,9
2014-11-30,11
2014-12-07,11
2014-12-14,10
2014-12-21,9
2014-12-28,11
