date,unemployment online
2010-01-03,72
2010-01-10,67
2010-01-17,76
2010-01-24,70
2010-01-31,69
2010-02-07,65
2010-02-14,64
2010-02-21,63
2010-02-28,67
2010-03-07,60
2010-03-14,54
2010-03-21,57
2010-03-28,100
2010-04-04,63
2010-04-11,67
2010-04-18,59
2010-04-25,54
2010-05-02,56
2010-05-09,58
2010-05-16,57
2010-05-23,54
2010-05-30,45
2010-06-06,57
2010-06-13,61
2010-06-20,59
2010-06-27,71
2010-07-04,68
2010-07-11,62
2010-07-18,77
2010-07-25,60
2010-08-01,51
2010-08-08,47
2010-08-15,41
2010-08-22,52
2010-08-29,45
2010-09-05,46
2010-09-12,42
2010-09-19,43
2010-09-26,39
2010-10-03,40
2010-10-10,42
2010-10-17,52
2010-10-24,48
2010-10-31,50
2010-11-07,52
2010-11-14,51
2010-11-21,48
2010-11-28,53
2010-12-05,52
2010-12-12,61
2010-12-19,60
2010-12-26,60
2011-01-02,74
2011-01-09,75
2011-01-16,89
2011-01-23,79
2011-01-30,73
2011-02-06,71
2011-02-13,60
2011-02-20,49
2011-02-27,50
2011-03-06,48
2011-03-13,45
2011-03-20,49
2011-03-27,47
2011-04-03,50
2011-04-10,55
2011-04-17,52
2011-04-24,46
2011-05-01,48
2011-05-08,45
2011-05-15,43
2011-05-22,46
2011-05-29,53
2011-06-05,50
2011-06-12,54
2011-06-19,57
2011-06-26,50
2011-07-03,60
2011-07-10,59
2011-07-17,54
2011-07-24,50
2011-07-31,60
2011-08-07,55
2011-08-14,52
2011-08-21,54
2011-08-28,54
2011-09-04,58
2011-09-11,53
2011-09-18,48
2011-09-25,52
2011-10-02,58
2011-10-09,48
2011-10-16,48
2011-10-23,44
2011-10-30,51
2011-11-06,48
2011-11-13,45
2011-11-20,41
2011-11-27,46
2011-12-04,43
2011-12-11,43
2011-12-18,49
2011-12-25,57
2012-01-01,59
2012-01-08,59
2012-01-15,63
2012-01-22,59
2012-01-29,55
2012-02-05,47
2012-02-12,45
2012-02-19,45
2012-02-26,42
2012-03-04,39
2012-03-11,38
2012-03-18,41
2012-03-25,39
2012-04-01,41
2012-04-08,37
2012-04-15,42
2012-04-22,40
2012-04-29,41
2012-05-06,40
2012-05-13,39
2012-05-20,40
2012-05-27,42
2012-06-03,43
2012-06-10,39
2012-06-17,42
2012-06-24,44
2012-07-01,53
2012-07-08,53
2012-07-15,48
2012-07-22,51
2012-07-29,52
2012-08-05,48
2012-08-12,44
2012-08-19,49
2012-08-26,39
2012-09-02,57
2012-09-09,39
2012-09-16,40
2012-09-23,41
2012-09-30,41
2012-10-07,44
2012-10-14,40
2012-10-21,46
2012-10-28,47
2012-11-04,51
2012-11-11,54
2012-11-18,51
2012-11-25,54
2012-12-02,61
2012-12-09,49
2012-12-16,71
2012-12-23,55
2012-12-30,67
2013-01-06,64
2013-01-13,66
2013-01-20,77
2013-01-27,68
2013-02-03,77
2013-02-10,75
2013-02-17,65
2013-02-24,66
2013-03-03,49
2013-03-10,40
2013-03-17,42
2013-03-24,45
2013-03-31,44
2013-04-07,44
2013-04-14,42
2013-04-21,35
2013-04-28,41
2013-05-05,35
2013-05-12,34
2013-05-19,37
2013-05-26,37
2013-06-02,35
2013-06-09,36
2013-06-16,49
2013-06-23,54
2013-06-30,54
2013-07-07,44
2013-07-14,43
2013-07-21,42
2013-07-28,39
2013-08-04,37
2013-08-11,37
2013-08-18,37
2013-08-25,34
2013-09-01,41
2013-09-08,39
2013-09-15,31
2013-09-22,30
2013-09-29,39
2013-10-06,37
2013-10-13,30
2013-10-20,38
2013-10-27,36
2013-11-03,35
2013-11-10,31
2013-11-17,32
2013-11-24,30
2013-12-01,34
2013-12-08,32
2013-12-15,33
2013-12-22,38
2013-12-29,50
2014-01-05,59
2014-01-12,49
2014-01-19,52
2014-01-26,49
2014-02-02,45
2014-02-09,37
2014-02-16,32
2014-02-23,30
2014-03-02,30
2014-03-09,30
2014-03-16,31
2014-03-23,30
2014-03-30,27
2014-04-06,31
2014-04-13,31
2014-04-20,28
2014-04-27,28
2014-05-04,25
2014-05-11,22
2014-05-18,24
2014-05-25,22
2014-06-01,23
2014-06-08,21
2014-06-15,26
2014-06-22,26
2014-06-29,24
2014-07-06,27
2014-07-13,23
2014-07-20,32
2014-07-27,25
2014-08-03,25
2014-08-10,22
2014-08-17,21
2014-08-24,22
2014-08-31,21
2014-09-07,20
2014-09-14,20
2014-09-21,20
2014-09-28,20
2014-10-05,20
2014-10-12,17
2014-10-19,18
2014-10-26,21
2014-11-02,19
2014-11-09,20
2014-11-16,24
2014-11-23,19
2014-11-30,24
2014-12-07,21
2014-12-14,20
2014-12-21,18
2014-12-28,25
