date,unemployment oregon
2010-01-03,100
2010-01-10,90
2010-01-17,94
2010-01-24,78
2010-01-31,84
2010-02-07,71
2010-02-14,79
2010-02-21,75
2010-02-28,71
2010-03-07,66
2010-03-14,72
2010-03-21,69
2010-03-28,77
2010-04-04,77
2010-04-11,73
2010-04-18,68
2010-04-25,66
2010-05-02,72
2010-05-09,70
2010-05-16,63
2010-05-23,67
2010-05-30,76
2010-06-06,71
2010-06-13,71
2010-06-20,80
2010-06-27,72
2010-07-04,81
2010-07-11,79
2010-07-18,72
2010-07-25,66
2010-08-01,70
2010-08-08,60
2010-08-15,67
2010-08-22,60
2010-08-29,57
2010-09-05,66
2010-09-12,59
2010-09-19,49
2010-09-26,56
2010-10-03,53
2010-10-10,58
2010-10-17,58
2010-10-24,55
2010-10-31,57
2010-11-07,59
2010-11-14,62
2010-11-21,54
2010-11-28,66
2010-12-05,66
2010-12-12,71
2010-12-19,76
2010-12-26,81
2011-01-02,95
2011-01-09,84
2011-01-16,88
2011-01-23,79
2011-01-30,75
2011-02-06,74
2011-02-13,66
2011-02-20,75
2011-02-27,64
2011-03-06,61
2011-03-13,58
2011-03-20,70
2011-03-27,64
2011-04-03,65
2011-04-10,68
2011-04-17,71
2011-04-24,71
2011-05-01,68
2011-05-08,62
2011-05-15,64
2011-05-22,65
2011-05-29,71
2011-06-05,66
2011-06-12,64
2011-06-19,68
2011-06-26,66
2011-07-03,74
2011-07-10,74
2011-07-17,59
2011-07-24,61
2011-07-31,61
2011-08-07,64
2011-08-14,67
2011-08-21,62
2011-08-28,64
2011-09-04,64
2011-09-11,61
2011-09-18,60
2011-09-25,58
2011-10-02,60
2011-10-09,62
2011-10-16,58
2011-10-23,57
2011-10-30,57
2011-11-06,61
2011-11-13,62
2011-11-20,63
2011-11-27,66
2011-12-04,64
2011-12-11,62
2011-12-18,65
2011-12-25,84
2012-01-01,87
2012-01-08,72
2012-01-15,79
2012-01-22,74
2012-01-29,67
2012-02-05,74
2012-02-12,77
2012-02-19,84
2012-02-26,69
2012-03-04,64
2012-03-11,78
2012-03-18,75
2012-03-25,71
2012-04-01,66
2012-04-08,85
2012-04-15,61
2012-04-22,58
2012-04-29,66
2012-05-06,61
2012-05-13,70
2012-05-20,57
2012-05-27,63
2012-06-03,60
2012-06-10,61
2012-06-17,54
2012-06-24,55
2012-07-01,66
2012-07-08,57
2012-07-15,49
2012-07-22,51
2012-07-29,50
2012-08-05,47
2012-08-12,48
2012-08-19,50
2012-08-26,41
2012-09-02,51
2012-09-09,48
2012-09-16,46
2012-09-23,44
2012-09-30,44
2012-10-07,48
2012-10-14,47
2012-10-21,45
2012-10-28,45
2012-11-04,43
2012-11-11,51
2012-11-18,42
2012-11-25,47
2012-12-02,46
2012-12-09,43
2012-12-16,40
2012-12-23,49
2012-12-30,55
2013-01-06,58
2013-01-13,50
2013-01-20,50
2013-01-27,48
2013-02-03,44
2013-02-10,44
2013-02-17,42
2013-02-24,41
2013-03-03,41
2013-03-10,42
2013-03-17,39
2013-03-24,38
2013-03-31,41
2013-04-07,36
2013-04-14,39
2013-04-21,36
2013-04-28,34
2013-05-05,34
2013-05-12,36
2013-05-19,36
2013-05-26,42
2013-06-02,35
2013-06-09,41
2013-06-16,39
2013-06-23,43
2013-06-30,40
2013-07-07,44
2013-07-14,52
2013-07-21,39
2013-07-28,41
2013-08-04,37
2013-08-11,37
2013-08-18,34
2013-08-25,36
2013-09-01,36
2013-09-08,33
2013-09-15,32
2013-09-22,34
2013-09-29,38
2013-10-06,35
2013-10-13,37
2013-10-20,34
2013-10-27,33
2013-11-03,36
2013-11-10,39
2013-11-17,36
2013-11-24,38
2013-12-01,41
2013-12-08,38
2013-12-15,39
2013-12-22,41
2013-12-29,52
2014-01-05,51
2014-01-12,43
2014-01-19,35
2014-01-26,37
2014-02-02,29
2014-02-09,33
2014-02-16,34
2014-02-23,34
2014-03-02,29
2014-03-09,26
2014-03-16,25
2014-03-23,27
2014-03-30,27
2014-04-06,26
2014-04-13,29
2014-04-20,27
2014-04-27,25
2014-05-04,27
2014-05-11,25
2014-05-18,25
2014-05-25,26
2014-06-01,26
2014-06-08,25
2014-06-15,27
2014-06-22,25
2014-06-29,25
2014-07-06,26
2014-07-13,25
2014-07-20,23
2014-07-27,21
2014-08-03,24
2014-08-10,24
2014-08-17,19
2014-08-24,22
2014-08-31,22
2014-09-07,20
2014-09-14,20
2014-09-21,18
2014-09-28,24
2014-10-05,21
2014-10-12,22
2014-10-19,23
2014-10-26,20
2014-11-02,24
2014-11-09,24
2014-11-16,24
2014-11-23,23
2014-11-30,27
2014-12-07,30
2014-12-14,27
2014-12-21,28
2014-12-28,32
