date,unemployment
2010-01-03,62
2010-01-10,59
2010-01-17,60
2010-01-24,58
2010-01-31,55
2010-02-07,50
2010-02-14,54
2010-02-21,55
2010-02-28,63
2010-03-07,54
2010-03-14,51
2010-03-21,50
2010-03-28,58
2010-04-04,52
2010-04-11,62
2010-04-18,52
2010-04-25,48
2010-05-02,47
2010-05-09,47
2010-05-16,47
2010-05-23,48
2010-05-30,50
2010-06-06,52
2010-06-13,60
2010-06-20,70
2010-06-27,74
2010-07-04,61
2010-07-11,76
2010-07-18,100
2010-07-25,61
2010-08-01,51
2010-08-08,48
2010-08-15,45
2010-08-22,43
2010-08-29,43
2010-09-05,42
2010-09-12,43
2010-09-19,42
2010-09-26,41
2010-10-03,42
2010-10-10,40
2010-10-17,40
2010-10-24,40
2010-10-31,42
2010-11-07,41
2010-11-14,45
2010-11-21,38
2010-11-28,59
2010-12-05,62
2010-12-12,60
2010-12-19,48
2010-12-26,47
2011-01-02,62
2011-01-09,57
2011-01-16,58
2011-01-23,56
2011-01-30,51
2011-02-06,50
2011-02-13,47
2011-02-20,45
2011-02-27,46
2011-03-06,43
2011-03-13,40
2011-03-20,42
2011-03-27,44
2011-04-03,45
2011-04-10,45
2011-04-17,43
2011-04-24,42
2011-05-01,41
2011-05-08,41
2011-05-15,41
2011-05-22,41
2011-05-29,45
2011-06-05,43
2011-06-12,45
2011-06-19,43
2011-06-26,44
2011-07-03,48
2011-07-10,46
2011-07-17,44
2011-07-24,44
2011-07-31,46
2011-08-07,44
2011-08-14,44
2011-08-21,42
2011-08-28,42
2011-09-04,45
2011-09-11,44
2011-09-18,41
2011-09-25,42
2011-10-02,45
2011-10-09,44
2011-10-16,42
2011-10-23,41
2011-10-30,42
2011-11-06,43
2011-11-13,42
2011-11-20,38
2011-11-27,46
2011-12-04,44
2011-12-11,46
2011-12-18,46
2011-12-25,48
2012-01-01,54
2012-01-08,51
2012-01-15,51
2012-01-22,51
2012-01-29,49
2012-02-05,44
2012-02-12,44
2012-02-19,44
2012-02-26,42
2012-03-04,40
2012-03-11,40
2012-03-18,40
2012-03-25,39
2012-04-01,41
2012-04-08,40
2012-04-15,40
2012-04-22,38
2012-04-29,40
2012-05-06,39
2012-05-13,38
2012-05-20,39
2012-05-27,40
2012-06-03,39
2012-06-10,40
2012-06-17,39
2012-06-24,40
2012-07-01,43
2012-07-08,42
2012-07-15,40
2012-07-22,41
2012-07-29,40
2012-08-05,37
2012-08-12,38
2012-08-19,37
2012-08-26,37
2012-09-02,45
2012-09-09,38
2012-09-16,37
2012-09-23,36
2012-09-30,42
2012-10-07,40
2012-10-14,40
2012-10-21,37
2012-10-28,40
2012-11-04,43
2012-11-11,42
2012-11-18,35
2012-11-25,40
2012-12-02,41
2012-12-09,39
2012-12-16,41
2012-12-23,41
2012-12-30,55
2013-01-06,46
2013-01-13,43
2013-01-20,43
2013-01-27,41
2013-02-03,37
2013-02-10,36
2013-02-17,35
2013-02-24,35
2013-03-03,34
2013-03-10,33
2013-03-17,32
2013-03-24,32
2013-03-31,34
2013-04-07,34
2013-04-14,33
2013-04-21,33
2013-04-28,32
2013-05-05,31
2013-05-12,32
2013-05-19,31
2013-05-26,34
2013-06-02,32
2013-06-09,32
2013-06-16,32
2013-06-23,33
2013-06-30,34
2013-07-07,35
2013-07-14,34
2013-07-21,33
2013-07-28,33
2013-08-04,31
2013-08-11,31
2013-08-18,31
2013-08-25,30
2013-09-01,33
2013-09-08,32
2013-09-15,30
2013-09-22,31
2013-09-29,40
2013-10-06,35
2013-10-13,35
2013-10-20,32
2013-10-27,32
2013-11-03,32
2013-11-10,33
2013-11-17,32
2013-11-24,29
2013-12-01,35
2013-12-08,36
2013-12-15,37
2013-12-22,38
2013-12-29,44
2014-01-05,59
2014-01-12,55
2014-01-19,47
2014-01-26,51
2014-02-02,48
2014-02-09,39
2014-02-16,36
2014-02-23,39
2014-03-02,38
2014-03-09,41
2014-03-16,36
2014-03-23,40
2014-03-30,42
2014-04-06,44
2014-04-13,35
2014-04-20,34
2014-04-27,40
2014-05-04,37
2014-05-11,35
2014-05-18,33
2014-05-25,29
2014-06-01,29
2014-06-08,28
2014-06-15,27
2014-06-22,27
2014-06-29,27
2014-07-06,29
2014-07-13,27
2014-07-20,27
2014-07-27,25
2014-08-03,24
2014-08-10,22
2014-08-17,22
2014-08-24,22
2014-08-31,22
2014-09-07,21
2014-09-14,21
2014-09-21,21
2014-09-28,22
2014-10-05,22
2014-10-12,22
2014-10-19,22
2014-10-26,21
2014-11-02,23
2014-11-09,23
2014-11-16,23
2014-11-23,20
2014-11-30,24
2014-12-07,23
2014-12-14,23
2014-12-21,21
2014-12-28,25
