date,new york unemployment
2012-01-01,99
2012-01-08,100
2012-01-15,88
2012-01-22,82
2012-01-29,82
2012-02-05,80
2012-02-12,78
2012-02-19,74
2012-02-26,71
2012-03-04,76
2012-03-11,68
2012-03-18,70
2012-03-25,67
2012-04-01,71
2012-04-08,71
2012-04-15,75
2012-04-22,63
2012-04-29,68
2012-05-06,63
2012-05-13,63
2012-05-20,71
2012-05-27,64
2012-06-03,66
2012-06-10,78
2012-06-17,71
2012-06-24,71
2012-07-01,76
2012-07-08,80
2012-07-15,73
2012-07-22,86
2012-07-29,75
2012-08-05,71
2012-08-12,62
2012-08-19,66
2012-08-26,67
2012-09-02,90
2012-09-09,57
2012-09-16,58
2012-09-23,57
2012-09-30,65
2012-10-07,64
2012-10-14,63
2012-10-21,56
2012-10-28,64
2012-11-04,74
2012-11-11,73
2012-11-18,70
2012-11-25,69
2012-12-02,76
2012-12-09,67
2012-12-16,84
2012-12-23,65
2012-12-30,87
2013-01-06,71
2013-01-13,63
2013-01-20,62
2013-01-27,64
2013-02-03,54
2013-02-10,56
2013-02-17,53
2013-02-24,50
2013-03-03,56
2013-03-10,53
2013-03-17,53
2013-03-24,48
2013-03-31,53
2013-04-07,53
2013-04-14,50
2013-04-21,52
2013-04-28,47
2013-05-05,49
2013-05-12,44
2013-05-19,46
2013-05-26,47
2013-06-02,46
2013-06-09,39
2013-06-16,46
2013-06-23,46
2013-06-30,43
2013-07-07,47
2013-07-14,44
2013-07-21,43
2013-07-28,43
2013-08-04,46
2013-08-11,43
2013-08-18,43
2013-08-25,40
2013-09-01,38
2013-09-08,44
2013-09-15,42
2013-09-22,42
2013-09-29,49
2013-10-06,42
2013-10-13,46
2013-10-20,42
2013-10-27,44
2013-11-03,43
2013-11-10,44
2013-11-17,44
2013-11-24,35
2013-12-01,47
2013-12-08,53
2013-12-15,45
2013-12-22,55
2013-12-29,72
2014-01-05,84
2014-01-12,60
2014-01-19,52
2014-01-26,53
2014-02-02,44
2014-02-09,42
2014-02-16,41
2014-02-23,42
2014-03-02,39
2014-03-09,48
2014-03-16,38
2014-03-23,39
2014-03-30,43
2014-04-06,44
2014-04-13,42
2014-04-20,42
2014-04-27,36
2014-05-04,35
2014-05-11,32
2014-05-18,33
2014-05-25,31
2014-06-01,26
2014-06-08,31
2014-06-15,32
2014-06-22,29
2014-06-29,30
2014-07-06,36
2014-07-13,33
2014-07-20,36
2014-07-27,30
2014-08-03,31
2014-08-10,29
2014-08-17,25
2014-08-24,26
2014-08-31,27
2014-09-07,26
2014-09-14,24
2014-09-21,29
2014-09-28,29
2014-10-05,25
2014-10-12,25
2014-10-19,25
2014-10-26,25
2014-11-02,27
2014-11-09,25
2014-11-16,28
2014-11-23,25
2014-11-30,32
2014-12-07,28
2014-12-14,28
2014-12-21,30
2014-12-28,35
2015-01-04,36
2015-01-11,31
2015-01-18,32
2015-01-25,31
2015-02-01,29
2015-02-08,28
2015-02-15,27
2015-02-22,28
2015-03-01,29
2015-03-08,30
2015-03-15,27
2015-03-22,28
2015-03-29,26
2015-04-05,27
2015-04-12,26
2015-04-19,24
2015-04-26,24
2015-05-03,24
2015-05-10,23
2015-05-17,23
2015-05-24,24
2015-05-31,29
2015-06-07,24
2015-06-14,23
2015-06-21,24
2015-06-28,22
2015-07-05,30
2015-07-12,23
2015-07-19,27
2015-07-26,26
2015-08-02,24
2015-08-09,30
2015-08-16,25
2015-08-23,28
2015-08-30,22
2015-09-06,23
2015-09-13,22
2015-09-20,19
2015-09-27,23
2015-10-04,24
2015-10-11,23
2015-10-18,23
2015-10-25,25
2015-11-01,22
2015-11-08,24
2015-11-15,23
2015-11-22,18
2015-11-29,25
2015-12-06,25
2015-12-13,22
2015-12-20,24
2015-12-27,26
2016-01-03,26
2016-01-10,41
2016-01-17,25
2016-01-24,24
2016-01-31,33
2016-02-07,26
2016-02-14,23
2016-02-21,23
2016-02-28,21
2016-03-06,21
2016-03-13,20
2016-03-20,21
2016-03-27,19
2016-04-03,20
2016-04-10,25
2016-04-17,17
2016-04-24,20
2016-05-01,21
2016-05-08,16
2016-05-15,17
2016-05-22,14
2016-05-29,17
2016-06-05,13
2016-06-12,17
2016-06-19,17
2016-06-26,18
2016-07-03,17
2016-07-10,17
2016-07-17,17
2016-07-24,17
2016-07-31,15
2016-08-07,15
2016-08-14,15
2016-08-21,16
2016-08-28,15
2016-09-04,16
2016-09-11,15
2016-09-18,13
2016-09-25,15
2016-10-02,15
2016-10-09,19
2016-10-16,15
2016-10-23,16
2016-10-30,15
2016-11-06,16
2016-11-13,16
2016-11-20,15
2016-11-27,19
2016-12-04,18
2016-12-11,20
2016-12-18,18
2016-12-25,19
