date,nj unemployment
2012-01-01,72
2012-01-08,64
2012-01-15,65
2012-01-22,60
2012-01-29,60
2012-02-05,53
2012-02-12,61
2012-02-19,55
2012-02-26,57
2012-03-04,55
2012-03-11,80
2012-03-18,96
2012-03-25,68
2012-04-01,49
2012-04-08,55
2012-04-15,52
2012-04-22,50
2012-04-29,51
2012-05-06,55
2012-05-13,47
2012-05-20,55
2012-05-27,55
2012-06-03,57
2012-06-10,56
2012-06-17,55
2012-06-24,67
2012-07-01,71
2012-07-08,62
2012-07-15,59
2012-07-22,57
2012-07-29,58
2012-08-05,54
2012-08-12,53
2012-08-19,53
2012-08-26,56
2012-09-02,56
2012-09-09,55
2012-09-16,52
2012-09-23,51
2012-09-30,53
2012-10-07,51
2012-10-14,51
2012-10-21,47
2012-10-28,75
2012-11-04,100
2012-11-11,85
2012-11-18,62
2012-11-25,66
2012-12-02,59
2012-12-09,53
2012-12-16,63
2012-12-23,63
2012-12-30,89
2013-01-06,72
2013-01-13,64
2013-01-20,64
2013-01-27,61
2013-02-03,56
2013-02-10,56
2013-02-17,55
2013-02-24,51
2013-03-03,50
2013-03-10,52
2013-03-17,50
2013-03-24,50
2013-03-31,52
2013-04-07,45
2013-04-14,47
2013-04-21,47
2013-04-28,48
2013-05-05,46
2013-05-12,50
2013-05-19,46
2013-05-26,52
2013-06-02,49
2013-06-09,49
2013-06-16,52
2013-06-23,52
2013-06-30,54
2013-07-07,74
2013-07-14,59
2013-07-21,52
2013-07-28,54
2013-08-04,54
2013-08-11,51
2013-08-18,49
2013-08-25,49
2013-09-01,50
2013-09-08,46
2013-09-15,50
2013-09-22,49
2013-09-29,57
2013-10-06,56
2013-10-13,46
2013-10-20,46
2013-10-27,48
2013-11-03,49
2013-11-10,51
2013-11-17,50
2013-11-24,47
2013-12-01,49
2013-12-08,52
2013-12-15,58
2013-12-22,61
2013-12-29,60
2014-01-05,85
2014-01-12,72
2014-01-19,65
2014-01-26,78
2014-02-02,68
2014-02-09,56
2014-02-16,58
2014-02-23,56
2014-03-02,55
2014-03-09,55
2014-03-16,50
2014-03-23,52
2014-03-30,54
2014-04-06,54
2014-04-13,42
2014-04-20,49
2014-04-27,42
2014-05-04,38
2014-05-11,36
2014-05-18,36
2014-05-25,35
2014-06-01,36
2014-06-08,37
2014-06-15,35
2014-06-22,40
2014-06-29,40
2014-07-06,38
2014-07-13,38
2014-07-20,35
2014-07-27,35
2014-08-03,33
2014-08-10,32
2014-08-17,30
2014-08-24,30
2014-08-31,30
2014-09-07,30
2014-09-14,28
2014-09-21,28
2014-09-28,28
2014-10-05,31
2014-10-12,28
2014-10-19,29
2014-10-26,28
2014-11-02,33
2014-11-09,30
2014-11-16,31
2014-11-23,26
2014-11-30,33
2014-12-07,29
2014-12-14,31
2014-12-21,32
2014-12-28,42
2015-01-04,45
2015-01-11,44
2015-01-18,42
2015-01-25,52
2015-02-01,54
2015-02-08,43
2015-02-15,40
2015-02-22,35
2015-03-01,32
2015-03-08,31
2015-03-15,34
2015-03-22,33
2015-03-29,33
2015-04-05,33
2015-04-12,35
2015-04-19,28
2015-04-26,27
2015-05-03,27
2015-05-10,25
2015-05-17,25
2015-05-24,26
2015-05-31,26
2015-06-07,27
2015-06-14,28
2015-06-21,33
2015-06-28,32
2015-07-05,35
2015-07-12,30
2015-07-19,30
2015-07-26,31
2015-08-02,30
2015-08-09,28
2015-08-16,27
2015-08-23,28
2015-08-30,29
2015-09-06,27
2015-09-13,25
2015-09-20,28
2015-09-27,23
2015-10-04,28
2015-10-11,27
2015-10-18,24
2015-10-25,24
2015-11-01,27
2015-11-08,26
2015-11-15,28
2015-11-22,23
2015-11-29,28
2015-12-06,27
2015-12-13,32
2015-12-20,26
2015-12-27,31
2016-01-03,40
2016-01-10,36
2016-01-17,36
2016-01-24,39
2016-01-31,40
2016-02-07,38
2016-02-14,32
2016-02-21,30
2016-02-28,28
2016-03-06,26
2016-03-13,30
2016-03-20,27
2016-03-27,28
2016-04-03,29
2016-04-10,28
2016-04-17,26
2016-04-24,24
2016-05-01,25
2016-05-08,25
2016-05-15,25
2016-05-22,25
2016-05-29,24
2016-06-05,26
2016-06-12,24
2016-06-19,27
2016-06-26,26
2016-07-03,27
2016-07-10,25
2016-07-17,26
2016-07-24,27
2016-07-31,26
2016-08-07,23
2016-08-14,25
2016-08-21,25
2016-08-28,23
2016-09-04,25
2016-09-11,24
2016-09-18,21
2016-09-25,20
2016-10-02,24
2016-10-09,23
2016-10-16,23
2016-10-23,24
2016-10-30,24
2016-11-06,22
2016-11-13,26
2016-11-20,23
2016-11-27,27
2016-12-04,25
2016-12-11,27
2016-12-18,30
2016-12-25,32
