date,ny unemployment
2012-01-01,66
2012-01-08,63
2012-01-15,63
2012-01-22,55
2012-01-29,57
2012-02-05,58
2012-02-12,54
2012-02-19,56
2012-02-26,55
2012-03-04,52
2012-03-11,47
2012-03-18,50
2012-03-25,47
2012-04-01,47
2012-04-08,50
2012-04-15,52
2012-04-22,48
2012-04-29,49
2012-05-06,46
2012-05-13,47
2012-05-20,52
2012-05-27,50
2012-06-03,50
2012-06-10,57
2012-06-17,56
2012-06-24,55
2012-07-01,65
2012-07-08,65
2012-07-15,67
2012-07-22,71
2012-07-29,69
2012-08-05,58
2012-08-12,55
2012-08-19,60
2012-08-26,54
2012-09-02,83
2012-09-09,53
2012-09-16,58
2012-09-23,54
2012-09-30,52
2012-10-07,65
2012-10-14,56
2012-10-21,54
2012-10-28,54
2012-11-04,70
2012-11-11,68
2012-11-18,63
2012-11-25,58
2012-12-02,78
2012-12-09,72
2012-12-16,100
2012-12-23,71
2012-12-30,86
2013-01-06,77
2013-01-13,68
2013-01-20,65
2013-01-27,55
2013-02-03,49
2013-02-10,45
2013-02-17,46
2013-02-24,48
2013-03-03,53
2013-03-10,53
2013-03-17,53
2013-03-24,52
2013-03-31,50
2013-04-07,47
2013-04-14,42
2013-04-21,38
2013-04-28,41
2013-05-05,37
2013-05-12,38
2013-05-19,38
2013-05-26,42
2013-06-02,35
2013-06-09,41
2013-06-16,37
2013-06-23,41
2013-06-30,44
2013-07-07,43
2013-07-14,40
2013-07-21,45
2013-07-28,42
2013-08-04,41
2013-08-11,41
2013-08-18,39
2013-08-25,39
2013-09-01,43
2013-09-08,45
2013-09-15,34
2013-09-22,35
2013-09-29,40
2013-10-06,39
2013-10-13,38
2013-10-20,38
2013-10-27,40
2013-11-03,36
2013-11-10,41
2013-11-17,35
2013-11-24,38
2013-12-01,36
2013-12-08,38
2013-12-15,40
2013-12-22,45
2013-12-29,61
2014-01-05,91
2014-01-12,61
2014-01-19,51
2014-01-26,50
2014-02-02,44
2014-02-09,37
2014-02-16,40
2014-02-23,45
2014-03-02,45
2014-03-09,52
2014-03-16,44
2014-03-23,46
2014-03-30,46
2014-04-06,49
2014-04-13,45
2014-04-20,49
2014-04-27,42
2014-05-04,42
2014-05-11,39
2014-05-18,42
2014-05-25,35
2014-06-01,32
2014-06-08,33
2014-06-15,27
2014-06-22,32
2014-06-29,34
2014-07-06,41
2014-07-13,38
2014-07-20,54
2014-07-27,41
2014-08-03,39
2014-08-10,33
2014-08-17,32
2014-08-24,31
2014-08-31,30
2014-09-07,28
2014-09-14,27
2014-09-21,25
2014-09-28,25
2014-10-05,21
2014-10-12,24
2014-10-19,25
2014-10-26,24
2014-11-02,25
2014-11-09,24
2014-11-16,26
2014-11-23,22
2014-11-30,25
2014-12-07,23
2014-12-14,24
2014-12-21,23
2014-12-28,27
2015-01-04,31
2015-01-11,29
2015-01-18,29
2015-01-25,27
2015-02-01,25
2015-02-08,28
2015-02-15,31
2015-02-22,27
2015-03-01,24
2015-03-08,27
2015-03-15,25
2015-03-22,24
2015-03-29,24
2015-04-05,25
2015-04-12,24
2015-04-19,20
2015-04-26,22
2015-05-03,22
2015-05-10,21
2015-05-17,21
2015-05-24,22
2015-05-31,22
2015-06-07,24
2015-06-14,20
2015-06-21,21
2015-06-28,25
2015-07-05,27
2015-07-12,23
2015-07-19,25
2015-07-26,25
2015-08-02,25
2015-08-09,25
2015-08-16,27
2015-08-23,26
2015-08-30,26
2015-09-06,23
2015-09-13,23
2015-09-20,21
2015-09-27,24
2015-10-04,23
2015-10-11,22
2015-10-18,20
2015-10-25,22
2015-11-01,21
2015-11-08,18
2015-11-15,21
2015-11-22,21
2015-11-29,29
2015-12-06,28
2015-12-13,25
2015-12-20,26
2015-12-27,29
2016-01-03,34
2016-01-10,63
2016-01-17,27
2016-01-24,33
2016-01-31,32
2016-02-07,32
2016-02-14,28
2016-02-21,25
2016-02-28,21
2016-03-06,22
2016-03-13,22
2016-03-20,21
2016-03-27,26
2016-04-03,26
2016-04-10,30
2016-04-17,21
2016-04-24,21
2016-05-01,25
2016-05-08,23
2016-05-15,23
2016-05-22,20
2016-05-29,19
2016-06-05,24
2016-06-12,22
2016-06-19,23
2016-06-26,24
2016-07-03,28
2016-07-10,23
2016-07-17,20
2016-07-24,20
2016-07-31,17
2016-08-07,17
2016-08-14,18
2016-08-21,18
2016-08-28,18
2016-09-04,18
2016-09-11,18
2016-09-18,16
2016-09-25,18
2016-10-02,17
2016-10-09,19
2016-10-16,17
2016-10-23,16
2016-10-30,17
2016-11-06,17
2016-11-13,16
2016-11-20,17
2016-11-27,22
2016-12-04,22
2016-12-11,21
2016-12-18,20
2016-12-25,21
