date,ohio unemployment
2012-01-01,99
2012-01-08,89
2012-01-15,99
2012-01-22,100
2012-01-29,83
2012-02-05,74
2012-02-12,78
2012-02-19,77
2012-02-26,70
2012-03-04,67
2012-03-11,64
2012-03-18,77
2012-03-25,66
2012-04-01,62
2012-04-08,74
2012-04-15,73
2012-04-22,60
2012-04-29,65
2012-05-06,58
2012-05-13,55
2012-05-20,68
2012-05-27,59
2012-06-03,56
2012-06-10,58
2012-06-17,55
2012-06-24,50
2012-07-01,48
2012-07-08,50
2012-07-15,47
2012-07-22,55
2012-07-29,47
2012-08-05,48
2012-08-12,49
2012-08-19,52
2012-08-26,50
2012-09-02,51
2012-09-09,59
2012-09-16,43
2012-09-23,47
2012-09-30,49
2012-10-07,50
2012-10-14,57
2012-10-21,43
2012-10-28,46
2012-11-04,49
2012-11-11,57
2012-11-18,46
2012-11-25,44
2012-12-02,51
2012-12-09,58
2012-12-16,76
2012-12-23,68
2012-12-30,81
2013-01-06,85
2013-01-13,70
2013-01-20,68
2013-01-27,61
2013-02-03,60
2013-02-10,56
2013-02-17,51
2013-02-24,49
2013-03-03,49
2013-03-10,50
2013-03-17,51
2013-03-24,46
2013-03-31,52
2013-04-07,52
2013-04-14,49
2013-04-21,48
2013-04-28,45
2013-05-05,47
2013-05-12,52
2013-05-19,44
2013-05-26,47
2013-06-02,44
2013-06-09,54
2013-06-16,50
2013-06-23,47
2013-06-30,44
2013-07-07,47
2013-07-14,43
2013-07-21,42
2013-07-28,43
2013-08-04,39
2013-08-11,39
2013-08-18,42
2013-08-25,41
2013-09-01,41
2013-09-08,42
2013-09-15,38
2013-09-22,42
2013-09-29,51
2013-10-06,41
2013-10-13,47
2013-10-20,41
2013-10-27,40
2013-11-03,40
2013-11-10,43
2013-11-17,43
2013-11-24,41
2013-12-01,42
2013-12-08,47
2013-12-15,49
2013-12-22,53
2013-12-29,56
2014-01-05,72
2014-01-12,67
2014-01-19,55
2014-01-26,57
2014-02-02,54
2014-02-09,46
2014-02-16,44
2014-02-23,40
2014-03-02,39
2014-03-09,44
2014-03-16,38
2014-03-23,36
2014-03-30,36
2014-04-06,35
2014-04-13,33
2014-04-20,31
2014-04-27,28
2014-05-04,29
2014-05-11,31
2014-05-18,29
2014-05-25,28
2014-06-01,32
2014-06-08,31
2014-06-15,30
2014-06-22,29
2014-06-29,28
2014-07-06,34
2014-07-13,37
2014-07-20,33
2014-07-27,31
2014-08-03,30
2014-08-10,28
2014-08-17,28
2014-08-24,25
2014-08-31,25
2014-09-07,23
2014-09-14,26
2014-09-21,20
2014-09-28,24
2014-10-05,26
2014-10-12,27
2014-10-19,27
2014-10-26,28
2014-11-02,28
2014-11-09,29
2014-11-16,32
2014-11-23,29
2014-11-30,32
2014-12-07,34
2014-12-14,36
2014-12-21,39
2014-12-28,42
2015-01-04,54
2015-01-11,46
2015-01-18,42
2015-01-25,39
2015-02-01,36
2015-02-08,33
2015-02-15,37
2015-02-22,33
2015-03-01,31
2015-03-08,29
2015-03-15,30
2015-03-22,30
2015-03-29,29
2015-04-05,29
2015-04-12,31
2015-04-19,28
2015-04-26,27
2015-05-03,24
2015-05-10,26
2015-05-17,24
2015-05-24,25
2015-05-31,28
2015-06-07,26
2015-06-14,26
2015-06-21,27
2015-06-28,30
2015-07-05,31
2015-07-12,26
2015-07-19,26
2015-07-26,26
2015-08-02,29
2015-08-09,29
2015-08-16,26
2015-08-23,25
2015-08-30,26
2015-09-06,23
2015-09-13,23
2015-09-20,23
2015-09-27,22
2015-10-04,21
2015-10-11,26
2015-10-18,21
2015-10-25,21
2015-11-01,24
2015-11-08,26
2015-11-15,23
2015-11-22,25
2015-11-29,27
2015-12-06,28
2015-12-13,30
2015-12-20,30
2015-12-27,39
2016-01-03,47
2016-01-10,44
2016-01-17,45
2016-01-24,41
2016-01-31,40
2016-02-07,35
2016-02-14,36
2016-02-21,31
2016-02-28,32
2016-03-06,30
2016-03-13,31
2016-03-20,28
2016-03-27,28
2016-04-03,27
2016-04-10,27
2016-04-17,24
2016-04-24,25
2016-05-01,21
2016-05-08,23
2016-05-15,21
2016-05-22,22
2016-05-29,23
2016-06-05,24
2016-06-12,25
2016-06-19,24
2016-06-26,22
2016-07-03,23
2016-07-10,23
2016-07-17,25
2016-07-24,26
2016-07-31,23
2016-08-07,24
2016-08-14,25
2016-08-21,23
2016-08-28,21
2016-09-04,21
2016-09-11,25
2016-09-18,20
2016-09-25,18
2016-10-02,20
2016-10-09,19
2016-10-16,19
2016-10-23,20
2016-10-30,19
2016-11-06,19
2016-11-13,25
2016-11-20,23
2016-11-27,29
2016-12-04,30
2016-12-11,34
2016-12-18,36
2016-12-25,39
