date,pa unemployment
2012-01-01,100
2012-01-08,98
2012-01-15,92
2012-01-22,82
2012-01-29,77
2012-02-05,69
2012-02-12,69
2012-02-19,68
2012-02-26,63
2012-03-04,60
2012-03-11,63
2012-03-18,63
2012-03-25,60
2012-04-01,61
2012-04-08,63
2012-04-15,62
2012-04-22,59
2012-04-29,57
2012-05-06,58
2012-05-13,59
2012-05-20,57
2012-05-27,62
2012-06-03,59
2012-06-10,58
2012-06-17,59
2012-06-24,63
2012-07-01,67
2012-07-08,65
2012-07-15,65
2012-07-22,58
2012-07-29,59
2012-08-05,58
2012-08-12,59
2012-08-19,56
2012-08-26,56
2012-09-02,58
2012-09-09,56
2012-09-16,57
2012-09-23,53
2012-09-30,60
2012-10-07,68
2012-10-14,63
2012-10-21,61
2012-10-28,61
2012-11-04,64
2012-11-11,71
2012-11-18,64
2012-11-25,65
2012-12-02,64
2012-12-09,60
2012-12-16,63
2012-12-23,71
2012-12-30,90
2013-01-06,87
2013-01-13,79
2013-01-20,72
2013-01-27,72
2013-02-03,61
2013-02-10,61
2013-02-17,55
2013-02-24,57
2013-03-03,55
2013-03-10,56
2013-03-17,56
2013-03-24,56
2013-03-31,55
2013-04-07,57
2013-04-14,65
2013-04-21,49
2013-04-28,54
2013-05-05,48
2013-05-12,50
2013-05-19,52
2013-05-26,50
2013-06-02,53
2013-06-09,56
2013-06-16,53
2013-06-23,56
2013-06-30,57
2013-07-07,60
2013-07-14,57
2013-07-21,58
2013-07-28,54
2013-08-04,50
2013-08-11,53
2013-08-18,55
2013-08-25,45
2013-09-01,49
2013-09-08,45
2013-09-15,44
2013-09-22,44
2013-09-29,51
2013-10-06,52
2013-10-13,49
2013-10-20,47
2013-10-27,46
2013-11-03,47
2013-11-10,50
2013-11-17,48
2013-11-24,46
2013-12-01,53
2013-12-08,56
2013-12-15,61
2013-12-22,68
2013-12-29,72
2014-01-05,80
2014-01-12,69
2014-01-19,68
2014-01-26,63
2014-02-02,62
2014-02-09,53
2014-02-16,49
2014-02-23,49
2014-03-02,47
2014-03-09,46
2014-03-16,42
2014-03-23,43
2014-03-30,46
2014-04-06,42
2014-04-13,41
2014-04-20,40
2014-04-27,40
2014-05-04,39
2014-05-11,41
2014-05-18,36
2014-05-25,33
2014-06-01,35
2014-06-08,35
2014-06-15,38
2014-06-22,32
2014-06-29,34
2014-07-06,35
2014-07-13,36
2014-07-20,35
2014-07-27,34
2014-08-03,31
2014-08-10,29
2014-08-17,30
2014-08-24,30
2014-08-31,29
2014-09-07,28
2014-09-14,26
2014-09-21,27
2014-09-28,27
2014-10-05,29
2014-10-12,30
2014-10-19,24
2014-10-26,26
2014-11-02,27
2014-11-09,30
2014-11-16,30
2014-11-23,29
2014-11-30,33
2014-12-07,32
2014-12-14,32
2014-12-21,37
2014-12-28,40
2015-01-04,47
2015-01-11,43
2015-01-18,41
2015-01-25,38
2015-02-01,47
2015-02-08,33
2015-02-15,36
2015-02-22,33
2015-03-01,31
2015-03-08,31
2015-03-15,31
2015-03-22,30
2015-03-29,30
2015-04-05,32
2015-04-12,29
2015-04-19,28
2015-04-26,28
2015-05-03,27
2015-05-10,26
2015-05-17,27
2015-05-24,28
2015-05-31,28
2015-06-07,32
2015-06-14,31
2015-06-21,30
2015-06-28,32
2015-07-05,33
2015-07-12,35
2015-07-19,31
2015-07-26,30
2015-08-02,30
2015-08-09,29
2015-08-16,31
2015-08-23,27
2015-08-30,27
2015-09-06,24
2015-09-13,27
2015-09-20,24
2015-09-27,26
2015-10-04,28
2015-10-11,27
2015-10-18,25
2015-10-25,26
2015-11-01,27
2015-11-08,25
2015-11-15,25
2015-11-22,28
2015-11-29,32
2015-12-06,29
2015-12-13,34
2015-12-20,34
2015-12-27,37
2016-01-03,48
2016-01-10,38
2016-01-17,40
2016-01-24,36
2016-01-31,34
2016-02-07,30
2016-02-14,33
2016-02-21,30
2016-02-28,29
2016-03-06,28
2016-03-13,27
2016-03-20,25
2016-03-27,28
2016-04-03,26
2016-04-10,25
2016-04-17,25
2016-04-24,24
2016-05-01,23
2016-05-08,24
2016-05-15,23
2016-05-22,26
2016-05-29,25
2016-06-05,24
2016-06-12,25
2016-06-19,28
2016-06-26,29
2016-07-03,30
2016-07-10,29
2016-07-17,29
2016-07-24,25
2016-07-31,26
2016-08-07,26
2016-08-14,26
2016-08-21,24
2016-08-28,23
2016-09-04,23
2016-09-11,22
2016-09-18,23
2016-09-25,23
2016-10-02,22
2016-10-09,24
2016-10-16,23
2016-10-23,22
2016-10-30,22
2016-11-06,21
2016-11-13,25
2016-11-20,24
2016-11-27,32
2016-12-04,33
2016-12-11,32
2016-12-18,36
2016-12-25,37
