date,unemployment florida
2012-01-01,100
2012-01-08,100
2012-01-15,97
2012-01-22,87
2012-01-29,90
2012-02-05,85
2012-02-12,82
2012-02-19,77
2012-02-26,74
2012-03-04,79
2012-03-11,74
2012-03-18,75
2012-03-25,73
2012-04-01,76
2012-04-08,81
2012-04-15,81
2012-04-22,79
2012-04-29,85
2012-05-06,77
2012-05-13,82
2012-05-20,77
2012-05-27,78
2012-06-03,80
2012-06-10,80
2012-06-17,79
2012-06-24,74
2012-07-01,81
2012-07-08,86
2012-07-15,79
2012-07-22,82
2012-07-29,82
2012-08-05,78
2012-08-12,81
2012-08-19,76
2012-08-26,68
2012-09-02,72
2012-09-09,69
2012-09-16,67
2012-09-23,69
2012-09-30,73
2012-10-07,66
2012-10-14,69
2012-10-21,71
2012-10-28,67
2012-11-04,74
2012-11-11,72
2012-11-18,61
2012-11-25,75
2012-12-02,73
2012-12-09,68
2012-12-16,72
2012-12-23,75
2012-12-30,100
2013-01-06,94
2013-01-13,92
2013-01-20,78
2013-01-27,73
2013-02-03,67
2013-02-10,61
2013-02-17,64
2013-02-24,55
2013-03-03,60
2013-03-10,56
2013-03-17,56
2013-03-24,60
2013-03-31,61
2013-04-07,63
2013-04-14,61
2013-04-21,64
2013-04-28,62
2013-05-05,59
2013-05-12,64
2013-05-19,60
2013-05-26,67
2013-06-02,68
2013-06-09,70
2013-06-16,65
2013-06-23,66
2013-06-30,70
2013-07-07,71
2013-07-14,74
2013-07-21,65
2013-07-28,67
2013-08-04,60
2013-08-11,65
2013-08-18,66
2013-08-25,63
2013-09-01,66
2013-09-08,57
2013-09-15,58
2013-09-22,61
2013-09-29,65
2013-10-06,56
2013-10-13,97
2013-10-20,87
2013-10-27,76
2013-11-03,73
2013-11-10,70
2013-11-17,78
2013-11-24,68
2013-12-01,80
2013-12-08,82
2013-12-15,89
2013-12-22,82
2013-12-29,84
2014-01-05,94
2014-01-12,85
2014-01-19,88
2014-01-26,83
2014-02-02,80
2014-02-09,62
2014-02-16,58
2014-02-23,52
2014-03-02,55
2014-03-09,52
2014-03-16,50
2014-03-23,48
2014-03-30,49
2014-04-06,53
2014-04-13,58
2014-04-20,53
2014-04-27,54
2014-05-04,54
2014-05-11,56
2014-05-18,54
2014-05-25,48
2014-06-01,57
2014-06-08,55
2014-06-15,61
2014-06-22,62
2014-06-29,58
2014-07-06,61
2014-07-13,61
2014-07-20,63
2014-07-27,63
2014-08-03,62
2014-08-10,54
2014-08-17,53
2014-08-24,53
2014-08-31,51
2014-09-07,55
2014-09-14,47
2014-09-21,44
2014-09-28,48
2014-10-05,44
2014-10-12,49
2014-10-19,43
2014-10-26,43
2014-11-02,40
2014-11-09,41
2014-11-16,40
2014-11-23,33
2014-11-30,44
2014-12-07,39
2014-12-14,36
2014-12-21,35
2014-12-28,38
2015-01-04,43
2015-01-11,46
2015-01-18,48
2015-01-25,51
2015-02-01,47
2015-02-08,38
2015-02-15,38
2015-02-22,38
2015-03-01,37
2015-03-08,38
2015-03-15,34
2015-03-22,35
2015-03-29,36
2015-04-05,41
2015-04-12,38
2015-04-19,32
2015-04-26,39
2015-05-03,35
2015-05-10,33
2015-05-17,38
2015-05-24,36
2015-05-31,39
2015-06-07,40
2015-06-14,42
2015-06-21,42
2015-06-28,42
2015-07-05,44
2015-07-12,42
2015-07-19,42
2015-07-26,45
2015-08-02,40
2015-08-09,36
2015-08-16,38
2015-08-23,37
2015-08-30,37
2015-09-06,33
2015-09-13,33
2015-09-20,32
2015-09-27,35
2015-10-04,33
2015-10-11,33
2015-10-18,34
2015-10-25,30
2015-11-01,28
2015-11-08,30
2015-11-15,31
2015-11-22,23
2015-11-29,31
2015-12-06,28
2015-12-13,27
2015-12-20,27
2015-12-27,32
2016-01-03,38
2016-01-10,33
2016-01-17,34
2016-01-24,34
2016-01-31,30
2016-02-07,29
2016-02-14,28
2016-02-21,27
2016-02-28,27
2016-03-06,28
2016-03-13,27
2016-03-20,26
2016-03-27,28
2016-04-03,29
2016-04-10,27
2016-04-17,28
2016-04-24,28
2016-05-01,25
2016-05-08,31
2016-05-15,26
2016-05-22,31
2016-05-29,28
2016-06-05,32
2016-06-12,31
2016-06-19,35
2016-06-26,34
2016-07-03,33
2016-07-10,31
2016-07-17,33
2016-07-24,30
2016-07-31,30
2016-08-07,28
2016-08-14,26
2016-08-21,29
2016-08-28,25
2016-09-04,28
2016-09-11,26
2016-09-18,31
2016-09-25,28
2016-10-02,22
2016-10-09,29
2016-10-16,27
2016-10-23,27
2016-10-30,29
2016-11-06,24
2016-11-13,25
2016-11-20,19
2016-11-27,27
2016-12-04,25
2016-12-11,27
2016-12-18,22
2016-12-25,22
