date,unemployment benefits
2012-01-01,39
2012-01-08,37
2012-01-15,36
2012-01-22,35
2012-01-29,34
2012-02-05,31
2012-02-12,37
2012-02-19,35
2012-02-26,30
2012-03-04,28
2012-03-11,27
2012-03-18,28
2012-03-25,26
2012-04-01,27
2012-04-08,27
2012-04-15,27
2012-04-22,25
2012-04-29,27
2012-05-06,29
2012-05-13,28
2012-05-20,27
2012-05-27,30
2012-06-03,29
2012-06-10,30
2012-06-17,29
2012-06-24,30
2012-07-01,31
2012-07-08,34
2012-07-15,29
2012-07-22,34
2012-07-29,31
2012-08-05,29
2012-08-12,29
2012-08-19,30
2012-08-26,27
2012-09-02,36
2012-09-09,29
2012-09-16,28
2012-09-23,28
2012-09-30,29
2012-10-07,30
2012-10-14,28
2012-10-21,29
2012-10-28,29
2012-11-04,34
2012-11-11,34
2012-11-18,27
2012-11-25,34
2012-12-02,44
2012-12-09,44
2012-12-16,62
2012-12-23,51
2012-12-30,83
2013-01-06,50
2013-01-13,42
2013-01-20,39
2013-01-27,37
2013-02-03,33
2013-02-10,31
2013-02-17,32
2013-02-24,33
2013-03-03,33
2013-03-10,32
2013-03-17,29
2013-03-24,28
2013-03-31,29
2013-04-07,27
2013-04-14,27
2013-04-21,27
2013-04-28,30
2013-05-05,31
2013-05-12,31
2013-05-19,32
2013-05-26,35
2013-06-02,31
2013-06-09,31
2013-06-16,28
2013-06-23,30
2013-06-30,31
2013-07-07,31
2013-07-14,30
2013-07-21,26
2013-07-28,25
2013-08-04,26
2013-08-11,25
2013-08-18,28
2013-08-25,25
2013-09-01,29
2013-09-08,29
2013-09-15,27
2013-09-22,31
2013-09-29,41
2013-10-06,32
2013-10-13,32
2013-10-20,28
2013-10-27,29
2013-11-03,28
2013-11-10,26
2013-11-17,25
2013-11-24,22
2013-12-01,27
2013-12-08,35
2013-12-15,35
2013-12-22,42
2013-12-29,51
2014-01-05,100
2014-01-12,90
2014-01-19,68
2014-01-26,86
2014-02-02,84
2014-02-09,64
2014-02-16,44
2014-02-23,55
2014-03-02,52
2014-03-09,57
2014-03-16,43
2014-03-23,52
2014-03-30,55
2014-04-06,59
2014-04-13,44
2014-04-20,42
2014-04-27,47
2014-05-04,42
2014-05-11,39
2014-05-18,37
2014-05-25,32
2014-06-01,33
2014-06-08,33
2014-06-15,33
2014-06-22,30
2014-06-29,27
2014-07-06,29
2014-07-13,23
2014-07-20,23
2014-07-27,22
2014-08-03,21
2014-08-10,19
2014-08-17,22
2014-08-24,22
2014-08-31,22
2014-09-07,23
2014-09-14,22
2014-09-21,21
2014-09-28,21
2014-10-05,20
2014-10-12,22
2014-10-19,20
2014-10-26,18
2014-11-02,21
2014-11-09,19
2014-11-16,19
2014-11-23,14
2014-11-30,18
2014-12-07,17
2014-12-14,15
2014-12-21,14
2014-12-28,17
2015-01-04,20
2015-01-11,19
2015-01-18,20
2015-01-25,19
2015-02-01,17
2015-02-08,16
2015-02-15,17
2015-02-22,17
2015-03-01,19
2015-03-08,19
2015-03-15,19
2015-03-22,17
2015-03-29,16
2015-04-05,16
2015-04-12,16
2015-04-19,16
2015-04-26,14
2015-05-03,14
2015-05-10,14
2015-05-17,14
2015-05-24,14
2015-05-31,15
2015-06-07,14
2015-06-14,15
2015-06-21,16
2015-06-28,16
2015-07-05,18
2015-07-12,18
2015-07-19,18
2015-07-26,20
2015-08-02,18
2015-08-09,18
2015-08-16,17
2015-08-23,17
2015-08-30,16
2015-09-06,15
2015-09-13,16
2015-09-20,16
2015-09-27,16
2015-10-04,16
2015-10-11,15
2015-10-18,15
2015-10-25,14
2015-11-01,15
2015-11-08,16
2015-11-15,17
2015-11-22,14
2015-11-29,16
2015-12-06,17
2015-12-13,17
2015-12-20,14
2015-12-27,15
2016-01-03,20
2016-01-10,22
2016-01-17,20
2016-01-24,19
2016-01-31,18
2016-02-07,17
2016-02-14,17
2016-02-21,17
2016-02-28,16
2016-03-06,15
2016-03-13,16
2016-03-20,14
2016-03-27,14
2016-04-03,14
2016-04-10,14
2016-04-17,15
2016-04-24,15
2016-05-01,17
2016-05-08,16
2016-05-15,16
2016-05-22,17
2016-05-29,17
2016-06-05,15
2016-06-12,15
2016-06-19,15
2016-06-26,16
2016-07-03,15
2016-07-10,16
2016-07-17,14
2016-07-24,14
2016-07-31,15
2016-08-07,14
2016-08-14,13
2016-08-21,13
2016-08-28,14
2016-09-04,14
2016-09-11,13
2016-09-18,16
2016-09-25,13
2016-10-02,15
2016-10-09,16
2016-10-16,17
2016-10-23,14
2016-10-30,14
2016-11-06,12
2016-11-13,15
2016-11-20,12
2016-11-27,16
2016-12-04,15
2016-12-11,14
2016-12-18,13
2016-12-25,14
