date,unemployment login
2012-01-01,47
2012-01-08,43
2012-01-15,56
2012-01-22,61
2012-01-29,63
2012-02-05,58
2012-02-12,48
2012-02-19,55
2012-02-26,44
2012-03-04,49
2012-03-11,45
2012-03-18,55
2012-03-25,46
2012-04-01,51
2012-04-08,40
2012-04-15,41
2012-04-22,38
2012-04-29,37
2012-05-06,35
2012-05-13,37
2012-05-20,47
2012-05-27,45
2012-06-03,42
2012-06-10,51
2012-06-17,47
2012-06-24,47
2012-07-01,52
2012-07-08,46
2012-07-15,47
2012-07-22,56
2012-07-29,44
2012-08-05,43
2012-08-12,43
2012-08-19,41
2012-08-26,41
2012-09-02,41
2012-09-09,40
2012-09-16,31
2012-09-23,35
2012-09-30,41
2012-10-07,48
2012-10-14,47
2012-10-21,48
2012-10-28,46
2012-11-04,54
2012-11-11,66
2012-11-18,55
2012-11-25,59
2012-12-02,53
2012-12-09,52
2012-12-16,65
2012-12-23,59
2012-12-30,66
2013-01-06,58
2013-01-13,51
2013-01-20,63
2013-01-27,60
2013-02-03,67
2013-02-10,59
2013-02-17,60
2013-02-24,59
2013-03-03,52
2013-03-10,51
2013-03-17,54
2013-03-24,55
2013-03-31,57
2013-04-07,57
2013-04-14,52
2013-04-21,48
2013-04-28,47
2013-05-05,47
2013-05-12,47
2013-05-19,44
2013-05-26,49
2013-06-02,46
2013-06-09,55
2013-06-16,48
2013-06-23,47
2013-06-30,63
2013-07-07,60
2013-07-14,66
2013-07-21,63
2013-07-28,60
2013-08-04,50
2013-08-11,47
2013-08-18,46
2013-08-25,43
2013-09-01,42
2013-09-08,38
2013-09-15,35
2013-09-22,37
2013-09-29,41
2013-10-06,41
2013-10-13,45
2013-10-20,48
2013-10-27,45
2013-11-03,50
2013-11-10,47
2013-11-17,48
2013-11-24,46
2013-12-01,56
2013-12-08,61
2013-12-15,72
2013-12-22,80
2013-12-29,95
2014-01-05,100
2014-01-12,87
2014-01-19,94
2014-01-26,82
2014-02-02,75
2014-02-09,58
2014-02-16,51
2014-02-23,52
2014-03-02,53
2014-03-09,55
2014-03-16,52
2014-03-23,51
2014-03-30,48
2014-04-06,45
2014-04-13,42
2014-04-20,40
2014-04-27,42
2014-05-04,41
2014-05-11,40
2014-05-18,38
2014-05-25,38
2014-06-01,34
2014-06-08,34
2014-06-15,33
2014-06-22,33
2014-06-29,36
2014-07-06,38
2014-07-13,34
2014-07-20,41
2014-07-27,35
2014-08-03,36
2014-08-10,34
2014-08-17,32
2014-08-24,32
2014-08-31,32
2014-09-07,28
2014-09-14,35
2014-09-21,32
2014-09-28,36
2014-10-05,31
2014-10-12,34
2014-10-19,31
2014-10-26,30
2014-11-02,28
2014-11-09,29
2014-11-16,30
2014-11-23,28
2014-11-30,30
2014-12-07,34
2014-12-14,36
2014-12-21,32
2014-12-28,44
2015-01-04,45
2015-01-11,43
2015-01-18,50
2015-01-25,45
2015-02-01,43
2015-02-08,36
2015-02-15,45
2015-02-22,47
2015-03-01,41
2015-03-08,45
2015-03-15,43
2015-03-22,43
2015-03-29,35
2015-04-05,39
2015-04-12,36
2015-04-19,29
2015-04-26,33
2015-05-03,32
2015-05-10,30
2015-05-17,34
2015-05-24,36
2015-05-31,31
2015-06-07,34
2015-06-14,37
2015-06-21,36
2015-06-28,41
2015-07-05,50
2015-07-12,44
2015-07-19,46
2015-07-26,43
2015-08-02,41
2015-08-09,44
2015-08-16,39
2015-08-23,43
2015-08-30,37
2015-09-06,39
2015-09-13,34
2015-09-20,33
2015-09-27,41
2015-10-04,34
2015-10-11,43
2015-10-18,37
2015-10-25,40
2015-11-01,43
2015-11-08,41
2015-11-15,41
2015-11-22,41
2015-11-29,52
2015-12-06,55
2015-12-13,55
2015-12-20,53
2015-12-27,68
2016-01-03,88
2016-01-10,82
2016-01-17,81
2016-01-24,68
2016-01-31,61
2016-02-07,50
2016-02-14,58
2016-02-21,51
2016-02-28,49
2016-03-06,47
2016-03-13,47
2016-03-20,51
2016-03-27,52
2016-04-03,52
2016-04-10,54
2016-04-17,49
2016-04-24,54
2016-05-01,45
2016-05-08,52
2016-05-15,47
2016-05-22,49
2016-05-29,52
2016-06-05,54
2016-06-12,55
2016-06-19,55
2016-06-26,57
2016-07-03,63
2016-07-10,55
2016-07-17,50
2016-07-24,50
2016-07-31,47
2016-08-07,44
2016-08-14,44
2016-08-21,44
2016-08-28,42
2016-09-04,42
2016-09-11,46
2016-09-18,46
2016-09-25,41
2016-10-02,39
2016-10-09,53
2016-10-16,55
2016-10-23,50
2016-10-30,53
2016-11-06,39
2016-11-13,47
2016-11-20,50
2016-11-27,58
2016-12-04,57
2016-12-11,49
2016-12-18,48
2016-12-25,57
