date,unemployment number
2012-01-01,84
2012-01-08,78
2012-01-15,74
2012-01-22,80
2012-01-29,69
2012-02-05,62
2012-02-12,55
2012-02-19,56
2012-02-26,59
2012-03-04,54
2012-03-11,52
2012-03-18,57
2012-03-25,53
2012-04-01,54
2012-04-08,62
2012-04-15,59
2012-04-22,54
2012-04-29,55
2012-05-06,54
2012-05-13,57
2012-05-20,56
2012-05-27,54
2012-06-03,55
2012-06-10,57
2012-06-17,60
2012-06-24,61
2012-07-01,68
2012-07-08,70
2012-07-15,66
2012-07-22,67
2012-07-29,66
2012-08-05,63
2012-08-12,65
2012-08-19,61
2012-08-26,61
2012-09-02,76
2012-09-09,64
2012-09-16,62
2012-09-23,62
2012-09-30,70
2012-10-07,73
2012-10-14,63
2012-10-21,57
2012-10-28,68
2012-11-04,72
2012-11-11,68
2012-11-18,54
2012-11-25,70
2012-12-02,70
2012-12-09,63
2012-12-16,72
2012-12-23,68
2012-12-30,85
2013-01-06,81
2013-01-13,74
2013-01-20,70
2013-01-27,69
2013-02-03,61
2013-02-10,59
2013-02-17,56
2013-02-24,52
2013-03-03,53
2013-03-10,57
2013-03-17,55
2013-03-24,54
2013-03-31,54
2013-04-07,55
2013-04-14,55
2013-04-21,55
2013-04-28,53
2013-05-05,57
2013-05-12,56
2013-05-19,59
2013-05-26,61
2013-06-02,58
2013-06-09,60
2013-06-16,62
2013-06-23,61
2013-06-30,62
2013-07-07,76
2013-07-14,62
2013-07-21,67
2013-07-28,65
2013-08-04,62
2013-08-11,59
2013-08-18,60
2013-08-25,58
2013-09-01,63
2013-09-08,63
2013-09-15,61
2013-09-22,66
2013-09-29,67
2013-10-06,67
2013-10-13,69
2013-10-20,66
2013-10-27,59
2013-11-03,64
2013-11-10,65
2013-11-17,64
2013-11-24,52
2013-12-01,74
2013-12-08,70
2013-12-15,70
2013-12-22,69
2013-12-29,85
2014-01-05,100
2014-01-12,82
2014-01-19,80
2014-01-26,79
2014-02-02,73
2014-02-09,63
2014-02-16,60
2014-02-23,58
2014-03-02,55
2014-03-09,51
2014-03-16,55
2014-03-23,48
2014-03-30,54
2014-04-06,57
2014-04-13,55
2014-04-20,52
2014-04-27,50
2014-05-04,49
2014-05-11,48
2014-05-18,46
2014-05-25,47
2014-06-01,49
2014-06-08,47
2014-06-15,47
2014-06-22,48
2014-06-29,51
2014-07-06,56
2014-07-13,53
2014-07-20,57
2014-07-27,51
2014-08-03,50
2014-08-10,48
2014-08-17,45
2014-08-24,40
2014-08-31,43
2014-09-07,44
2014-09-14,42
2014-09-21,45
2014-09-28,44
2014-10-05,45
2014-10-12,47
2014-10-19,47
2014-10-26,45
2014-11-02,49
2014-11-09,52
2014-11-16,51
2014-11-23,46
2014-11-30,56
2014-12-07,49
2014-12-14,56
2014-12-21,47
2014-12-28,60
2015-01-04,72
2015-01-11,63
2015-01-18,65
2015-01-25,59
2015-02-01,63
2015-02-08,56
2015-02-15,55
2015-02-22,56
2015-03-01,48
2015-03-08,49
2015-03-15,47
2015-03-22,50
2015-03-29,49
2015-04-05,52
2015-04-12,50
2015-04-19,50
2015-04-26,46
2015-05-03,48
2015-05-10,50
2015-05-17,46
2015-05-24,48
2015-05-31,53
2015-06-07,55
2015-06-14,53
2015-06-21,56
2015-06-28,59
2015-07-05,63
2015-07-12,57
2015-07-19,56
2015-07-26,54
2015-08-02,58
2015-08-09,56
2015-08-16,54
2015-08-23,53
2015-08-30,56
2015-09-06,49
2015-09-13,55
2015-09-20,51
2015-09-27,48
2015-10-04,50
2015-10-11,51
2015-10-18,51
2015-10-25,47
2015-11-01,55
2015-11-08,52
2015-11-15,52
2015-11-22,48
2015-11-29,64
2015-12-06,58
2015-12-13,57
2015-12-20,55
2015-12-27,65
2016-01-03,85
2016-01-10,70
2016-01-17,74
2016-01-24,74
2016-01-31,68
2016-02-07,60
2016-02-14,61
2016-02-21,56
2016-02-28,54
2016-03-06,55
2016-03-13,54
2016-03-20,48
2016-03-27,48
2016-04-03,53
2016-04-10,51
2016-04-17,48
2016-04-24,49
2016-05-01,49
2016-05-08,49
2016-05-15,50
2016-05-22,51
2016-05-29,52
2016-06-05,49
2016-06-12,50
2016-06-19,53
2016-06-26,56
2016-07-03,60
2016-07-10,53
2016-07-17,56
2016-07-24,47
2016-07-31,49
2016-08-07,42
2016-08-14,42
2016-08-21,40
2016-08-28,45
2016-09-04,45
2016-09-11,47
2016-09-18,46
2016-09-25,47
2016-10-02,47
2016-10-09,48
2016-10-16,52
2016-10-23,50
2016-10-30,54
2016-11-06,48
2016-11-13,57
2016-11-20,46
2016-11-27,61
2016-12-04,59
2016-12-11,63
2016-12-18,63
2016-12-25,72
