date,unemployment rate
2012-01-01,49
2012-01-08,45
2012-01-15,41
2012-01-22,58
2012-01-29,57
2012-02-05,48
2012-02-12,45
2012-02-19,45
2012-02-26,44
2012-03-04,51
2012-03-11,38
2012-03-18,36
2012-03-25,37
2012-04-01,43
2012-04-08,42
2012-04-15,40
2012-04-22,46
2012-04-29,49
2012-05-06,43
2012-05-13,37
2012-05-20,34
2012-05-27,40
2012-06-03,37
2012-06-10,36
2012-06-17,34
2012-06-24,31
2012-07-01,39
2012-07-08,40
2012-07-15,34
2012-07-22,33
2012-07-29,43
2012-08-05,33
2012-08-12,40
2012-08-19,32
2012-08-26,46
2012-09-02,88
2012-09-09,49
2012-09-16,49
2012-09-23,45
2012-09-30,100
2012-10-07,72
2012-10-14,70
2012-10-21,57
2012-10-28,74
2012-11-04,83
2012-11-11,48
2012-11-18,31
2012-11-25,42
2012-12-02,50
2012-12-09,42
2012-12-16,27
2012-12-23,19
2012-12-30,37
2013-01-06,35
2013-01-13,35
2013-01-20,35
2013-01-27,40
2013-02-03,35
2013-02-10,34
2013-02-17,33
2013-02-24,35
2013-03-03,42
2013-03-10,33
2013-03-17,35
2013-03-24,31
2013-03-31,39
2013-04-07,37
2013-04-14,34
2013-04-21,38
2013-04-28,42
2013-05-05,33
2013-05-12,32
2013-05-19,27
2013-05-26,26
2013-06-02,30
2013-06-09,25
2013-06-16,24
2013-06-23,23
2013-06-30,25
2013-07-07,25
2013-07-14,25
2013-07-21,25
2013-07-28,30
2013-08-04,22
2013-08-11,22
2013-08-18,23
2013-08-25,24
2013-09-01,28
2013-09-08,28
2013-09-15,30
2013-09-22,30
2013-09-29,32
2013-10-06,32
2013-10-13,33
2013-10-20,33
2013-10-27,32
2013-11-03,34
2013-11-10,32
2013-11-17,35
2013-11-24,22
2013-12-01,39
2013-12-08,37
2013-12-15,26
2013-12-22,18
2013-12-29,21
2014-01-05,36
2014-01-12,33
2014-01-19,28
2014-01-26,35
2014-02-02,32
2014-02-09,31
2014-02-16,30
2014-02-23,33
2014-03-02,33
2014-03-09,28
2014-03-16,30
2014-03-23,30
2014-03-30,31
2014-04-06,32
2014-04-13,29
2014-04-20,31
2014-04-27,40
2014-05-04,33
2014-05-11,28
2014-05-18,25
2014-05-25,22
2014-06-01,24
2014-06-08,23
2014-06-15,21
2014-06-22,19
2014-06-29,23
2014-07-06,23
2014-07-13,21
2014-07-20,21
2014-07-27,24
2014-08-03,19
2014-08-10,18
2014-08-17,20
2014-08-24,20
2014-08-31,25
2014-09-07,26
2014-09-14,26
2014-09-21,26
2014-09-28,37
2014-10-05,34
2014-10-12,29
2014-10-19,32
2014-10-26,32
2014-11-02,41
2014-11-09,35
2014-11-16,30
2014-11-23,22
2014-11-30,32
2014-12-07,33
2014-12-14,25
2014-12-21,15
2014-12-28,17
2015-01-04,26
2015-01-11,28
2015-01-18,30
2015-01-25,28
2015-02-01,32
2015-02-08,29
2015-02-15,26
2015-02-22,30
2015-03-01,33
2015-03-08,31
2015-03-15,29
2015-03-22,29
2015-03-29,28
2015-04-05,28
2015-04-12,31
2015-04-19,33
2015-04-26,35
2015-05-03,35
2015-05-10,28
2015-05-17,25
2015-05-24,22
2015-05-31,25
2015-06-07,23
2015-06-14,20
2015-06-21,21
2015-06-28,25
2015-07-05,24
2015-07-12,22
2015-07-19,22
2015-07-26,21
2015-08-02,19
2015-08-09,12
2015-08-16,15
2015-08-23,20
2015-08-30,29
2015-09-06,26
2015-09-13,28
2015-09-20,30
2015-09-27,31
2015-10-04,30
2015-10-11,30
2015-10-18,31
2015-10-25,30
2015-11-01,34
2015-11-08,35
2015-11-15,33
2015-11-22,19
2015-11-29,32
2015-12-06,34
2015-12-13,27
2015-12-20,16
2015-12-27,15
2016-01-03,24
2016-01-10,30
2016-01-17,25
2016-01-24,27
2016-01-31,34
2016-02-07,33
2016-02-14,30
2016-02-21,33
2016-02-28,35
2016-03-06,33
2016-03-13,30
2016-03-20,26
2016-03-27,29
2016-04-03,30
2016-04-10,32
2016-04-17,31
2016-04-24,32
2016-05-01,33
2016-05-08,29
2016-05-15,25
2016-05-22,23
2016-05-29,22
2016-06-05,22
2016-06-12,18
2016-06-19,20
2016-06-26,19
2016-07-03,19
2016-07-10,18
2016-07-17,23
2016-07-24,25
2016-07-31,21
2016-08-07,16
2016-08-14,17
2016-08-21,18
2016-08-28,21
2016-09-04,20
2016-09-11,24
2016-09-18,25
2016-09-25,28
2016-10-02,27
2016-10-09,30
2016-10-16,29
2016-10-23,29
2016-10-30,34
2016-11-06,47
2016-11-13,34
2016-11-20,20
2016-11-27,38
2016-12-04,35
2016-12-11,29
2016-12-18,18
2016-12-25,14
