date,claim unemployment,isPartial
2014-01-05,100,False
2014-01-12,83,False
2014-01-19,79,False
2014-01-26,80,False
2014-02-02,70,False
2014-02-09,58,False
2014-02-16,62,False
2014-02-23,61,False
2014-03-02,60,False
2014-03-09,58,False
2014-03-16,61,False
2014-03-23,58,False
2014-03-30,54,False
2014-04-06,54,False
2014-04-13,54,False
2014-04-20,55,False
2014-04-27,47,False
2014-05-04,46,False
2014-05-11,44,False
2014-05-18,52,False
2014-05-25,40,False
2014-06-01,48,False
2014-06-08,44,False
2014-06-15,52,False
2014-06-22,51,False
2014-06-29,47,False
2014-07-06,56,False
2014-07-13,51,False
2014-07-20,52,False
2014-07-27,47,False
2014-08-03,47,False
2014-08-10,47,False
2014-08-17,51,False
2014-08-24,39,False
2014-08-31,40,False
2014-09-07,39,False
2014-09-14,40,False
2014-09-21,39,False
2014-09-28,42,False
2014-10-05,40,False
2014-10-12,38,False
2014-10-19,38,False
2014-10-26,39,False
2014-11-02,37,False
2014-11-09,48,False
2014-11-16,47,False
2014-11-23,43,False
2014-11-30,45,False
2014-12-07,48,False
2014-12-14,44,False
2014-12-21,44,False
2014-12-28,52,False
2015-01-04,57,False
2015-01-11,50,False
2015-01-18,52,False
2015-01-25,48,False
2015-02-01,52,False
2015-02-08,45,False
2015-02-15,46,False
2015-02-22,42,False
2015-03-01,38,False
2015-03-08,41,False
2015-03-15,43,False
2015-03-22,39,False
2015-03-29,39,False
2015-04-05,41,False
2015-04-12,40,False
2015-04-19,36,False
2015-04-26,32,False
2015-05-03,38,False
2015-05-10,39,False
2015-05-17,41,False
2015-05-24,41,False
2015-05-31,43,False
2015-06-07,39,False
2015-06-14,40,False
2015-06-21,43,False
2015-06-28,46,False
2015-07-05,52,False
2015-07-12,47,False
2015-07-19,50,False
2015-07-26,44,False
2015-08-02,41,False
2015-08-09,46,False
2015-08-16,44,False
2015-08-23,43,False
2015-08-30,43,False
2015-09-06,38,False
2015-09-13,39,False
2015-09-20,38,False
2015-09-27,44,False
2015-10-04,43,False
2015-10-11,43,False
