date,ny unemployment,isPartial
2014-01-05,100,False
2014-01-12,68,False
2014-01-19,55,False
2014-01-26,49,False
2014-02-02,48,False
2014-02-09,38,False
2014-02-16,44,False
2014-02-23,51,False
2014-03-02,47,False
2014-03-09,52,False
2014-03-16,48,False
2014-03-23,50,False
2014-03-30,51,False
2014-04-06,54,False
2014-04-13,48,False
2014-04-20,53,False
2014-04-27,49,False
2014-05-04,43,False
2014-05-11,40,False
2014-05-18,42,False
2014-05-25,35,False
2014-06-01,34,False
2014-06-08,32,False
2014-06-15,30,False
2014-06-22,38,False
2014-06-29,37,False
2014-07-06,43,False
2014-07-13,43,False
2014-07-20,57,False
2014-07-27,45,False
2014-08-03,41,False
2014-08-10,37,False
2014-08-17,35,False
2014-08-24,33,False
2014-08-31,33,False
2014-09-07,31,False
2014-09-14,30,False
2014-09-21,29,False
2014-09-28,27,False
2014-10-05,25,False
2014-10-12,27,False
2014-10-19,28,False
2014-10-26,26,False
2014-11-02,28,False
2014-11-09,28,False
2014-11-16,28,False
2014-11-23,25,False
2014-11-30,27,False
2014-12-07,25,False
2014-12-14,25,False
2014-12-21,24,False
2014-12-28,29,False
2015-01-04,33,False
2015-01-11,34,False
2015-01-18,31,False
2015-01-25,32,False
2015-02-01,31,False
2015-02-08,28,False
2015-02-15,30,False
2015-02-22,30,False
2015-03-01,26,False
2015-03-08,32,False
2015-03-15,28,False
2015-03-22,29,False
2015-03-29,27,False
2015-04-05,25,False
2015-04-12,27,False
2015-04-19,24,False
2015-04-26,21,False
2015-05-03,24,False
2015-05-10,25,False
2015-05-17,24,False
2015-05-24,24,False
2015-05-31,24,False
2015-06-07,26,False
2015-06-14,25,False
2015-06-21,23,False
2015-06-28,28,False
2015-07-05,30,False
2015-07-12,27,False
2015-07-19,29,False
2015-07-26,28,False
2015-08-02,28,False
2015-08-09,27,False
2015-08-16,29,False
2015-08-23,30,False
2015-08-30,26,False
2015-09-06,26,False
2015-09-13,24,False
2015-09-20,23,False
2015-09-27,22,False
2015-10-04,24,False
2015-10-11,27,False
2015-10-18,23,False
2015-10-25,22,False
2015-11-01,21,False
2015-11-08,23,False
2015-11-15,23,False
2015-11-22,23,False
2015-11-29,32,False
2015-12-06,27,False
2015-12-13,29,False
2015-12-20,30,False
2015-12-27,34,False
2016-01-03,36,False
2016-01-10,67,False
2016-01-17,30,False
2016-01-24,34,False
2016-01-31,37,False
2016-02-07,36,False
2016-02-14,34,False
2016-02-21,26,False
2016-02-28,22,False
2016-03-06,24,False
2016-03-13,23,False
2016-03-20,24,False
2016-03-27,28,False
2016-04-03,28,False
2016-04-10,34,False
2016-04-17,23,False
2016-04-24,25,False
2016-05-01,28,False
2016-05-08,25,False
2016-05-15,24,False
2016-05-22,23,False
2016-05-29,23,False
2016-06-05,25,False
2016-06-12,24,False
2016-06-19,27,False
2016-06-26,29,False
2016-07-03,32,False
2016-07-10,29,False
2016-07-17,23,False
2016-07-24,21,False
2016-07-31,17,False
2016-08-07,19,False
2016-08-14,18,False
2016-08-21,19,False
2016-08-28,20,False
2016-09-04,20,False
2016-09-11,20,False
2016-09-18,18,False
2016-09-25,18,False
2016-10-02,19,False
2016-10-09,20,False
2016-10-16,19,False
2016-10-23,18,False
2016-10-30,20,False
2016-11-06,18,False
2016-11-13,19,False
2016-11-20,17,False
2016-11-27,24,False
2016-12-04,23,False
2016-12-11,20,False
2016-12-18,23,False
2016-12-25,23,False
2017-01-01,33,False
2017-01-08,28,False
2017-01-15,30,False
2017-01-22,32,False
2017-01-29,35,False
2017-02-05,31,False
2017-02-12,31,False
2017-02-19,28,False
2017-02-26,28,False
2017-03-05,29,False
2017-03-12,26,False
2017-03-19,26,False
2017-03-26,23,False
2017-04-02,23,False
2017-04-09,20,False
2017-04-16,23,False
2017-04-23,19,False
2017-04-30,19,False
2017-05-07,19,False
2017-05-14,15,False
2017-05-21,17,False
2017-05-28,19,False
2017-06-04,19,False
2017-06-11,19,False
2017-06-18,19,False
2017-06-25,23,False
2017-07-02,25,False
2017-07-09,26,False
2017-07-16,25,False
2017-07-23,25,False
2017-07-30,25,False
2017-08-06,25,False
2017-08-13,24,False
2017-08-20,21,False
2017-08-27,20,False
2017-09-03,17,False
2017-09-10,17,False
2017-09-17,17,False
2017-09-24,16,False
2017-10-01,17,False
2017-10-08,16,False
2017-10-15,17,False
2017-10-22,14,False
2017-10-29,15,False
2017-11-05,19,False
2017-11-12,20,False
2017-11-19,20,False
2017-11-26,24,False
2017-12-03,22,False
2017-12-10,22,False
2017-12-17,23,False
2017-12-24,29,False
2017-12-31,35,False
2018-01-07,30,False
2018-01-14,22,False
2018-01-21,26,False
2018-01-28,23,False
2018-02-04,22,False
2018-02-11,19,False
2018-02-18,19,False
2018-02-25,19,False
2018-03-04,16,False
2018-03-11,17,False
2018-03-18,16,False
2018-03-25,19,False
2018-04-01,19,False
2018-04-08,19,False
2018-04-15,18,False
2018-04-22,18,False
2018-04-29,19,False
2018-05-06,18,False
2018-05-13,17,False
2018-05-20,18,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,18,False
2018-06-17,16,False
2018-06-24,19,False
2018-07-01,18,False
2018-07-08,18,False
2018-07-15,16,False
2018-07-22,18,False
2018-07-29,16,False
2018-08-05,15,False
2018-08-12,17,False
2018-08-19,16,False
2018-08-26,14,False
2018-09-02,18,False
2018-09-09,17,False
2018-09-16,17,False
2018-09-23,14,False
2018-09-30,15,False
2018-10-07,14,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,14,False
2018-11-18,13,False
2018-11-25,15,False
2018-12-02,15,False
2018-12-09,15,False
2018-12-16,16,False
2018-12-23,15,False
2018-12-30,20,False
