date,unemployment washington,isPartial
2014-01-05,80,False
2014-01-12,69,False
2014-01-19,62,False
2014-01-26,63,False
2014-02-02,61,False
2014-02-09,50,False
2014-02-16,62,False
2014-02-23,52,False
2014-03-02,52,False
2014-03-09,51,False
2014-03-16,47,False
2014-03-23,46,False
2014-03-30,50,False
2014-04-06,46,False
2014-04-13,47,False
2014-04-20,42,False
2014-04-27,54,False
2014-05-04,41,False
2014-05-11,47,False
2014-05-18,46,False
2014-05-25,40,False
2014-06-01,47,False
2014-06-08,43,False
2014-06-15,40,False
2014-06-22,44,False
2014-06-29,42,False
2014-07-06,44,False
2014-07-13,43,False
2014-07-20,37,False
2014-07-27,31,False
2014-08-03,36,False
2014-08-10,36,False
2014-08-17,34,False
2014-08-24,32,False
2014-08-31,31,False
2014-09-07,26,False
2014-09-14,33,False
2014-09-21,33,False
2014-09-28,36,False
2014-10-05,42,False
2014-10-12,38,False
2014-10-19,39,False
2014-10-26,37,False
2014-11-02,40,False
2014-11-09,43,False
2014-11-16,41,False
2014-11-23,33,False
2014-11-30,46,False
2014-12-07,44,False
2014-12-14,45,False
2014-12-21,41,False
2014-12-28,39,False
2015-01-04,53,False
2015-01-11,46,False
2015-01-18,47,False
2015-01-25,49,False
2015-02-01,40,False
2015-02-08,39,False
2015-02-15,32,False
2015-02-22,37,False
2015-03-01,30,False
2015-03-08,35,False
2015-03-15,33,False
2015-03-22,36,False
2015-03-29,33,False
2015-04-05,28,False
2015-04-12,38,False
2015-04-19,31,False
2015-04-26,36,False
2015-05-03,27,False
2015-05-10,31,False
2015-05-17,35,False
2015-05-24,34,False
2015-05-31,32,False
2015-06-07,30,False
2015-06-14,33,False
2015-06-21,42,False
2015-06-28,46,False
2015-07-05,47,False
2015-07-12,41,False
2015-07-19,41,False
2015-07-26,39,False
2015-08-02,42,False
2015-08-09,39,False
2015-08-16,37,False
2015-08-23,37,False
2015-08-30,36,False
2015-09-06,32,False
2015-09-13,33,False
2015-09-20,33,False
2015-09-27,29,False
2015-10-04,29,False
2015-10-11,35,False
2015-10-18,34,False
2015-10-25,34,False
2015-11-01,40,False
2015-11-08,35,False
2015-11-15,36,False
2015-11-22,37,False
2015-11-29,40,False
2015-12-06,33,False
2015-12-13,37,False
2015-12-20,31,False
2015-12-27,36,False
2016-01-03,45,False
2016-01-10,40,False
2016-01-17,40,False
2016-01-24,37,False
2016-01-31,33,False
2016-02-07,36,False
2016-02-14,29,False
2016-02-21,34,False
2016-02-28,32,False
2016-03-06,35,False
2016-03-13,30,False
2016-03-20,36,False
2016-03-27,34,False
2016-04-03,30,False
2016-04-10,34,False
2016-04-17,30,False
2016-04-24,28,False
2016-05-01,32,False
2016-05-08,28,False
2016-05-15,25,False
2016-05-22,26,False
2016-05-29,27,False
2016-06-05,25,False
2016-06-12,27,False
2016-06-19,29,False
2016-06-26,25,False
2016-07-03,31,False
2016-07-10,30,False
2016-07-17,30,False
2016-07-24,30,False
2016-07-31,31,False
2016-08-07,27,False
2016-08-14,24,False
2016-08-21,22,False
