date,unemployment wisconsin,isPartial
2014-01-05,100,False
2014-01-12,88,False
2014-01-19,90,False
2014-01-26,88,False
2014-02-02,81,False
2014-02-09,60,False
2014-02-16,60,False
2014-02-23,56,False
2014-03-02,53,False
2014-03-09,52,False
2014-03-16,54,False
2014-03-23,48,False
2014-03-30,54,False
2014-04-06,46,False
2014-04-13,51,False
2014-04-20,36,False
2014-04-27,44,False
2014-05-04,38,False
2014-05-11,40,False
2014-05-18,46,False
2014-05-25,36,False
2014-06-01,32,False
2014-06-08,38,False
2014-06-15,42,False
2014-06-22,40,False
2014-06-29,32,False
2014-07-06,39,False
2014-07-13,40,False
2014-07-20,37,False
2014-07-27,42,False
2014-08-03,33,False
2014-08-10,36,False
2014-08-17,38,False
2014-08-24,26,False
2014-08-31,27,False
2014-09-07,34,False
2014-09-14,32,False
2014-09-21,29,False
2014-09-28,31,False
2014-10-05,31,False
2014-10-12,36,False
2014-10-19,33,False
2014-10-26,36,False
2014-11-02,37,False
2014-11-09,38,False
2014-11-16,47,False
2014-11-23,39,False
2014-11-30,47,False
2014-12-07,48,False
2014-12-14,39,False
2014-12-21,46,False
2014-12-28,54,False
2015-01-04,66,False
2015-01-11,63,False
2015-01-18,60,False
2015-01-25,58,False
2015-02-01,40,False
2015-02-08,47,False
2015-02-15,48,False
2015-02-22,47,False
2015-03-01,44,False
2015-03-08,46,False
2015-03-15,38,False
2015-03-22,37,False
2015-03-29,36,False
2015-04-05,41,False
2015-04-12,40,False
2015-04-19,34,False
2015-04-26,31,False
2015-05-03,31,False
2015-05-10,32,False
2015-05-17,29,False
2015-05-24,33,False
2015-05-31,32,False
2015-06-07,30,False
2015-06-14,33,False
2015-06-21,34,False
2015-06-28,33,False
2015-07-05,37,False
2015-07-12,37,False
2015-07-19,33,False
2015-07-26,33,False
2015-08-02,31,False
2015-08-09,26,False
2015-08-16,33,False
2015-08-23,30,False
2015-08-30,32,False
2015-09-06,29,False
2015-09-13,27,False
2015-09-20,24,False
2015-09-27,30,False
2015-10-04,31,False
2015-10-11,27,False
2015-10-18,35,False
2015-10-25,33,False
2015-11-01,33,False
2015-11-08,28,False
2015-11-15,45,False
2015-11-22,40,False
2015-11-29,53,False
2015-12-06,45,False
2015-12-13,46,False
2015-12-20,47,False
2015-12-27,55,False
2016-01-03,51,False
2016-01-10,42,False
2016-01-17,48,False
2016-01-24,51,False
2016-01-31,47,False
2016-02-07,35,False
