date,new york unemployment,isPartial
2016-01-03,55,False
2016-01-10,100,False
2016-01-17,57,False
2016-01-24,62,False
2016-01-31,56,False
2016-02-07,58,False
2016-02-14,54,False
2016-02-21,42,False
2016-02-28,51,False
2016-03-06,43,False
2016-03-13,54,False
2016-03-20,44,False
2016-03-27,46,False
2016-04-03,47,False
2016-04-10,57,False
2016-04-17,49,False
2016-04-24,47,False
2016-05-01,44,False
2016-05-08,41,False
2016-05-15,35,False
2016-05-22,39,False
2016-05-29,35,False
2016-06-05,44,False
2016-06-12,35,False
2016-06-19,38,False
2016-06-26,40,False
2016-07-03,49,False
2016-07-10,43,False
2016-07-17,34,False
2016-07-24,32,False
2016-07-31,37,False
2016-08-07,39,False
2016-08-14,34,False
2016-08-21,31,False
2016-08-28,38,False
2016-09-04,34,False
2016-09-11,33,False
2016-09-18,37,False
2016-09-25,37,False
2016-10-02,32,False
2016-10-09,35,False
2016-10-16,41,False
2016-10-23,37,False
2016-10-30,34,False
2016-11-06,32,False
2016-11-13,37,False
2016-11-20,21,False
2016-11-27,55,False
2016-12-04,43,False
2016-12-11,42,False
2016-12-18,47,False
2016-12-25,39,False
2017-01-01,68,False
2017-01-08,46,False
2017-01-15,47,False
2017-01-22,46,False
2017-01-29,48,False
2017-02-05,47,False
2017-02-12,45,False
2017-02-19,41,False
2017-02-26,45,False
2017-03-05,45,False
2017-03-12,36,False
2017-03-19,48,False
2017-03-26,44,False
2017-04-02,32,False
2017-04-09,35,False
2017-04-16,44,False
2017-04-23,34,False
2017-04-30,38,False
2017-05-07,32,False
2017-05-14,34,False
2017-05-21,34,False
2017-05-28,33,False
2017-06-04,36,False
2017-06-11,33,False
2017-06-18,31,False
2017-06-25,35,False
2017-07-02,39,False
2017-07-09,39,False
2017-07-16,38,False
2017-07-23,40,False
2017-07-30,34,False
2017-08-06,39,False
2017-08-13,34,False
2017-08-20,29,False
2017-08-27,36,False
2017-09-03,35,False
2017-09-10,31,False
2017-09-17,40,False
2017-09-24,34,False
2017-10-01,32,False
2017-10-08,26,False
2017-10-15,40,False
2017-10-22,36,False
2017-10-29,33,False
2017-11-05,38,False
2017-11-12,32,False
2017-11-19,35,False
2017-11-26,41,False
2017-12-03,46,False
2017-12-10,35,False
2017-12-17,37,False
2017-12-24,39,False
2017-12-31,53,False
2018-01-07,38,False
2018-01-14,44,False
2018-01-21,42,False
2018-01-28,43,False
2018-02-04,44,False
2018-02-11,42,False
2018-02-18,45,False
2018-02-25,45,False
2018-03-04,40,False
2018-03-11,33,False
2018-03-18,35,False
2018-03-25,28,False
2018-04-01,39,False
2018-04-08,39,False
2018-04-15,37,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,30,False
2018-05-13,33,False
2018-05-20,26,False
2018-05-27,32,False
2018-06-03,29,False
2018-06-10,32,False
2018-06-17,29,False
2018-06-24,26,False
2018-07-01,30,False
2018-07-08,36,False
2018-07-15,30,False
2018-07-22,29,False
2018-07-29,34,False
2018-08-05,30,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,26,False
2018-09-02,29,False
2018-09-09,29,False
2018-09-16,26,False
2018-09-23,23,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,25,False
2018-10-21,26,False
2018-10-28,33,False
2018-11-04,26,False
2018-11-11,26,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,32,False
2018-12-09,31,False
2018-12-16,28,False
2018-12-23,36,False
2018-12-30,33,False
2019-01-06,34,False
2019-01-13,41,False
2019-01-20,36,False
2019-01-27,38,False
2019-02-03,39,False
2019-02-10,40,False
2019-02-17,37,False
2019-02-24,37,False
2019-03-03,37,False
2019-03-10,30,False
2019-03-17,31,False
2019-03-24,27,False
2019-03-31,34,False
2019-04-07,32,False
2019-04-14,25,False
2019-04-21,29,False
2019-04-28,32,False
2019-05-05,29,False
2019-05-12,31,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,31,False
2019-06-09,21,False
2019-06-16,24,False
2019-06-23,27,False
2019-06-30,20,False
2019-07-07,26,False
2019-07-14,29,False
2019-07-21,26,False
2019-07-28,30,False
2019-08-04,27,False
2019-08-11,24,False
2019-08-18,26,False
2019-08-25,31,False
2019-09-01,18,False
2019-09-08,20,False
2019-09-15,25,False
2019-09-22,28,False
2019-09-29,25,False
2019-10-06,31,False
2019-10-13,28,False
2019-10-20,23,False
2019-10-27,20,False
2019-11-03,25,False
2019-11-10,27,False
2019-11-17,31,False
2019-11-24,22,False
2019-12-01,36,False
2019-12-08,29,False
2019-12-15,28,False
2019-12-22,36,False
