date,nj unemployment,isPartial
2016-01-03,78,False
2016-01-10,71,False
2016-01-17,68,False
2016-01-24,74,False
2016-01-31,78,False
2016-02-07,71,False
2016-02-14,62,False
2016-02-21,62,False
2016-02-28,56,False
2016-03-06,51,False
2016-03-13,53,False
2016-03-20,53,False
2016-03-27,53,False
2016-04-03,57,False
2016-04-10,55,False
2016-04-17,50,False
2016-04-24,51,False
2016-05-01,44,False
2016-05-08,49,False
2016-05-15,47,False
2016-05-22,49,False
2016-05-29,47,False
2016-06-05,48,False
2016-06-12,48,False
2016-06-19,50,False
2016-06-26,52,False
2016-07-03,52,False
2016-07-10,49,False
2016-07-17,49,False
2016-07-24,53,False
2016-07-31,50,False
2016-08-07,46,False
2016-08-14,50,False
2016-08-21,47,False
2016-08-28,41,False
2016-09-04,46,False
2016-09-11,46,False
2016-09-18,42,False
2016-09-25,42,False
2016-10-02,43,False
2016-10-09,45,False
2016-10-16,45,False
2016-10-23,46,False
2016-10-30,47,False
2016-11-06,45,False
2016-11-13,48,False
2016-11-20,41,False
2016-11-27,51,False
2016-12-04,49,False
2016-12-11,52,False
2016-12-18,60,False
2016-12-25,65,False
2017-01-01,68,False
2017-01-08,69,False
2017-01-15,69,False
2017-01-22,69,False
2017-01-29,68,False
2017-02-05,62,False
2017-02-12,60,False
2017-02-19,58,False
2017-02-26,49,False
2017-03-05,50,False
2017-03-12,49,False
2017-03-19,53,False
2017-03-26,52,False
2017-04-02,53,False
2017-04-09,51,False
2017-04-16,55,False
2017-04-23,48,False
2017-04-30,44,False
2017-05-07,45,False
2017-05-14,40,False
2017-05-21,44,False
2017-05-28,41,False
2017-06-04,50,False
2017-06-11,44,False
2017-06-18,52,False
2017-06-25,55,False
2017-07-02,61,False
2017-07-09,59,False
2017-07-16,54,False
2017-07-23,55,False
2017-07-30,53,False
2017-08-06,49,False
2017-08-13,51,False
2017-08-20,45,False
2017-08-27,43,False
2017-09-03,40,False
2017-09-10,48,False
2017-09-17,44,False
2017-09-24,43,False
2017-10-01,42,False
2017-10-08,45,False
2017-10-15,46,False
2017-10-22,46,False
2017-10-29,44,False
2017-11-05,46,False
2017-11-12,45,False
2017-11-19,43,False
2017-11-26,45,False
2017-12-03,46,False
2017-12-10,49,False
2017-12-17,60,False
2017-12-24,64,False
2017-12-31,77,False
2018-01-07,86,False
2018-01-14,80,False
2018-01-21,98,False
2018-01-28,90,False
2018-02-04,85,False
2018-02-11,72,False
2018-02-18,75,False
2018-02-25,69,False
2018-03-04,62,False
2018-03-11,66,False
2018-03-18,64,False
2018-03-25,60,False
2018-04-01,64,False
2018-04-08,62,False
2018-04-15,56,False
2018-04-22,52,False
2018-04-29,50,False
2018-05-06,46,False
2018-05-13,50,False
2018-05-20,50,False
2018-05-27,49,False
2018-06-03,48,False
2018-06-10,54,False
2018-06-17,55,False
2018-06-24,56,False
2018-07-01,59,False
2018-07-08,57,False
2018-07-15,55,False
2018-07-22,57,False
2018-07-29,55,False
2018-08-05,53,False
2018-08-12,51,False
2018-08-19,48,False
2018-08-26,46,False
2018-09-02,49,False
2018-09-09,53,False
2018-09-16,46,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,45,False
2018-10-14,44,False
2018-10-21,48,False
2018-10-28,44,False
2018-11-04,50,False
2018-11-11,51,False
2018-11-18,80,False
2018-11-25,49,False
2018-12-02,70,False
2018-12-09,58,False
2018-12-16,57,False
2018-12-23,62,False
2018-12-30,94,False
2019-01-06,76,False
2019-01-13,79,False
2019-01-20,70,False
2019-01-27,100,False
2019-02-03,73,False
2019-02-10,69,False
2019-02-17,67,False
2019-02-24,62,False
2019-03-03,59,False
2019-03-10,59,False
2019-03-17,56,False
2019-03-24,50,False
2019-03-31,54,False
2019-04-07,60,False
2019-04-14,51,False
2019-04-21,53,False
2019-04-28,57,False
2019-05-05,51,False
2019-05-12,47,False
2019-05-19,44,False
2019-05-26,48,False
2019-06-02,47,False
2019-06-09,50,False
2019-06-16,52,False
2019-06-23,61,False
2019-06-30,62,False
2019-07-07,66,False
2019-07-14,58,False
2019-07-21,54,False
2019-07-28,61,False
2019-08-04,56,False
2019-08-11,55,False
2019-08-18,55,False
2019-08-25,51,False
2019-09-01,48,False
2019-09-08,49,False
2019-09-15,45,False
2019-09-22,53,False
2019-09-29,49,False
2019-10-06,49,False
2019-10-13,45,False
2019-10-20,44,False
2019-10-27,46,False
2019-11-03,52,False
2019-11-10,53,False
2019-11-17,51,False
2019-11-24,50,False
2019-12-01,54,False
2019-12-08,54,False
2019-12-15,60,False
2019-12-22,67,False
