date,ohio unemployment,isPartial
2016-01-03,100,False
2016-01-10,88,False
2016-01-17,90,False
2016-01-24,83,False
2016-01-31,75,False
2016-02-07,69,False
2016-02-14,74,False
2016-02-21,66,False
2016-02-28,63,False
2016-03-06,69,False
2016-03-13,60,False
2016-03-20,56,False
2016-03-27,65,False
2016-04-03,53,False
2016-04-10,55,False
2016-04-17,51,False
2016-04-24,46,False
2016-05-01,46,False
2016-05-08,48,False
2016-05-15,50,False
2016-05-22,46,False
2016-05-29,46,False
2016-06-05,46,False
2016-06-12,56,False
2016-06-19,46,False
2016-06-26,51,False
2016-07-03,50,False
2016-07-10,53,False
2016-07-17,55,False
2016-07-24,54,False
2016-07-31,49,False
2016-08-07,55,False
2016-08-14,47,False
2016-08-21,45,False
2016-08-28,49,False
2016-09-04,42,False
2016-09-11,50,False
2016-09-18,42,False
2016-09-25,47,False
2016-10-02,41,False
2016-10-09,42,False
2016-10-16,41,False
2016-10-23,39,False
2016-10-30,43,False
2016-11-06,41,False
2016-11-13,55,False
2016-11-20,49,False
2016-11-27,55,False
2016-12-04,59,False
2016-12-11,70,False
2016-12-18,73,False
2016-12-25,81,False
2017-01-01,96,False
2017-01-08,92,False
2017-01-15,77,False
2017-01-22,78,False
2017-01-29,68,False
2017-02-05,60,False
2017-02-12,60,False
2017-02-19,58,False
2017-02-26,45,False
2017-03-05,46,False
2017-03-12,51,False
2017-03-19,53,False
2017-03-26,42,False
2017-04-02,44,False
2017-04-09,50,False
2017-04-16,50,False
2017-04-23,48,False
2017-04-30,47,False
2017-05-07,44,False
2017-05-14,46,False
2017-05-21,46,False
2017-05-28,52,False
2017-06-04,49,False
2017-06-11,70,False
2017-06-18,51,False
2017-06-25,49,False
2017-07-02,46,False
2017-07-09,47,False
2017-07-16,52,False
2017-07-23,53,False
2017-07-30,39,False
2017-08-06,41,False
2017-08-13,40,False
2017-08-20,38,False
2017-08-27,38,False
2017-09-03,35,False
2017-09-10,38,False
2017-09-17,42,False
2017-09-24,37,False
2017-10-01,42,False
2017-10-08,48,False
2017-10-15,38,False
2017-10-22,41,False
2017-10-29,45,False
2017-11-05,47,False
2017-11-12,50,False
2017-11-19,40,False
2017-11-26,54,False
2017-12-03,53,False
2017-12-10,62,False
2017-12-17,68,False
2017-12-24,80,False
2017-12-31,100,False
2018-01-07,93,False
2018-01-14,87,False
2018-01-21,74,False
2018-01-28,65,False
2018-02-04,66,False
2018-02-11,69,False
2018-02-18,54,False
2018-02-25,56,False
2018-03-04,56,False
2018-03-11,47,False
2018-03-18,43,False
2018-03-25,46,False
2018-04-01,47,False
2018-04-08,48,False
2018-04-15,42,False
2018-04-22,38,False
2018-04-29,40,False
2018-05-06,45,False
2018-05-13,38,False
2018-05-20,36,False
2018-05-27,42,False
2018-06-03,39,False
2018-06-10,38,False
2018-06-17,42,False
2018-06-24,42,False
2018-07-01,45,False
2018-07-08,52,False
2018-07-15,43,False
2018-07-22,36,False
2018-07-29,44,False
2018-08-05,41,False
2018-08-12,53,False
2018-08-19,36,False
2018-08-26,36,False
2018-09-02,35,False
2018-09-09,37,False
2018-09-16,36,False
2018-09-23,34,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,35,False
2018-10-21,34,False
2018-10-28,39,False
2018-11-04,40,False
2018-11-11,47,False
2018-11-18,44,False
2018-11-25,54,False
2018-12-02,52,False
2018-12-09,53,False
2018-12-16,55,False
2018-12-23,63,False
2018-12-30,86,False
2019-01-06,87,False
2019-01-13,87,False
2019-01-20,84,False
2019-01-27,71,False
2019-02-03,70,False
2019-02-10,63,False
2019-02-17,61,False
2019-02-24,58,False
2019-03-03,50,False
2019-03-10,58,False
2019-03-17,46,False
2019-03-24,49,False
2019-03-31,45,False
2019-04-07,47,False
2019-04-14,38,False
2019-04-21,33,False
2019-04-28,34,False
2019-05-05,38,False
2019-05-12,39,False
2019-05-19,53,False
2019-05-26,49,False
2019-06-02,41,False
2019-06-09,43,False
2019-06-16,44,False
2019-06-23,43,False
2019-06-30,54,False
2019-07-07,57,False
2019-07-14,48,False
2019-07-21,41,False
2019-07-28,49,False
2019-08-04,41,False
2019-08-11,42,False
2019-08-18,39,False
2019-08-25,40,False
2019-09-01,40,False
2019-09-08,41,False
2019-09-15,34,False
2019-09-22,41,False
2019-09-29,41,False
2019-10-06,38,False
2019-10-13,49,False
2019-10-20,41,False
2019-10-27,41,False
2019-11-03,45,False
2019-11-10,51,False
2019-11-17,50,False
2019-11-24,52,False
2019-12-01,59,False
2019-12-08,63,False
2019-12-15,73,False
2019-12-22,71,False
