date,unemployment extension,isPartial
2016-01-03,99,False
2016-01-10,85,False
2016-01-17,91,False
2016-01-24,75,False
2016-01-31,77,False
2016-02-07,63,False
2016-02-14,68,False
2016-02-21,86,False
2016-02-28,62,False
2016-03-06,80,False
2016-03-13,78,False
2016-03-20,71,False
2016-03-27,93,False
2016-04-03,83,False
2016-04-10,85,False
2016-04-17,100,False
2016-04-24,73,False
2016-05-01,59,False
2016-05-08,75,False
2016-05-15,70,False
2016-05-22,82,False
2016-05-29,73,False
2016-06-05,65,False
2016-06-12,61,False
2016-06-19,87,False
2016-06-26,67,False
2016-07-03,79,False
2016-07-10,80,False
2016-07-17,70,False
2016-07-24,65,False
2016-07-31,52,False
2016-08-07,71,False
2016-08-14,63,False
2016-08-21,61,False
2016-08-28,86,False
2016-09-04,63,False
2016-09-11,66,False
2016-09-18,74,False
2016-09-25,71,False
2016-10-02,58,False
2016-10-09,77,False
2016-10-16,89,False
2016-10-23,56,False
2016-10-30,63,False
2016-11-06,65,False
2016-11-13,72,False
2016-11-20,53,False
2016-11-27,62,False
2016-12-04,64,False
2016-12-11,44,False
2016-12-18,57,False
2016-12-25,76,False
2017-01-01,91,False
2017-01-08,66,False
2017-01-15,66,False
2017-01-22,75,False
2017-01-29,79,False
2017-02-05,48,False
2017-02-12,74,False
2017-02-19,62,False
2017-02-26,59,False
2017-03-05,52,False
2017-03-12,85,False
2017-03-19,63,False
2017-03-26,64,False
2017-04-02,88,False
2017-04-09,50,False
2017-04-16,58,False
2017-04-23,46,False
2017-04-30,62,False
2017-05-07,51,False
2017-05-14,48,False
2017-05-21,45,False
2017-05-28,48,False
2017-06-04,61,False
2017-06-11,53,False
2017-06-18,50,False
2017-06-25,64,False
2017-07-02,60,False
2017-07-09,60,False
2017-07-16,46,False
2017-07-23,67,False
2017-07-30,53,False
2017-08-06,47,False
2017-08-13,53,False
2017-08-20,50,False
2017-08-27,59,False
2017-09-03,52,False
2017-09-10,52,False
2017-09-17,66,False
2017-09-24,50,False
2017-10-01,44,False
2017-10-08,50,False
2017-10-15,49,False
2017-10-22,46,False
2017-10-29,46,False
2017-11-05,45,False
2017-11-12,50,False
2017-11-19,43,False
2017-11-26,47,False
2017-12-03,62,False
2017-12-10,41,False
2017-12-17,54,False
2017-12-24,53,False
2017-12-31,64,False
2018-01-07,58,False
2018-01-14,75,False
2018-01-21,60,False
2018-01-28,58,False
2018-02-04,32,False
2018-02-11,49,False
2018-02-18,50,False
2018-02-25,45,False
2018-03-04,63,False
2018-03-11,47,False
2018-03-18,39,False
2018-03-25,39,False
2018-04-01,31,False
2018-04-08,61,False
2018-04-15,61,False
2018-04-22,44,False
2018-04-29,46,False
2018-05-06,51,False
2018-05-13,45,False
2018-05-20,44,False
2018-05-27,47,False
2018-06-03,43,False
2018-06-10,52,False
2018-06-17,46,False
2018-06-24,50,False
2018-07-01,32,False
2018-07-08,40,False
2018-07-15,47,False
2018-07-22,55,False
2018-07-29,45,False
2018-08-05,38,False
2018-08-12,50,False
2018-08-19,44,False
2018-08-26,49,False
2018-09-02,41,False
2018-09-09,37,False
2018-09-16,42,False
2018-09-23,38,False
2018-09-30,40,False
2018-10-07,40,False
2018-10-14,38,False
2018-10-21,45,False
2018-10-28,48,False
2018-11-04,41,False
2018-11-11,41,False
2018-11-18,38,False
2018-11-25,46,False
2018-12-02,26,False
2018-12-09,42,False
2018-12-16,41,False
2018-12-23,40,False
2018-12-30,62,False
2019-01-06,47,False
2019-01-13,46,False
2019-01-20,52,False
2019-01-27,52,False
2019-02-03,44,False
2019-02-10,44,False
2019-02-17,45,False
2019-02-24,36,False
2019-03-03,46,False
2019-03-10,48,False
2019-03-17,38,False
2019-03-24,38,False
2019-03-31,48,False
2019-04-07,31,False
2019-04-14,47,False
2019-04-21,46,False
2019-04-28,40,False
2019-05-05,24,False
2019-05-12,34,False
2019-05-19,29,False
2019-05-26,36,False
2019-06-02,37,False
2019-06-09,46,False
2019-06-16,51,False
2019-06-23,34,False
2019-06-30,25,False
2019-07-07,38,False
2019-07-14,32,False
2019-07-21,52,False
2019-07-28,36,False
2019-08-04,31,False
2019-08-11,52,False
2019-08-18,38,False
2019-08-25,32,False
2019-09-01,35,False
2019-09-08,35,False
2019-09-15,32,False
2019-09-22,29,False
2019-09-29,38,False
2019-10-06,26,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,32,False
2019-11-03,44,False
2019-11-10,38,False
2019-11-17,34,False
2019-11-24,34,False
2019-12-01,40,False
2019-12-08,43,False
2019-12-15,38,False
2019-12-22,37,False
