date,unemployment insurance,isPartial
2016-01-03,85,False
2016-01-10,100,False
2016-01-17,82,False
2016-01-24,85,False
2016-01-31,87,False
2016-02-07,72,False
2016-02-14,67,False
2016-02-21,77,False
2016-02-28,73,False
2016-03-06,66,False
2016-03-13,70,False
2016-03-20,67,False
2016-03-27,71,False
2016-04-03,67,False
2016-04-10,70,False
2016-04-17,72,False
2016-04-24,64,False
2016-05-01,66,False
2016-05-08,63,False
2016-05-15,59,False
2016-05-22,59,False
2016-05-29,55,False
2016-06-05,65,False
2016-06-12,53,False
2016-06-19,61,False
2016-06-26,60,False
2016-07-03,60,False
2016-07-10,67,False
2016-07-17,60,False
2016-07-24,64,False
2016-07-31,63,False
2016-08-07,64,False
2016-08-14,58,False
2016-08-21,62,False
2016-08-28,50,False
2016-09-04,53,False
2016-09-11,44,False
2016-09-18,56,False
2016-09-25,53,False
2016-10-02,68,False
2016-10-09,63,False
2016-10-16,65,False
2016-10-23,57,False
2016-10-30,59,False
2016-11-06,62,False
2016-11-13,65,False
2016-11-20,54,False
2016-11-27,71,False
2016-12-04,68,False
2016-12-11,67,False
2016-12-18,55,False
2016-12-25,56,False
2017-01-01,82,False
2017-01-08,86,False
2017-01-15,87,False
2017-01-22,86,False
2017-01-29,77,False
2017-02-05,73,False
2017-02-12,69,False
2017-02-19,73,False
2017-02-26,68,False
2017-03-05,78,False
2017-03-12,66,False
2017-03-19,69,False
2017-03-26,64,False
2017-04-02,67,False
2017-04-09,62,False
2017-04-16,67,False
2017-04-23,72,False
2017-04-30,64,False
2017-05-07,62,False
2017-05-14,58,False
2017-05-21,62,False
2017-05-28,53,False
2017-06-04,69,False
2017-06-11,61,False
2017-06-18,59,False
2017-06-25,64,False
2017-07-02,63,False
2017-07-09,70,False
2017-07-16,70,False
2017-07-23,65,False
2017-07-30,70,False
2017-08-06,62,False
2017-08-13,55,False
2017-08-20,53,False
2017-08-27,53,False
2017-09-03,51,False
2017-09-10,63,False
2017-09-17,58,False
2017-09-24,60,False
2017-10-01,59,False
2017-10-08,64,False
2017-10-15,64,False
2017-10-22,65,False
2017-10-29,66,False
2017-11-05,55,False
2017-11-12,68,False
2017-11-19,55,False
2017-11-26,71,False
2017-12-03,73,False
2017-12-10,73,False
2017-12-17,63,False
2017-12-24,63,False
2017-12-31,75,False
2018-01-07,80,False
2018-01-14,71,False
2018-01-21,74,False
2018-01-28,80,False
2018-02-04,70,False
2018-02-11,66,False
2018-02-18,67,False
2018-02-25,67,False
2018-03-04,62,False
2018-03-11,67,False
2018-03-18,60,False
2018-03-25,64,False
2018-04-01,70,False
2018-04-08,70,False
2018-04-15,67,False
2018-04-22,74,False
2018-04-29,60,False
2018-05-06,57,False
2018-05-13,57,False
2018-05-20,56,False
2018-05-27,58,False
2018-06-03,53,False
2018-06-10,59,False
2018-06-17,50,False
2018-06-24,63,False
2018-07-01,54,False
2018-07-08,67,False
2018-07-15,59,False
2018-07-22,62,False
2018-07-29,60,False
2018-08-05,55,False
2018-08-12,57,False
2018-08-19,47,False
2018-08-26,48,False
2018-09-02,56,False
2018-09-09,51,False
2018-09-16,59,False
2018-09-23,54,False
2018-09-30,63,False
2018-10-07,55,False
2018-10-14,59,False
2018-10-21,62,False
2018-10-28,64,False
2018-11-04,58,False
2018-11-11,58,False
2018-11-18,44,False
2018-11-25,72,False
2018-12-02,69,False
2018-12-09,64,False
2018-12-16,62,False
2018-12-23,53,False
2018-12-30,75,False
2019-01-06,83,False
2019-01-13,79,False
2019-01-20,64,False
2019-01-27,74,False
2019-02-03,65,False
2019-02-10,69,False
2019-02-17,58,False
2019-02-24,61,False
2019-03-03,60,False
2019-03-10,56,False
2019-03-17,60,False
2019-03-24,53,False
2019-03-31,58,False
2019-04-07,66,False
2019-04-14,62,False
2019-04-21,55,False
2019-04-28,64,False
2019-05-05,57,False
2019-05-12,60,False
2019-05-19,53,False
2019-05-26,44,False
2019-06-02,53,False
2019-06-09,51,False
2019-06-16,52,False
2019-06-23,51,False
2019-06-30,54,False
2019-07-07,58,False
2019-07-14,60,False
2019-07-21,55,False
2019-07-28,56,False
2019-08-04,50,False
2019-08-11,55,False
2019-08-18,54,False
2019-08-25,50,False
2019-09-01,46,False
2019-09-08,52,False
2019-09-15,51,False
2019-09-22,54,False
2019-09-29,62,False
2019-10-06,59,False
2019-10-13,61,False
2019-10-20,60,False
2019-10-27,61,False
2019-11-03,65,False
2019-11-10,61,False
2019-11-17,67,False
2019-11-24,44,False
2019-12-01,65,False
2019-12-08,65,False
2019-12-15,57,False
2019-12-22,45,False
