date,unemployment number,isPartial
2016-01-03,97,False
2016-01-10,86,False
2016-01-17,77,False
2016-01-24,79,False
2016-01-31,79,False
2016-02-07,68,False
2016-02-14,72,False
2016-02-21,61,False
2016-02-28,59,False
2016-03-06,62,False
2016-03-13,58,False
2016-03-20,54,False
2016-03-27,58,False
2016-04-03,55,False
2016-04-10,55,False
2016-04-17,49,False
2016-04-24,55,False
2016-05-01,54,False
2016-05-08,56,False
2016-05-15,57,False
2016-05-22,56,False
2016-05-29,54,False
2016-06-05,52,False
2016-06-12,57,False
2016-06-19,59,False
2016-06-26,63,False
2016-07-03,64,False
2016-07-10,63,False
2016-07-17,62,False
2016-07-24,54,False
2016-07-31,54,False
2016-08-07,49,False
2016-08-14,49,False
2016-08-21,48,False
2016-08-28,52,False
2016-09-04,50,False
2016-09-11,55,False
2016-09-18,49,False
2016-09-25,48,False
2016-10-02,51,False
2016-10-09,56,False
2016-10-16,54,False
2016-10-23,54,False
2016-10-30,55,False
2016-11-06,54,False
2016-11-13,62,False
2016-11-20,54,False
2016-11-27,78,False
2016-12-04,68,False
2016-12-11,72,False
2016-12-18,69,False
2016-12-25,83,False
2017-01-01,100,False
2017-01-08,80,False
2017-01-15,83,False
2017-01-22,81,False
2017-01-29,81,False
2017-02-05,69,False
2017-02-12,64,False
2017-02-19,63,False
2017-02-26,60,False
2017-03-05,60,False
2017-03-12,56,False
2017-03-19,58,False
2017-03-26,55,False
2017-04-02,56,False
2017-04-09,56,False
2017-04-16,57,False
2017-04-23,56,False
2017-04-30,56,False
2017-05-07,53,False
2017-05-14,53,False
2017-05-21,53,False
2017-05-28,59,False
2017-06-04,58,False
2017-06-11,61,False
2017-06-18,61,False
2017-06-25,60,False
2017-07-02,63,False
2017-07-09,64,False
2017-07-16,65,False
2017-07-23,57,False
2017-07-30,59,False
2017-08-06,57,False
2017-08-13,53,False
2017-08-20,49,False
2017-08-27,57,False
2017-09-03,53,False
2017-09-10,53,False
2017-09-17,53,False
2017-09-24,53,False
2017-10-01,54,False
2017-10-08,50,False
2017-10-15,50,False
2017-10-22,52,False
2017-10-29,49,False
2017-11-05,53,False
2017-11-12,61,False
2017-11-19,51,False
2017-11-26,63,False
2017-12-03,63,False
2017-12-10,63,False
2017-12-17,65,False
2017-12-24,72,False
2017-12-31,81,False
2018-01-07,84,False
2018-01-14,73,False
2018-01-21,72,False
2018-01-28,71,False
2018-02-04,61,False
2018-02-11,55,False
2018-02-18,60,False
2018-02-25,53,False
2018-03-04,52,False
2018-03-11,51,False
2018-03-18,47,False
2018-03-25,51,False
2018-04-01,53,False
2018-04-08,53,False
2018-04-15,49,False
2018-04-22,48,False
2018-04-29,45,False
2018-05-06,45,False
2018-05-13,45,False
2018-05-20,44,False
2018-05-27,50,False
2018-06-03,54,False
2018-06-10,52,False
2018-06-17,51,False
2018-06-24,55,False
2018-07-01,57,False
2018-07-08,57,False
2018-07-15,49,False
2018-07-22,50,False
2018-07-29,49,False
2018-08-05,48,False
2018-08-12,49,False
2018-08-19,45,False
2018-08-26,44,False
2018-09-02,45,False
2018-09-09,45,False
2018-09-16,46,False
2018-09-23,45,False
2018-09-30,50,False
2018-10-07,50,False
2018-10-14,45,False
2018-10-21,46,False
2018-10-28,47,False
2018-11-04,53,False
2018-11-11,51,False
2018-11-18,49,False
2018-11-25,57,False
2018-12-02,51,False
2018-12-09,54,False
2018-12-16,63,False
2018-12-23,57,False
2018-12-30,65,False
2019-01-06,67,False
2019-01-13,66,False
2019-01-20,64,False
2019-01-27,60,False
2019-02-03,56,False
2019-02-10,53,False
2019-02-17,51,False
2019-02-24,49,False
2019-03-03,47,False
2019-03-10,45,False
2019-03-17,46,False
2019-03-24,42,False
2019-03-31,45,False
2019-04-07,46,False
2019-04-14,46,False
2019-04-21,44,False
2019-04-28,41,False
2019-05-05,43,False
2019-05-12,44,False
2019-05-19,45,False
2019-05-26,41,False
2019-06-02,47,False
2019-06-09,48,False
2019-06-16,49,False
2019-06-23,48,False
2019-06-30,49,False
2019-07-07,61,False
2019-07-14,47,False
2019-07-21,46,False
2019-07-28,48,False
2019-08-04,40,False
2019-08-11,42,False
2019-08-18,43,False
2019-08-25,43,False
2019-09-01,43,False
2019-09-08,42,False
2019-09-15,40,False
2019-09-22,38,False
2019-09-29,44,False
2019-10-06,45,False
2019-10-13,50,False
2019-10-20,45,False
2019-10-27,45,False
2019-11-03,47,False
2019-11-10,50,False
2019-11-17,51,False
2019-11-24,43,False
2019-12-01,59,False
2019-12-08,52,False
2019-12-15,58,False
2019-12-22,49,False
