date,unemployment office,isPartial
2016-01-03,100,False
2016-01-10,76,False
2016-01-17,79,False
2016-01-24,76,False
2016-01-31,70,False
2016-02-07,60,False
2016-02-14,57,False
2016-02-21,57,False
2016-02-28,57,False
2016-03-06,55,False
2016-03-13,52,False
2016-03-20,53,False
2016-03-27,55,False
2016-04-03,54,False
2016-04-10,51,False
2016-04-17,51,False
2016-04-24,52,False
2016-05-01,52,False
2016-05-08,52,False
2016-05-15,53,False
2016-05-22,51,False
2016-05-29,51,False
2016-06-05,56,False
2016-06-12,53,False
2016-06-19,59,False
2016-06-26,61,False
2016-07-03,56,False
2016-07-10,60,False
2016-07-17,62,False
2016-07-24,59,False
2016-07-31,64,False
2016-08-07,59,False
2016-08-14,56,False
2016-08-21,55,False
2016-08-28,53,False
2016-09-04,52,False
2016-09-11,53,False
2016-09-18,49,False
2016-09-25,48,False
2016-10-02,45,False
2016-10-09,53,False
2016-10-16,51,False
2016-10-23,52,False
2016-10-30,49,False
2016-11-06,49,False
2016-11-13,60,False
2016-11-20,39,False
2016-11-27,65,False
2016-12-04,60,False
2016-12-11,66,False
2016-12-18,63,False
2016-12-25,75,False
2017-01-01,84,False
2017-01-08,83,False
2017-01-15,81,False
2017-01-22,80,False
2017-01-29,63,False
2017-02-05,59,False
2017-02-12,57,False
2017-02-19,54,False
2017-02-26,46,False
2017-03-05,51,False
2017-03-12,47,False
2017-03-19,53,False
2017-03-26,45,False
2017-04-02,48,False
2017-04-09,48,False
2017-04-16,52,False
2017-04-23,51,False
2017-04-30,51,False
2017-05-07,52,False
2017-05-14,53,False
2017-05-21,55,False
2017-05-28,55,False
2017-06-04,62,False
2017-06-11,62,False
2017-06-18,62,False
2017-06-25,63,False
2017-07-02,60,False
2017-07-09,67,False
2017-07-16,56,False
2017-07-23,53,False
2017-07-30,56,False
2017-08-06,54,False
2017-08-13,51,False
2017-08-20,47,False
2017-08-27,50,False
2017-09-03,44,False
2017-09-10,52,False
2017-09-17,50,False
2017-09-24,44,False
2017-10-01,50,False
2017-10-08,54,False
2017-10-15,47,False
2017-10-22,53,False
2017-10-29,51,False
2017-11-05,59,False
2017-11-12,57,False
2017-11-19,43,False
2017-11-26,65,False
2017-12-03,53,False
2017-12-10,56,False
2017-12-17,56,False
2017-12-24,56,False
2017-12-31,74,False
2018-01-07,72,False
2018-01-14,73,False
2018-01-21,70,False
2018-01-28,65,False
2018-02-04,58,False
2018-02-11,50,False
2018-02-18,53,False
2018-02-25,48,False
2018-03-04,48,False
2018-03-11,54,False
2018-03-18,50,False
2018-03-25,52,False
2018-04-01,55,False
2018-04-08,54,False
2018-04-15,44,False
2018-04-22,41,False
2018-04-29,43,False
2018-05-06,45,False
2018-05-13,43,False
2018-05-20,45,False
2018-05-27,46,False
2018-06-03,47,False
2018-06-10,53,False
2018-06-17,48,False
2018-06-24,55,False
2018-07-01,50,False
2018-07-08,62,False
2018-07-15,61,False
2018-07-22,57,False
2018-07-29,59,False
2018-08-05,56,False
2018-08-12,51,False
2018-08-19,45,False
2018-08-26,39,False
2018-09-02,41,False
2018-09-09,41,False
2018-09-16,42,False
2018-09-23,43,False
2018-09-30,40,False
2018-10-07,47,False
2018-10-14,42,False
2018-10-21,43,False
2018-10-28,47,False
2018-11-04,53,False
2018-11-11,56,False
2018-11-18,43,False
2018-11-25,61,False
2018-12-02,58,False
2018-12-09,52,False
2018-12-16,57,False
2018-12-23,50,False
2018-12-30,65,False
2019-01-06,69,False
2019-01-13,67,False
2019-01-20,67,False
2019-01-27,55,False
2019-02-03,55,False
2019-02-10,52,False
2019-02-17,51,False
2019-02-24,44,False
2019-03-03,45,False
2019-03-10,46,False
2019-03-17,43,False
2019-03-24,47,False
2019-03-31,48,False
2019-04-07,48,False
2019-04-14,46,False
2019-04-21,49,False
2019-04-28,46,False
2019-05-05,47,False
2019-05-12,46,False
2019-05-19,47,False
2019-05-26,45,False
2019-06-02,53,False
2019-06-09,50,False
2019-06-16,53,False
2019-06-23,56,False
2019-06-30,51,False
2019-07-07,63,False
2019-07-14,61,False
2019-07-21,57,False
2019-07-28,53,False
2019-08-04,52,False
2019-08-11,48,False
2019-08-18,53,False
2019-08-25,46,False
2019-09-01,47,False
2019-09-08,47,False
2019-09-15,45,False
2019-09-22,46,False
2019-09-29,49,False
2019-10-06,50,False
2019-10-13,49,False
2019-10-20,48,False
2019-10-27,48,False
2019-11-03,50,False
2019-11-10,55,False
2019-11-17,53,False
2019-11-24,41,False
2019-12-01,64,False
2019-12-08,53,False
2019-12-15,61,False
2019-12-22,49,False
