date,unemployment oregon,isPartial
2016-01-03,100,False
2016-01-10,100,False
2016-01-17,89,False
2016-01-24,79,False
2016-01-31,80,False
2016-02-07,63,False
2016-02-14,67,False
2016-02-21,74,False
2016-02-28,76,False
2016-03-06,65,False
2016-03-13,58,False
2016-03-20,62,False
2016-03-27,59,False
2016-04-03,57,False
2016-04-10,74,False
2016-04-17,64,False
2016-04-24,64,False
2016-05-01,58,False
2016-05-08,64,False
2016-05-15,62,False
2016-05-22,65,False
2016-05-29,67,False
2016-06-05,58,False
2016-06-12,69,False
2016-06-19,73,False
2016-06-26,68,False
2016-07-03,68,False
2016-07-10,59,False
2016-07-17,67,False
2016-07-24,57,False
2016-07-31,59,False
2016-08-07,58,False
2016-08-14,66,False
2016-08-21,48,False
2016-08-28,61,False
2016-09-04,61,False
2016-09-11,56,False
2016-09-18,48,False
2016-09-25,47,False
2016-10-02,67,False
2016-10-09,70,False
2016-10-16,59,False
2016-10-23,53,False
2016-10-30,68,False
2016-11-06,54,False
2016-11-13,62,False
2016-11-20,55,False
2016-11-27,78,False
2016-12-04,57,False
2016-12-11,80,False
2016-12-18,73,False
2016-12-25,77,False
2017-01-01,85,False
2017-01-08,91,False
2017-01-15,92,False
2017-01-22,71,False
2017-01-29,61,False
2017-02-05,67,False
2017-02-12,65,False
2017-02-19,69,False
2017-02-26,55,False
2017-03-05,53,False
2017-03-12,60,False
2017-03-19,59,False
2017-03-26,57,False
2017-04-02,55,False
2017-04-09,53,False
2017-04-16,47,False
2017-04-23,52,False
2017-04-30,59,False
2017-05-07,54,False
2017-05-14,65,False
2017-05-21,52,False
2017-05-28,56,False
2017-06-04,47,False
2017-06-11,51,False
2017-06-18,61,False
2017-06-25,65,False
2017-07-02,70,False
2017-07-09,67,False
2017-07-16,68,False
2017-07-23,63,False
2017-07-30,57,False
2017-08-06,62,False
2017-08-13,50,False
2017-08-20,49,False
2017-08-27,57,False
2017-09-03,48,False
2017-09-10,49,False
2017-09-17,54,False
2017-09-24,53,False
2017-10-01,43,False
2017-10-08,55,False
2017-10-15,52,False
2017-10-22,48,False
2017-10-29,50,False
2017-11-05,50,False
2017-11-12,51,False
2017-11-19,54,False
2017-11-26,60,False
2017-12-03,61,False
2017-12-10,60,False
2017-12-17,68,False
2017-12-24,65,False
2017-12-31,79,False
2018-01-07,71,False
2018-01-14,79,False
2018-01-21,69,False
2018-01-28,74,False
2018-02-04,61,False
2018-02-11,65,False
2018-02-18,58,False
2018-02-25,53,False
2018-03-04,60,False
2018-03-11,59,False
2018-03-18,51,False
2018-03-25,54,False
2018-04-01,69,False
2018-04-08,46,False
2018-04-15,50,False
2018-04-22,42,False
2018-04-29,46,False
2018-05-06,50,False
2018-05-13,51,False
2018-05-20,46,False
2018-05-27,45,False
2018-06-03,53,False
2018-06-10,55,False
2018-06-17,54,False
2018-06-24,62,False
2018-07-01,66,False
2018-07-08,67,False
2018-07-15,55,False
2018-07-22,59,False
2018-07-29,45,False
2018-08-05,56,False
2018-08-12,44,False
2018-08-19,55,False
2018-08-26,47,False
2018-09-02,41,False
2018-09-09,47,False
2018-09-16,45,False
2018-09-23,44,False
2018-09-30,50,False
2018-10-07,56,False
2018-10-14,50,False
2018-10-21,47,False
2018-10-28,49,False
2018-11-04,56,False
2018-11-11,58,False
2018-11-18,58,False
2018-11-25,66,False
2018-12-02,63,False
2018-12-09,55,False
2018-12-16,59,False
2018-12-23,57,False
2018-12-30,75,False
2019-01-06,85,False
2019-01-13,75,False
2019-01-20,80,False
2019-01-27,65,False
2019-02-03,74,False
2019-02-10,72,False
2019-02-17,76,False
2019-02-24,62,False
2019-03-03,65,False
2019-03-10,67,False
2019-03-17,47,False
2019-03-24,54,False
2019-03-31,59,False
2019-04-07,59,False
2019-04-14,60,False
2019-04-21,45,False
2019-04-28,48,False
2019-05-05,55,False
2019-05-12,56,False
2019-05-19,57,False
2019-05-26,50,False
2019-06-02,47,False
2019-06-09,68,False
2019-06-16,64,False
2019-06-23,71,False
2019-06-30,48,False
2019-07-07,63,False
2019-07-14,63,False
2019-07-21,51,False
2019-07-28,58,False
2019-08-04,56,False
2019-08-11,55,False
2019-08-18,50,False
2019-08-25,50,False
2019-09-01,46,False
2019-09-08,47,False
2019-09-15,46,False
2019-09-22,38,False
2019-09-29,51,False
2019-10-06,50,False
2019-10-13,45,False
2019-10-20,62,False
2019-10-27,53,False
2019-11-03,54,False
2019-11-10,50,False
2019-11-17,59,False
2019-11-24,49,False
2019-12-01,65,False
2019-12-08,58,False
2019-12-15,63,False
2019-12-22,73,False
