date,unemployment extension,isPartial
2017-01-01,1,False
2017-01-08,1,False
2017-01-15,1,False
2017-01-22,1,False
2017-01-29,1,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,1,False
2017-03-12,1,False
2017-03-19,1,False
2017-03-26,1,False
2017-04-02,1,False
2017-04-09,0,False
2017-04-16,1,False
2017-04-23,0,False
2017-04-30,1,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,1,False
2017-06-04,1,False
2017-06-11,1,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,1,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,1,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,1,False
2017-09-10,1,False
2017-09-17,1,False
2017-09-24,1,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,1,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,1,False
2017-12-31,0,False
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,1,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,1,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,1,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,1,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,1,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,1,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,1,False
2018-07-22,1,False
2018-07-29,1,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,1,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,1,False
2019-01-06,0,False
2019-01-13,1,False
2019-01-20,0,False
2019-01-27,1,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,1,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,1,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,1,False
2020-03-15,4,False
2020-03-22,7,False
2020-03-29,7,False
2020-04-05,6,False
2020-04-12,6,False
2020-04-19,6,False
2020-04-26,5,False
2020-05-03,5,False
2020-05-10,7,False
2020-05-17,9,False
2020-05-24,8,False
2020-05-31,7,False
2020-06-07,8,False
2020-06-14,12,False
2020-06-21,16,False
2020-06-28,29,False
2020-07-05,38,False
2020-07-12,45,False
2020-07-19,74,False
2020-07-26,71,False
2020-08-02,74,False
2020-08-09,100,True
