date,unemployment office,isPartial
2017-01-01,19,False
2017-01-08,16,False
2017-01-15,16,False
2017-01-22,16,False
2017-01-29,13,False
2017-02-05,13,False
2017-02-12,11,False
2017-02-19,11,False
2017-02-26,9,False
2017-03-05,10,False
2017-03-12,10,False
2017-03-19,10,False
2017-03-26,10,False
2017-04-02,10,False
2017-04-09,10,False
2017-04-16,10,False
2017-04-23,10,False
2017-04-30,10,False
2017-05-07,10,False
2017-05-14,12,False
2017-05-21,12,False
2017-05-28,11,False
2017-06-04,11,False
2017-06-11,12,False
2017-06-18,12,False
2017-06-25,13,False
2017-07-02,11,False
2017-07-09,13,False
2017-07-16,11,False
2017-07-23,11,False
2017-07-30,11,False
2017-08-06,11,False
2017-08-13,9,False
2017-08-20,10,False
2017-08-27,10,False
2017-09-03,9,False
2017-09-10,9,False
2017-09-17,9,False
2017-09-24,9,False
2017-10-01,10,False
2017-10-08,10,False
2017-10-15,10,False
2017-10-22,11,False
2017-10-29,10,False
2017-11-05,11,False
2017-11-12,12,False
2017-11-19,8,False
2017-11-26,13,False
2017-12-03,11,False
2017-12-10,11,False
2017-12-17,11,False
2017-12-24,11,False
2017-12-31,13,False
2018-01-07,14,False
2018-01-14,14,False
2018-01-21,13,False
2018-01-28,13,False
2018-02-04,13,False
2018-02-11,11,False
2018-02-18,10,False
2018-02-25,10,False
2018-03-04,10,False
2018-03-11,11,False
2018-03-18,10,False
2018-03-25,10,False
2018-04-01,11,False
2018-04-08,10,False
2018-04-15,9,False
2018-04-22,8,False
2018-04-29,9,False
2018-05-06,9,False
2018-05-13,9,False
2018-05-20,9,False
2018-05-27,9,False
2018-06-03,10,False
2018-06-10,10,False
2018-06-17,10,False
2018-06-24,11,False
2018-07-01,11,False
2018-07-08,13,False
2018-07-15,12,False
2018-07-22,11,False
2018-07-29,12,False
2018-08-05,11,False
2018-08-12,9,False
2018-08-19,9,False
2018-08-26,8,False
2018-09-02,8,False
2018-09-09,9,False
2018-09-16,8,False
2018-09-23,8,False
2018-09-30,9,False
2018-10-07,9,False
2018-10-14,8,False
2018-10-21,9,False
2018-10-28,10,False
2018-11-04,11,False
2018-11-11,12,False
2018-11-18,9,False
2018-11-25,12,False
2018-12-02,12,False
2018-12-09,10,False
2018-12-16,12,False
2018-12-23,10,False
2018-12-30,14,False
2019-01-06,15,False
2019-01-13,14,False
2019-01-20,13,False
2019-01-27,11,False
2019-02-03,12,False
2019-02-10,10,False
2019-02-17,10,False
2019-02-24,9,False
2019-03-03,10,False
2019-03-10,8,False
2019-03-17,10,False
2019-03-24,10,False
2019-03-31,10,False
2019-04-07,10,False
2019-04-14,10,False
2019-04-21,9,False
2019-04-28,9,False
2019-05-05,9,False
2019-05-12,9,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,10,False
2019-06-09,10,False
2019-06-16,10,False
2019-06-23,11,False
2019-06-30,11,False
2019-07-07,13,False
2019-07-14,11,False
2019-07-21,11,False
2019-07-28,12,False
2019-08-04,11,False
2019-08-11,11,False
2019-08-18,10,False
2019-08-25,10,False
2019-09-01,9,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,10,False
2019-09-29,10,False
2019-10-06,10,False
2019-10-13,10,False
2019-10-20,10,False
2019-10-27,10,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,8,False
2019-12-01,13,False
2019-12-08,12,False
2019-12-15,13,False
2019-12-22,10,False
2019-12-29,12,False
2020-01-05,15,False
2020-01-12,14,False
2020-01-19,13,False
2020-01-26,12,False
2020-02-02,12,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,10,False
2020-03-01,10,False
2020-03-08,11,False
2020-03-15,72,False
2020-03-22,100,False
2020-03-29,96,False
2020-04-05,81,False
2020-04-12,71,False
2020-04-19,62,False
2020-04-26,57,False
2020-05-03,52,False
2020-05-10,48,False
2020-05-17,46,False
2020-05-24,44,False
2020-05-31,49,False
2020-06-07,47,False
2020-06-14,43,False
2020-06-21,42,False
2020-06-28,40,False
2020-07-05,39,False
2020-07-12,37,False
2020-07-19,38,False
2020-07-26,34,False
2020-08-02,29,False
2020-08-09,28,True
